Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Period start,Selected business demand (GWh),Est. Total consumption (GWh)
2010-01-01,96.8,17.225,14.15,3.975,13.5,2.375,2010.0,1.0,1/01/10,311.578,150.884
2010-02-01,43.0,17.9,14.825000000000001,3.55,7.666666666666667,1.85,2010.0,2.0,1/02/10,308.803,140.886
2010-03-01,49.225,16.025,12.45,4.1,16.666666666666668,2.275,2010.0,3.0,1/03/10,344.876,160.673
2010-04-01,52.699999999999996,13.975,11.775,3.675,10.333333333333334,2.325,2010.0,4.0,1/04/10,293.25,174.629
2010-05-01,164.825,10.9,10.725,3.075,6.0,2.225,2010.0,5.0,1/05/10,284.488,216.421
2010-06-01,161.175,8.2,8.7,3.0999999999999996,9.0,1.875,2010.0,6.0,1/06/10,272.248,270.453
2010-07-01,62.025,7.325,7.725,2.625,4.0,1.675,2010.0,7.0,1/07/10,269.396,294.702
2010-08-01,128.15,9.275,9.75,3.25,6.666666666666667,1.7,2010.0,8.0,1/08/10,266.465,271.653
2010-09-01,149.75,10.575,9.75,4.75,18.0,2.2750000000000004,2010.0,9.0,1/09/10,243.689,223.539
2010-10-01,43.699999999999996,11.65,10.125,4.175,11.25,2.125,2010.0,10.0,1/10/10,300.093,194.293
2010-11-01,40.1,15.1,12.85,3.85,10.0,2.85,2010.0,11.0,1/11/10,333.766,160.984
2010-12-01,153.82500000000002,17.35,14.65,4.55,14.0,2.4749999999999996,2010.0,12.0,1/12/10,353.157,149.569
2011-01-01,67.5,17.3,14.600000000000001,4.15,14.0,2.4000000000000004,2011.0,1.0,1/01/11,314.162,147.554
2011-02-01,44.4,17.6,14.975000000000001,3.8499999999999996,10.25,2.5999999999999996,2011.0,2.0,1/02/11,282.414,136.953
2011-03-01,79.2,15.625,13.4,3.6,8.0,2.325,2011.0,3.0,1/03/11,267.209,150.842
2011-04-01,125.3,12.549999999999999,11.325,3.325,10.75,2.3,2011.0,4.0,1/04/11,246.238,177.258
2011-05-01,175.775,12.4,11.95,3.7,11.0,2.325,2011.0,5.0,1/05/11,236.583,220.749
2011-06-01,93.625,9.075,9.625,2.775,6.75,2.0,2011.0,6.0,1/06/11,241.155,239.52
2011-07-01,77.225,7.05,7.324999999999999,3.65,12.0,1.8,2011.0,7.0,1/07/11,250.293,278.201
2011-08-01,45.325,7.725,7.975,3.15,8.0,2.325,2011.0,8.0,1/08/11,248.891,282.511
2011-09-01,62.025,9.45,9.0,3.625,10.25,1.5250000000000001,2011.0,9.0,1/09/11,228.262,232.459
2011-10-01,138.025,12.2,11.225,3.8499999999999996,9.333333333333334,2.425,2011.0,10.0,1/10/11,241.328,200.259
2011-11-01,94.15,13.525,11.275,4.65,17.333333333333332,2.2,2011.0,11.0,1/11/11,273.467,164.803
2011-12-01,232.72500000000002,15.8,14.45,3.625,6.75,2.275,2011.0,12.0,1/12/11,297.441,156.325
2012-01-01,61.074999999999996,16.55,13.25,4.2250000000000005,14.25,2.325,2012.0,1.0,1/01/12,321.119,148.032
2012-02-01,84.75,16.675,14.45,3.625,4.5,1.85,2012.0,2.0,1/02/12,289.753,140.712
