Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Period start,Selected business demand (GWh),Est. Total consumption (GWh),Export prices,Export volumes,Export values,Import prices,Import volumes,Import values,Population
2010-01-01,84.66666666666667,14.700000000000001,12.966666666666667,4.366666666666666,14.666666666666666,2.6333333333333333,2010.0,1.0,1/01/10,645.638,88.344,1072,1160,"10,093",904,1360,"8,827",820500.0
2010-02-01,38.800000000000004,15.4,12.766666666666666,4.033333333333334,15.0,2.6,2010.0,2.0,1/02/10,594.381,81.286,1072,1160,"10,093",904,1360,"8,827",820500.0
2010-03-01,66.26666666666667,13.766666666666666,11.066666666666668,4.866666666666666,17.5,2.733333333333333,2010.0,3.0,1/03/10,666.904,91.292,1072,1160,"10,093",904,1360,"8,827",820500.0
2010-04-01,118.0,11.566666666666668,10.266666666666667,4.2,15.666666666666666,2.433333333333333,2010.0,4.0,1/04/10,627.427,100.433,1112,1264,"11,416",920,1476,"9,740",820500.0
2010-05-01,129.53333333333333,7.333333333333333,8.633333333333335,2.766666666666667,8.0,1.9000000000000001,2010.0,5.0,1/05/10,630.577,127.438,1112,1264,"11,416",920,1476,"9,740",820500.0
2010-06-01,70.13333333333334,4.366666666666666,6.5,2.966666666666667,9.666666666666666,2.1999999999999997,2010.0,6.0,1/06/10,608.624,145.298,1112,1264,"11,416",920,1476,"9,740",820500.0
2010-07-01,36.333333333333336,4.133333333333333,6.366666666666667,2.4333333333333336,4.0,1.7666666666666666,2010.0,7.0,1/07/10,624.663,156.442,1112,1030,"9,291",892,1608,"10,297",820500.0
2010-08-01,71.0,6.2,7.766666666666666,2.8333333333333335,5.666666666666667,1.9333333333333336,2010.0,8.0,1/08/10,634.527,149.674,1112,1030,"9,291",892,1608,"10,297",820500.0
2010-09-01,111.33333333333333,7.933333333333334,8.066666666666666,4.633333333333334,18.333333333333332,2.6333333333333333,2010.0,9.0,1/09/10,626.94,133.754,1112,1030,"9,291",892,1608,"10,297",820500.0
2010-10-01,57.26666666666666,10.5,9.0,4.3,15.333333333333334,2.3333333333333335,2010.0,10.0,1/10/10,652.279,118.289,1118,1171,"10,621",890,1742,"11,129",820500.0
2010-11-01,40.199999999999996,13.800000000000002,11.700000000000001,3.633333333333333,10.333333333333334,3.1333333333333333,2010.0,11.0,1/11/10,652.489,94.242,1118,1171,"10,621",890,1742,"11,129",820500.0
2010-12-01,107.06666666666666,15.033333333333333,11.966666666666667,4.633333333333334,19.333333333333332,2.866666666666667,2010.0,12.0,1/12/10,667.103,84.755,1118,1171,"10,621",890,1742,"11,129",820500.0
2011-01-01,99.26666666666667,15.0,12.466666666666667,4.7,17.333333333333332,1.8,2011.0,1.0,1/01/11,654.305,81.031,1188,1170,"11,287",938,1552,"10,453",826500.0
2011-02-01,92.86666666666667,14.733333333333334,12.5,3.7000000000000006,14.0,2.5,2011.0,2.0,1/02/11,599.724,77.496,1188,1170,"11,287",938,1552,"10,453",826500.0
2011-03-01,90.06666666666666,12.733333333333334,11.1,3.533333333333333,12.666666666666666,2.1999999999999997,2011.0,3.0,1/03/11,658.507,92.7,1188,1170,"11,287",938,1552,"10,453",826500.0
2011-04-01,45.199999999999996,9.966666666666667,9.533333333333333,3.733333333333334,11.0,2.766666666666667,2011.0,4.0,1/04/11,638.716,104.871,1211,1291,"12,690",934,1609,"10,786",826500.0
2011-05-01,89.2,9.200000000000001,9.333333333333334,3.6,13.0,1.9000000000000001,2011.0,5.0,1/05/11,645.471,127.543,1211,1291,"12,690",934,1609,"10,786",826500.0
