Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Selected business demand (GWh),Est. Total consumption (GWh),Export prices,Export volumes,Export values,Import prices,Import volumes,Import values,Population
2010-01-01,96.8,17.225,14.15,3.975,13.5,2.375,2010.0,1.0,311.578,150.884,1072.0,1160.0,10093.0,904.0,1360.0,8827.0,739000.0
2010-02-01,43.0,17.9,14.825000000000001,3.55,7.666666666666667,1.85,2010.0,2.0,308.803,140.886,1072.0,1160.0,10093.0,904.0,1360.0,8827.0,739000.0
2010-03-01,49.225,16.025,12.45,4.1,16.666666666666668,2.275,2010.0,3.0,344.876,160.673,1072.0,1160.0,10093.0,904.0,1360.0,8827.0,739000.0
2010-04-01,52.699999999999996,13.975,11.775,3.675,10.333333333333334,2.325,2010.0,4.0,293.25,174.629,1112.0,1264.0,11416.0,920.0,1476.0,9740.0,739000.0
2010-05-01,164.825,10.9,10.725,3.075,6.0,2.225,2010.0,5.0,284.488,216.421,1112.0,1264.0,11416.0,920.0,1476.0,9740.0,739000.0
2010-06-01,161.175,8.2,8.7,3.0999999999999996,9.0,1.875,2010.0,6.0,272.248,270.453,1112.0,1264.0,11416.0,920.0,1476.0,9740.0,739000.0
2010-07-01,62.025,7.325,7.725,2.625,4.0,1.675,2010.0,7.0,269.396,294.702,1112.0,1030.0,9291.0,892.0,1608.0,10297.0,739000.0
2010-08-01,128.15,9.275,9.75,3.25,6.666666666666667,1.7,2010.0,8.0,266.465,271.653,1112.0,1030.0,9291.0,892.0,1608.0,10297.0,739000.0
2010-09-01,149.75,10.575,9.75,4.75,18.0,2.2750000000000004,2010.0,9.0,243.689,223.539,1112.0,1030.0,9291.0,892.0,1608.0,10297.0,739000.0
2010-10-01,43.699999999999996,11.65,10.125,4.175,11.25,2.125,2010.0,10.0,300.093,194.293,1118.0,1171.0,10621.0,890.0,1742.0,11129.0,739000.0
2010-11-01,40.1,15.1,12.85,3.85,10.0,2.85,2010.0,11.0,333.766,160.984,1118.0,1171.0,10621.0,890.0,1742.0,11129.0,739000.0
2010-12-01,153.82500000000002,17.35,14.65,4.55,14.0,2.4749999999999996,2010.0,12.0,353.157,149.569,1118.0,1171.0,10621.0,890.0,1742.0,11129.0,739000.0
2011-01-01,67.5,17.3,14.600000000000001,4.15,14.0,2.4000000000000004,2011.0,1.0,314.162,147.554,1188.0,1170.0,11287.0,938.0,1552.0,10453.0,732800.0
2011-02-01,44.4,17.6,14.975000000000001,3.8499999999999996,10.25,2.5999999999999996,2011.0,2.0,282.414,136.953,1188.0,1170.0,11287.0,938.0,1552.0,10453.0,732800.0
2011-03-01,79.2,15.625,13.4,3.6,8.0,2.325,2011.0,3.0,267.209,150.842,1188.0,1170.0,11287.0,938.0,1552.0,10453.0,732800.0
2011-04-01,125.3,12.549999999999999,11.325,3.325,10.75,2.3,2011.0,4.0,246.238,177.258,1211.0,1291.0,12690.0,934.0,1609.0,10786.0,732800.0
2011-05-01,175.775,12.4,11.95,3.7,11.0,2.325,2011.0,5.0,236.583,220.749,1211.0,1291.0,12690.0,934.0,1609.0,10786.0,732800.0
2011-06-01,93.625,9.075,9.625,2.775,6.75,2.0,2011.0,6.0,241.155,239.52,1211.0,1291.0,12690.0,934.0,1609.0,10786.0,732800.0
2011-07-01,77.225,7.05,7.324999999999999,3.65,12.0,1.8,2011.0,7.0,250.293,278.201,1162.0,1062.0,10024.0,903.0,1750.0,11346.0,732800.0
2011-08-01,45.325,7.725,7.975,3.15,8.0,2.325,2011.0,8.0,248.891,282.511,1162.0,1062.0,10024.0,903.0,1750.0,11346.0,732800.0
2011-09-01,62.025,9.45,9.0,3.625,10.25,1.5250000000000001,2011.0,9.0,228.262,232.459,1162.0,1062.0,10024.0,903.0,1750.0,11346.0,732800.0
2011-10-01,138.025,12.2,11.225,3.8499999999999996,9.333333333333334,2.425,2011.0,10.0,241.328,200.259,1182.0,1199.0,11504.0,931.0,1787.0,11943.0,732800.0
2011-11-01,94.15,13.525,11.275,4.65,17.333333333333332,2.2,2011.0,11.0,273.467,164.803,1182.0,1199.0,11504.0,931.0,1787.0,11943.0,732800.0
2011-12-01,232.72500000000002,15.8,14.45,3.625,6.75,2.275,2011.0,12.0,297.441,156.325,1182.0,1199.0,11504.0,931.0,1787.0,11943.0,732800.0
2012-01-01,61.074999999999996,16.55,13.25,4.2250000000000005,14.25,2.325,2012.0,1.0,321.119,148.032,1138.0,1196.0,11049.0,918.0,1632.0,10745.0,730500.0
2012-02-01,84.75,16.675,14.45,3.625,4.5,1.85,2012.0,2.0,289.753,140.712,1138.0,1196.0,11049.0,918.0,1632.0,10745.0,730500.0
2012-03-01,63.35,14.625,12.025,3.7249999999999996,10.75,2.3000000000000003,2012.0,3.0,258.043,162.608,1138.0,1196.0,11049.0,918.0,1632.0,10745.0,730500.0
2012-04-01,64.05,13.05,11.775,3.125,6.0,1.625,2012.0,4.0,250.107,170.548,1126.0,1304.0,11919.0,932.0,1648.0,11026.0,730500.0
2012-05-01,54.55,9.675,9.35,2.9,6.5,2.025,2012.0,5.0,280.961,214.368,1126.0,1304.0,11919.0,932.0,1648.0,11026.0,730500.0
2012-06-01,150.3,7.324999999999999,7.875,3.575,10.0,2.025,2012.0,6.0,260.826,263.821,1126.0,1304.0,11919.0,932.0,1648.0,11026.0,730500.0
2012-07-01,86.02499999999999,7.925,7.925,2.9499999999999997,3.6666666666666665,2.275,2012.0,7.0,243.576,289.137,1055.0,1186.0,10155.0,902.0,1781.0,11533.0,730500.0
2012-08-01,140.125,9.6,9.725,2.95,5.75,1.675,2012.0,8.0,243.759,260.853,1055.0,1186.0,10155.0,902.0,1781.0,11533.0,730500.0
2012-09-01,115.65,10.375,9.75,4.475,14.25,2.45,2012.0,9.0,251.637,210.367,1055.0,1186.0,10155.0,902.0,1781.0,11533.0,730500.0
2012-10-01,135.525,11.7,9.975,4.875,19.0,2.075,2012.0,10.0,271.919,188.715,1036.0,1298.0,10913.0,896.0,1795.0,11545.0,730500.0
2012-11-01,51.3,12.675,10.575,4.075,12.25,2.45,2012.0,11.0,286.294,163.83,1036.0,1298.0,10913.0,896.0,1795.0,11545.0,730500.0
2012-12-01,77.27499999999999,16.775,13.875,4.3,11.5,2.675,2012.0,12.0,335.644,153.607,1036.0,1298.0,10913.0,896.0,1795.0,11545.0,730500.0
2013-01-01,113.9,17.1,13.825,4.575,16.25,2.375,2013.0,1.0,346.213,140.893,1056.0,1305.0,11183.0,877.0,1625.0,10223.0,738100.0
2013-02-01,31.1,16.974999999999998,14.475,3.4250000000000003,7.25,2.0,2013.0,2.0,327.533,131.574,1056.0,1305.0,11183.0,877.0,1625.0,10223.0,738100.0
2013-03-01,50.9,16.575,14.2,3.325,7.0,1.65,2013.0,3.0,329.087,150.785,1056.0,1305.0,11183.0,877.0,1625.0,10223.0,738100.0
2013-04-01,166.175,13.7,12.65,3.225,9.25,2.1,2013.0,4.0,272.909,167.871,1089.0,1307.0,11550.0,864.0,1752.0,10858.0,738100.0
2013-05-01,110.275,10.6,10.1,2.95,6.0,2.325,2013.0,5.0,275.186,217.963,1089.0,1307.0,11550.0,864.0,1752.0,10858.0,738100.0
2013-06-01,183.225,8.35,8.825,3.0250000000000004,6.75,2.55,2013.0,6.0,263.124,251.091,1089.0,1307.0,11550.0,864.0,1752.0,10858.0,738100.0
2013-07-01,53.9,8.425,8.3,3.45,8.75,2.325,2013.0,7.0,244.482,271.802,1185.0,1083.0,10416.0,875.0,1997.0,12536.0,738100.0
