time,Est. Total consumption (GWh)
2018-03-01,177.99420403814503
2018-04-01,201.01353348704097
2018-05-01,232.9700655756352
2018-06-01,261.1132126911472
2018-07-01,274.6709712338989
2018-08-01,269.3002873720463
2018-09-01,243.04232230712827
2018-10-01,215.5540363653288
2018-11-01,198.4760630210015
2018-12-01,180.38258588337666
2019-01-01,172.51638804146626
2019-02-01,168.6031111705308
2019-03-01,185.04193130566495
2019-04-01,202.9599839199321
2019-05-01,243.6493487366397
2019-06-01,274.7477394139585
2019-07-01,287.0518689097427
2019-08-01,273.8765860212484
2019-09-01,240.60480924982738
2019-10-01,208.90597053613632
2019-11-01,191.84233462444118
2019-12-01,180.3247064849339
2020-01-01,173.43734964519123
2020-02-01,172.3519752068238
2020-03-01,180.04778976783075
2020-04-01,206.19244508148574
2020-05-01,241.1787033799248
2020-06-01,277.5713444039183
2020-07-01,289.9043095990395
2020-08-01,278.60500551948485
2020-09-01,244.90307830740835
2020-10-01,212.5951964271274
2020-11-01,191.2601723421937
2020-12-01,177.9873412810042
2021-01-01,176.55854391228573
2021-02-01,179.40998357815215
2021-03-01,186.23667522905993
2021-04-01,207.8429235697843
2021-05-01,245.67117731254717
2021-06-01,281.39527153145985
2021-07-01,295.42620799459223
2021-08-01,285.9948544063726
2021-09-01,249.95497162986777
2021-10-01,223.7868501689266
2021-11-01,197.10374014782414
2021-12-01,182.24003378733883
2022-01-01,180.03309272569138
2022-02-01,180.9985896822254
2022-03-01,195.61208520061209
2022-04-01,215.53094945366638
2022-05-01,255.95888172714336
2022-06-01,292.5002390702057
2022-07-01,312.1029388914302
2022-08-01,297.483610720605
2022-09-01,259.88320999876714
2022-10-01,223.33515246301454
2022-11-01,198.6386355509034
2022-12-01,187.59812483697857
2023-01-01,186.8210080548691
2023-02-01,189.3653055190424
2023-03-01,196.67880585734756
2023-04-01,214.84287752096228
2023-05-01,254.50439464481198
2023-06-01,298.260062233905
2023-07-01,316.2184393278774
2023-08-01,300.9286170553984
2023-09-01,265.86879635214945
2023-10-01,232.35151919846342
2023-11-01,202.38203239694514
2023-12-01,195.32968207737784
2024-01-01,194.24922593839102
2024-02-01,188.97974405635003
2024-03-01,192.15033757181598
2024-04-01,212.58726250691765
2024-05-01,255.85883754939132
2024-06-01,299.93188246873524
