time,Est. Total consumption (GWh)
2018-03-01,154.37669212704554
2018-04-01,183.41065845273548
2018-05-01,216.2151586540828
2018-06-01,244.76402382693726
2018-07-01,257.31487932739924
2018-08-01,246.21661777302862
2018-09-01,226.63885321961905
2018-10-01,195.88120984017482
2018-11-01,168.2303015369368
2018-12-01,150.90486128785943
2019-01-01,141.51219419135455
2019-02-01,138.64191279303193
2019-03-01,154.63617207976543
2019-04-01,188.76197460352137
2019-05-01,227.34045114414874
2019-06-01,256.10503332382257
2019-07-01,264.81947187260914
2019-08-01,248.60524479766121
2019-09-01,221.71497873862677
2019-10-01,193.7254388840432
2019-11-01,169.98612284603584
2019-12-01,149.64826857404768
2020-01-01,137.10335104325844
2020-02-01,134.5883937091963
2020-03-01,155.97130090790583
2020-04-01,187.87685572897405
2020-05-01,218.67497406250223
2020-06-01,243.36467957418787
2020-07-01,249.4607807891175
2020-08-01,244.1919139846382
2020-09-01,216.88169543666248
2020-10-01,196.46072688892602
2020-11-01,169.31875524824486
2020-12-01,149.47054777347722
2021-01-01,138.13977184234938
2021-02-01,141.43042475047076
2021-03-01,157.15560291086493
2021-04-01,183.64522793512268
2021-05-01,215.32746775061128
2021-06-01,243.74941070093092
2021-07-01,249.68238447014733
2021-08-01,242.65526783034082
2021-09-01,220.62006496656824
2021-10-01,196.84695628543986
2021-11-01,170.58816130569045
2021-12-01,152.28732200536493
2022-01-01,142.4513491439755
2022-02-01,146.71863096758014
2022-03-01,158.5595521983386
2022-04-01,184.39921256331087
2022-05-01,221.29953423474487
2022-06-01,246.06810071053712
2022-07-01,260.43411388999556
2022-08-01,253.6162501465382
2022-09-01,235.71679513071174
2022-10-01,200.4743279213434
2022-11-01,175.19827134521526
2022-12-01,156.73779796590281
2023-01-01,148.67558877421462
2023-02-01,148.3482903530006
2023-03-01,158.9766554629585
2023-04-01,183.64658764645048
2023-05-01,221.71402172485722
2023-06-01,250.60599861203588
2023-07-01,269.4515141654958
2023-08-01,264.41058697911336
2023-09-01,237.78007968423972
2023-10-01,201.8784879437662
2023-11-01,168.4729519623399
2023-12-01,150.9964029441161
2024-01-01,149.4478951723216
2024-02-01,151.72822296881043
2024-03-01,164.4055000703967
2024-04-01,184.26094007042124
2024-05-01,217.6614349934897
2024-06-01,247.15460391257275
