time,Est. Total consumption (GWh)
2018-03-01,91.61857956590868
2018-04-01,105.8328103630647
2018-05-01,128.05816891647046
2018-06-01,143.07488689889314
2018-07-01,153.15831487728383
2018-08-01,147.51298224122203
2018-09-01,129.32389835224683
2018-10-01,109.491454393113
2018-11-01,94.20261484599817
2018-12-01,84.21028309854628
2019-01-01,77.58451946128639
2019-02-01,75.92829183861184
2019-03-01,88.1282545111669
2019-04-01,109.14635027711547
2019-05-01,137.04825944728364
2019-06-01,155.90426124990134
2019-07-01,159.37331504758782
2019-08-01,149.30935813128823
2019-09-01,133.1385907073518
2019-10-01,113.71120571185773
2019-11-01,97.1211226360521
2019-12-01,84.41738006014135
2020-01-01,76.35633673078551
2020-02-01,76.7136686544837
2020-03-01,87.67460848121983
2020-04-01,104.80587645875431
2020-05-01,127.16964015032111
2020-06-01,145.91259791213554
2020-07-01,150.15586074482172
2020-08-01,145.9670773419251
2020-09-01,130.42407963661836
2020-10-01,113.22832518471114
2020-11-01,96.87982945541245
2020-12-01,86.14100266761567
2021-01-01,79.38297352631913
2021-02-01,80.17786516326026
2021-03-01,87.05134446404072
2021-04-01,105.32767304744522
2021-05-01,128.15198150690867
2021-06-01,146.3768914646385
2021-07-01,151.88293368476326
2021-08-01,144.4431835109972
2021-09-01,128.30403351016332
2021-10-01,111.2986813024595
2021-11-01,93.58367693792239
2021-12-01,86.79994522343412
2022-01-01,81.26403253667826
2022-02-01,79.76377635342104
2022-03-01,89.62441804270568
2022-04-01,105.3470651989077
2022-05-01,130.0708865744031
2022-06-01,150.20700820136958
2022-07-01,157.88410772521144
2022-08-01,150.23095911548077
2022-09-01,131.99771595948008
2022-10-01,111.10964442192665
2022-11-01,95.42953028328752
2022-12-01,86.98163223928168
2023-01-01,81.1166604707907
2023-02-01,79.08767199827618
2023-03-01,87.85102348779117
2023-04-01,103.7614550192612
2023-05-01,132.38390753240063
2023-06-01,153.00743570098794
2023-07-01,162.30345262313926
2023-08-01,154.1141928055191
2023-09-01,135.72719358272067
2023-10-01,115.26953638491045
2023-11-01,96.88989978442794
2023-12-01,85.70030244438757
2024-01-01,80.26615897556894
2024-02-01,77.05198806051935
2024-03-01,86.16189048080756
2024-04-01,104.33163779811662
2024-05-01,129.6739294502703
2024-06-01,152.49920139857198
