time,Est. Total consumption (GWh)
2018-03-01,276.68739013789434
2018-04-01,305.81428981225525
2018-05-01,368.0678176676628
2018-06-01,414.5325293031586
2018-07-01,459.93424256668396
2018-08-01,442.1460379571297
2018-09-01,400.78040044946437
2018-10-01,352.86431377978704
2018-11-01,321.56789737662785
2018-12-01,288.982940073096
2019-01-01,280.4310404586231
2019-02-01,267.17972958211834
2019-03-01,270.3115924175663
2019-04-01,309.37626525633084
2019-05-01,369.1047569568687
2019-06-01,435.5282815015522
2019-07-01,464.67365204741543
2019-08-01,446.59885625480393
2019-09-01,395.0953476895788
2019-10-01,351.4688693789471
2019-11-01,318.2561506571107
2019-12-01,289.0748034081025
2020-01-01,268.8785453024746
2020-02-01,263.4435768541647
2020-03-01,292.3848218261989
2020-04-01,321.7385281324406
2020-05-01,386.93734500123094
2020-06-01,443.4232588376924
2020-07-01,453.5246989118525
2020-08-01,441.42628079185687
2020-09-01,387.41162993858717
2020-10-01,344.10918431813894
2020-11-01,299.0569555525213
2020-12-01,280.9969319914657
2021-01-01,262.0465936741573
2021-02-01,278.1107572389053
2021-03-01,291.86837947647064
2021-04-01,320.2354933525234
2021-05-01,381.2014884613355
2021-06-01,440.5525223539107
2021-07-01,456.56023913063973
2021-08-01,449.6521252734634
2021-09-01,403.92698469361966
2021-10-01,354.4066872838542
2021-11-01,307.9695048655245
2021-12-01,286.1384925420276
2022-01-01,283.6997090875841
2022-02-01,286.2337927265824
2022-03-01,310.48760359036925
2022-04-01,341.1022997399784
2022-05-01,400.31024925127645
2022-06-01,450.263144539165
2022-07-01,485.85297288057575
2022-08-01,465.76985577075124
2022-09-01,430.932279232184
2022-10-01,378.2899665409997
2022-11-01,330.43603190883283
2022-12-01,318.1287099081236
2023-01-01,315.03823054852813
2023-02-01,318.0750988778833
2023-03-01,325.6817828280459
2023-04-01,347.65974961702307
2023-05-01,392.9623245888322
2023-06-01,451.03620634161604
2023-07-01,487.6711614010055
2023-08-01,459.3406031333173
2023-09-01,422.3094752770978
2023-10-01,374.6021097368919
2023-11-01,331.96045653163924
2023-12-01,320.60793580622374
2024-01-01,321.386315878788
2024-02-01,305.23767728726995
2024-03-01,316.95042452015446
2024-04-01,355.1439205522712
2024-05-01,404.92147597194213
2024-06-01,456.4592251047525
