time,Est. Total consumption (GWh)
2018-03-01,158.6509638055756
2018-04-01,193.74773860346875
2018-05-01,236.54551413092125
2018-06-01,266.3932735102242
2018-07-01,273.7469944864111
2018-08-01,254.50428966485657
2018-09-01,221.9913204948028
2018-10-01,192.66384594890465
2018-11-01,167.7784783396942
2018-12-01,147.60182036628268
2019-01-01,132.06545638161748
2019-02-01,135.4167508986454
2019-03-01,153.01985936738976
2019-04-01,190.62468562842795
2019-05-01,224.09509369918277
2019-06-01,255.74158795281963
2019-07-01,265.11771482370915
2019-08-01,255.180436778799
2019-09-01,224.72350456802667
2019-10-01,197.51681533345402
2019-11-01,171.7560452595834
2019-12-01,149.40566320434047
2020-01-01,137.6124416772335
2020-02-01,136.2086236781315
2020-03-01,155.32744969449428
2020-04-01,185.94832930251397
2020-05-01,227.9890923186622
2020-06-01,255.60885364042255
2020-07-01,268.41092810322135
2020-08-01,255.28302793010357
2020-09-01,226.40276101809343
2020-10-01,196.17190667534524
2020-11-01,165.56966724047086
2020-12-01,148.32510659243886
2021-01-01,136.1425791438881
2021-02-01,143.15530698174257
2021-03-01,155.2540766669662
2021-04-01,188.12697963221865
2021-05-01,228.88845316532806
2021-06-01,258.90103440364334
2021-07-01,268.7715296945683
2021-08-01,253.85223896307997
2021-09-01,219.3005484160688
2021-10-01,185.87702921504274
2021-11-01,170.64870240671956
2021-12-01,155.53927591775823
2022-01-01,151.70024286128384
2022-02-01,153.0042018228089
2022-03-01,164.35561510121534
2022-04-01,189.49906404653385
2022-05-01,231.1049151365871
2022-06-01,261.6979900735611
2022-07-01,278.0265774383034
2022-08-01,262.5694542164535
2022-09-01,227.81943588863695
2022-10-01,192.4815191371783
2022-11-01,163.49744677434796
2022-12-01,152.67439709910525
2023-01-01,147.53533958180057
2023-02-01,156.00862115656696
2023-03-01,166.26629876648283
2023-04-01,189.0863208945916
2023-05-01,229.54609738266032
2023-06-01,259.3964495054294
2023-07-01,274.25861993138267
2023-08-01,262.97862227159374
2023-09-01,231.6929957533766
2023-10-01,193.7182050372978
2023-11-01,166.25782757812615
2023-12-01,156.1657166082932
2024-01-01,145.95305965919474
2024-02-01,148.63412035395433
2024-03-01,165.07548652307744
2024-04-01,183.7433961997103
2024-05-01,226.32172370764388
2024-06-01,256.98404066532703
