Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2010-04-01,4271,28.6,14.5,12.1,3.1,9,1.6
2010-08-01,4271,126.8,9.8,10.2,2.5,4,1.5
2010-12-01,4271,183.4,18.2,15.2,4.7,14,1.8
2010-02-01,4271,28.6,19.4,15.8,3.2,7,1.2
2010-01-01,4271,97.2,18.4,14.9,3.7,-,2
2010-07-01,4271,29,7.9,8.1,1.9,4,1.7
2010-06-01,4271,153.2,9,9.3,2.5,10,2.1
2010-03-01,4271,31,17.2,12.9,4.2,19,2.1
2010-05-01,4271,137.8,12,11.3,2.4,4,2.1
2010-11-01,4271,22.6,16,13.6,3.5,9,2.7
2010-10-01,4271,5.6,12.4,10.3,3.8,10,1.7
2010-09-01,4271,123.2,10.9,10.1,3.8,17,2.1
2011-04-01,4271,87.4,13.7,11.8,3,10,1.9
2011-08-01,4271,14.8,8.1,8.2,2.5,6,1.9
2011-12-01,4271,445.6,16.7,15.6,3.4,6,1.6
2011-02-01,4271,10.6,19.4,15.5,3.6,6,1.8
2011-01-01,4271,47.4,18.6,14.8,4.1,15,1.7
2011-07-01,4271,64.6,7.5,7.7,2.5,9,1.6
2011-06-01,4271,124.8,10.4,10.4,2.6,8,2.1
2011-03-01,4271,44.4,16.7,13.9,3.2,6,1.9
2011-05-01,4271,226.8,13.7,12.9,4.4,17,2.3
2011-11-01,4271,61.4,14.6,11.4,4.5,15,2
2011-10-01,4271,174.2,13,11.7,3.5,9,2
2011-09-01,4271,33.4,10.2,9.1,3.3,11,1.3
2012-04-01,4271,49.2,14,11.5,2.5,6,1.4
2012-08-01,4271,131.2,10.2,10,2.1,4,1.5
2012-12-01,4271,35.9,18,14.4,4.2,-,2.7
2012-02-01,4271,74.2,17.8,14.3,3.5,-,1.5
2012-01-01,4271,12.4,17.9,13.9,4.2,15,1.7
2012-07-01,4271,66.2,8.5,8.3,2.3,6,2.4
2012-06-01,4271,172,8,8.2,2.8,12,2
2012-03-01,4271,47.6,15.8,12,3.4,11,1.7
2012-05-01,4271,29.6,10.4,9.4,2.5,7,1.9
2012-11-01,4271,23.8,14.1,10.2,4.3,11,2.2
2012-10-01,4271,60.8,12.6,9.7,4.7,22,1.6
2012-09-01,4271,134,10.8,10,3.7,12,2
2013-04-01,4271,194.6,14.8,13.1,2.7,9,1.7
2013-08-01,4271,59,10.4,10.2,2.5,7,1.6
2013-12-01,4271,76,17.9,14,4.2,15,1.6
2013-02-01,4271,28.4,18.2,14.9,3.2,4,1.5
2013-01-01,4271,112.6,17.9,14,4.7,18,1.6
2013-07-01,4271,19.4,8.4,8.5,2.7,8,1.8
2013-06-01,4271,136.8,9.1,9.2,2.2,9,2.3
2013-03-01,4271,62,17.9,14.7,2.9,5,1.4
2013-05-01,4271,93.8,11.2,10.6,2.1,4,2.2
2013-11-01,4271,43.8,16.3,13.8,3.5,9,2
2013-10-01,4271,73.4,13.4,11.5,4.3,18,1.8
2013-09-01,4271,89.2,11.1,10.3,3.6,12,2.6
2014-04-01,4271,-,14.9,13.5,2.8,7,2.3
2014-08-01,4271,-,8.5,8.6,2.7,8,1.7
2014-12-01,4271,124,17.1,15,4.1,14,2.3
2014-02-01,4271,43.6,18.2,14.9,3.6,9,1.8
2014-01-01,4271,81.4,16.9,12.9,4.4,16,1.4
2014-07-01,4271,47.8,7.5,7.9,2.2,7,2
2014-06-01,4271,141.8,10,10,2.6,10,1.7
2014-03-01,4271,99.4,15.9,12.9,3.2,6,2.2
2014-05-01,4271,63.4,11,10.5,2.3,6,2.4
2014-11-01,4271,-,13.9,10.3,4.6,19,2.8
2014-10-01,4271,30,12.7,10.7,4,15,2.2
2014-09-01,4271,69.4,11.3,10.1,3.2,9,1.9
2015-04-01,4271,128,14.3,13.3,3.1,7,2.4
2015-08-01,4271,50,8.4,9.2,2.6,5,2.4
2015-12-01,4271,48.4,16.7,12.6,4.4,16,2.1
2015-02-01,4271,37,17.5,14.1,3.1,7,1.9
2015-01-01,4271,13.4,18.8,15.5,3.5,7,1.6
2015-07-01,4271,71.4,7.3,8.1,2.6,5,2.1
2015-06-01,4271,111.2,8.8,9,3.2,11,2.5
2015-03-01,4271,74.2,17.3,15.2,3.2,5,1.9
2015-05-01,4271,33.4,10.7,10.2,3,10,2.9
2015-11-01,4271,26.2,14.1,10.9,4.1,11,2.3
2015-10-01,4271,30.2,13.6,10,4.4,18,1.8
2015-09-01,4271,60.6,10.2,9,3.1,9,2
2016-04-01,4271,43.2,14.4,11.9,2.7,6,1.9
2016-08-01,4271,-,7.8,8.3,2.1,5,2.1
2016-12-01,4271,71.8,16.2,13,4.6,-,1.5
2016-02-01,4271,100.6,20.2,16.4,3.9,10,1.2
2016-01-01,4271,153.8,19,15.6,4.3,8,1.9
2016-07-01,4271,92.4,7.9,7.9,3.1,12,1.4
2016-06-01,4271,148.8,9.6,9.9,2.3,6,2.3
2016-03-01,4271,158.2,17.6,14.1,3.1,7,2.6
2016-05-01,4271,166,12.4,11.8,2.5,8,2.8
2016-11-01,4271,110.4,14.9,12.2,4.8,19,2.2
2016-10-01,4271,182.6,13.2,11.1,4,14,2.2
2016-09-01,4271,45.4,11.1,10.6,2.5,5,2.6
2017-04-01,4271,185.2,14.4,14.1,2.6,7,1.7
2017-08-01,4271,103.6,9.4,10.4,2.3,4,2
2017-12-01,4271,9.8,19,14.7,3.9,11,1.9
2017-02-01,4271,26.4,18,15.7,3.2,7,2.2
2017-01-01,4271,70,17.3,13.6,4.8,20,2.1
2017-07-01,4271,136.2,7.9,8.7,2.4,4,2.3
2017-06-01,4271,58.8,8.8,8.7,2.2,5,1.5
2017-03-01,4271,94,17.4,14.7,3.1,11,1.8
2017-05-01,4271,115.6,10.5,10.4,2.2,7,2
2017-11-01,4271,-,15.3,13.2,3.8,-,1.8
2017-10-01,4271,81.4,13.9,11.7,3.9,11,1.5
2017-09-01,4271,86.2,11.1,11.1,3.2,8,2.2
2018-04-01,4271,81.4,13.7,11.8,3.1,15,2.4
2018-08-01,4271,118.8,9.6,9.9,2.4,5,1.4
2018-12-01,4271,-,18,15.3,3.4,-,1.8
2018-02-01,4271,-,18.5,16.1,3.4,-,1.6
2018-01-01,4271,-,20.7,19.3,3.4,-,1.5
2018-07-01,4271,90.2,7.7,8.7,2.2,6,1.4
2018-06-01,4271,32.6,7.9,8,1.9,6,2.2
2018-03-01,4271,117.4,17.2,15.2,2.8,8,1.9
2018-05-01,4271,93,11.2,10.9,2.6,8,3
2018-11-01,4271,27,14.7,12.6,4.1,10,2.1
2018-10-01,4271,77.2,12.9,11.7,3.6,5,1.8
2018-09-01,4271,26.8,10.7,9.9,3.2,8,1.9
2019-04-01,4271,41.2,13.8,12.2,3,6,2
2019-08-01,4271,-,8.7,8.4,3.5,13,1.8
2019-12-01,4271,155.6,16.7,13.6,5.3,21,1.4
2019-02-01,4271,4.6,18.6,13.8,4.3,11,2.4
2019-01-01,4271,6.2,20.6,15.5,4.7,15,2.7
2019-07-01,4271,164.4,8.8,9.5,2.8,10,1.4
2019-06-01,4271,38.8,8.4,8.5,2.5,7,2.5
2019-03-01,4271,97.6,17.9,16.3,3.4,6,1.4
2019-05-01,4271,114.8,12.4,11.4,3.1,11,1.7
2019-11-01,4271,65.4,15.4,13.3,4.4,16,2.2
2019-10-01,4271,89.6,12.3,10.8,4.4,17,2.1
2019-09-01,4271,118,10.4,9.7,3.7,13,1.5
2020-04-01,4271,39.6,13.7,11.7,3.3,10,1.7
2020-08-01,4271,98,10,9.9,2.7,6,1.5
2020-12-01,4271,84,16.4,13.6,4.3,13,2
2020-02-01,4271,29,19,16,4.5,12,2.6
2020-01-01,4271,4,18.3,14.8,4.4,12,2.7
2020-07-01,4271,57,8.6,8.6,2.6,9,1.9
2020-06-01,4271,61.4,10.5,10.1,2.7,10,2
2020-03-01,4271,39.4,16.1,13.1,3.3,8,1.7
2020-05-01,4271,68,11.1,10.8,2.7,5,2.3
2020-11-01,4271,208,15.1,12.9,4,13,1.8
2020-10-01,4271,48.8,13.2,11.5,3.8,8,2.3
2020-09-01,4271,73,10.9,10.1,3.6,15,2.2
2021-04-01,4271,82.4,14.4,12.6,3.1,8,2.1
2021-08-01,4271,187,9.7,9.5,3.3,16,1.9
2021-12-01,4271,110,18.7,15.5,4.5,14,1.4
2021-02-01,4271,51.8,17.7,15.2,3.7,6,1.7
2021-01-01,4271,12.8,17.9,14.7,4.2,14,2.1
2021-07-01,4271,159.4,8.4,9,3.4,14,2.2
2021-06-01,4271,76.4,10.5,10.5,2.5,8,2.1
2021-03-01,4271,163.2,16.3,14.3,3.6,11,1.5
2021-05-01,4271,126.6,11.5,10.7,2.9,8,2.8
2021-11-01,4271,29.4,15.9,13.5,4,12,1.8
2021-10-01,4271,93,13.2,11.8,3.8,12,2.2
2021-09-01,4271,120.8,10.6,9.5,3.8,16,1.7
2022-04-01,4271,31,14.9,13.3,3,6,2
2022-08-01,4271,305.2,9.9,10.2,3,7,2.7
2022-12-01,4271,62.4,17.6,14.7,3.7,9,1.7
2022-02-01,4271,180.6,18.4,16.4,4,9,1.8
2022-01-01,4271,27,19.1,15.4,3.7,8,1.8
2022-07-01,4271,233.2,9.2,9.3,2.9,10,2
2022-06-01,4271,172.2,9.6,10.1,2.8,11,2.1
2022-03-01,4271,35.6,17.2,14.9,2.7,3,1.9
2022-05-01,4271,100.6,12.7,12.2,2.6,7,2.5
2022-11-01,4271,-,15.7,13.4,4.3,-,1.7
2022-10-01,4271,16.8,12.7,10.6,4.4,15,2.4
2022-09-01,4271,91,11.1,10.5,3.2,10,2
2023-04-01,4271,111.2,14.7,13.2,3.2,13,1.7
2023-08-01,4271,71.2,8,8.5,2.4,4,1.8
2023-12-01,4271,65.2,18,15.7,4.8,16,1.9
2023-02-01,4271,73.8,19.1,15.9,4.1,12,2
2023-01-01,4271,75,19.1,16,3,5,1.5
2023-07-01,4271,-,9.1,8.2,3.6,-,2.1
2023-06-01,4271,83.8,10.3,9.7,2.1,3,2
2023-03-01,4271,52.8,16.8,13.7,3.7,-,2.5
2023-05-01,4271,220.8,13.2,12.8,3.4,12,2.8
2023-11-01,4271,-,15.2,12.4,3.9,-,2
2023-10-01,4271,36.2,12.9,11.1,4.1,14,1.9
2023-09-01,4271,79,12,10.9,4.3,17,1.6
2024-04-01,4271,77.4,14.3,12.6,3.6,12,2
2024-08-01,4271,-,-,-,-,-,-
2024-12-01,4271,-,-,-,-,-,-
2024-02-01,4271,-,18.1,13.8,4,11,1.6
2024-01-01,4271,51.6,19.3,16.1,4.3,12,2.1
2024-07-01,4271,-,8.7,9,2.3,-,1.7
2024-06-01,4271,139,9.8,9.5,2.3,6,1.8
2024-03-01,4271,22.2,15.9,11.9,3.9,12,2.4
