Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2010-04-01,1673,79.8,15.2,14.2,2.7,2,2.2
2010-08-01,1673,251.9,11.4,12.4,3.7,-,2.3
2010-12-01,1673,130.8,19.1,17.9,4.1,9,1.7
2010-02-01,1673,29.4,20.3,19.3,2.9,2,1.6
2010-01-01,1673,132.4,18.8,16.7,3.5,5,2.2
2010-07-01,1673,60.8,9.1,9.1,2.8,-,1.9
2010-06-01,1673,320.9,10.2,10.5,3.3,11,2.5
2010-03-01,1673,29.1,18,14.7,3.3,5,1.8
2010-05-01,1673,294.2,13,12.5,3.2,7,2.4
2010-11-01,1673,39.4,16.1,14.5,3.5,5,2.6
2010-10-01,1673,55.1,13.1,12.6,3.7,13,2
2010-09-01,1673,149.3,12.6,12.6,4.8,17,2
2011-04-01,1673,256.9,15.2,15.2,3.4,-,1.9
2011-08-01,1673,72,9.4,9.6,3,4,2.5
2011-12-01,1673,167,17.8,16.2,4.6,10,1.5
2011-02-01,1673,64.6,21,19.5,2.9,2,1.9
2011-01-01,1673,337.2,19.9,18.4,4,-,1.6
2011-07-01,1673,72.6,10,9.8,3.8,9,2.5
2011-06-01,1673,224.6,11.4,11.8,3.2,-,2.3
2011-03-01,1673,163.2,18,16.8,3.2,6,2.1
2011-05-01,1673,207.3,14.8,14.9,3.7,-,2.7
2011-11-01,1673,49.2,16,13.5,4.6,13,2
2011-10-01,1673,191.8,14.2,13.8,4.2,7,1.8
2011-09-01,1673,30.9,10.5,10.5,3.4,-,1.7
2012-04-01,1673,51.2,15.4,14.3,3.2,6,2.3
2012-08-01,1673,113.6,10.5,11.3,2.7,-,1.2
2012-12-01,1673,58.2,19,18.5,3.8,8,2.7
2012-02-01,1673,83.8,18.7,16.7,3.4,-,1.9
2012-01-01,1673,86.4,19.1,16.8,4.2,9,1.8
2012-07-01,1673,168,9.3,9.7,3.3,5,2.7
2012-06-01,1673,36.4,9.2,9.7,3.3,8,2.4
2012-03-01,1673,139.2,16.8,15.2,4,10,2.1
2012-05-01,1673,124,11.3,11.2,3.2,7,2.9
2012-11-01,1673,16.8,14.2,12,3.9,9,2.2
2012-10-01,1673,49.4,12.8,11.8,4.3,-,2
2012-09-01,1673,81,11.8,11.1,4.2,-,2.7
2013-04-01,1673,115.6,16.3,15.9,3.4,6,2.3
2013-08-01,1673,92.6,11.2,11.7,3.3,11,1.7
2013-12-01,1673,161.8,18.2,17.9,3.7,8,1.5
2013-02-01,1673,10.9,18.9,16.9,3.5,4,1.6
2013-01-01,1673,14,19,16.6,3.9,11,2.2
2013-07-01,1673,56.6,9,9.4,2.5,4,1.7
2013-06-01,1673,101,10.2,10.6,3,7,2.6
2013-03-01,1673,7.2,18.7,16.4,3.5,4,2.3
2013-05-01,1673,106.1,12.5,12.6,2.9,10,2.5
2013-11-01,1673,92,17,15.7,3.7,8,1.9
2013-10-01,1673,24,14.2,13.6,4.2,14,1.8
2013-09-01,1673,127.6,12.5,12.7,4.2,14,2.7
2014-04-01,1673,207,16.8,17.1,3.3,5,3
2014-08-01,1673,70.2,9.6,9.7,3.7,13,2.1
2014-12-01,1673,176.2,17.5,15.2,3.6,5,2.1
2014-02-01,1673,47.8,19,18,3.5,4,1.9
2014-01-01,1673,44.6,18.2,16.4,4.1,11,2.1
2014-07-01,1673,47.4,9.1,9.1,3.4,7,2.3
2014-06-01,1673,-,11.4,11.5,3.1,-,2
2014-03-01,1673,39.6,17.2,16,3.3,5,1.7
2014-05-01,1673,70.4,11.6,11.9,2.7,4,2.4
2014-11-01,1673,41.8,14.7,12.4,4.3,15,2.4
2014-10-01,1673,43.4,13.6,12,4.3,9,2.2
2014-09-01,1673,144,12.5,12.2,3.8,10,2
2015-04-01,1673,59.8,15.6,14.9,3.1,6,2.8
2015-08-01,1673,78,9.7,10.7,3,7,2.2
2015-12-01,1673,15.2,18,14.1,3.6,8,2
