Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2010-04-01,2283,54.4,15.3,15.2,5,15,2.1
2010-08-01,2283,204.2,10.7,12.2,4.8,17,1.7
2010-12-01,2283,180.8,17.8,17.9,5,12,1.7
2010-02-01,2283,149.6,19.4,19.6,4.4,7,1.7
2010-01-01,2283,60,17.4,17.4,5.6,18,2.5
2010-07-01,2283,59,9.4,10.2,4.7,10,1.8
2010-06-01,2283,264,11,11.9,5.1,19,2.1
2010-03-01,2283,65.8,16.8,15.9,5.5,21,2
2010-05-01,2283,223,13.2,13.1,4.8,-,1.8
2010-11-01,2283,26.8,14.8,14.3,4.8,12,2.1
2010-10-01,2283,36,12.7,12.4,6,20,1.8
2010-09-01,2283,235.6,12.4,13.2,7.5,20,1.8
2011-04-01,2283,140.8,14.6,13.9,5.5,14,2.2
2011-08-01,2283,84.6,9.6,10.7,4.8,13,2.3
2011-12-01,2283,343,16.9,15.9,5,12,1.5
2011-02-01,2283,24.2,18.8,19.3,3.8,9,1.9
2011-01-01,2283,140.4,18.2,17.5,5.9,18,1.9
2011-07-01,2283,143.8,9.4,9.6,6.7,21,2.2
2011-06-01,2283,244.6,11.7,12.1,5,17,2
2011-03-01,2283,206.2,17.1,16.4,4.7,13,2
2011-05-01,2283,193.8,14.8,14.9,5.6,-,2.4
2011-11-01,2283,107.8,14.2,13.7,6.5,23,1.6
2011-10-01,2283,248,13.5,13.6,5.3,17,1.8
2011-09-01,2283,77.8,10.5,11.4,5.2,14,1.5
2012-04-01,2283,69.6,14.8,13.9,5.1,14,2.2
2012-08-01,2283,97,10.7,11.4,3.6,11,1.5
2012-12-01,2283,94.2,17.1,16.8,4.9,10,3.3
2012-02-01,2283,165.6,17.5,17.3,4.1,8,1.6
2012-01-01,2283,63.6,17,16.6,5.6,16,2
2012-07-01,2283,184.4,9.8,10.4,5.1,-,2.2
2012-06-01,2283,113,10,10.7,5.6,21,2.5
2012-03-01,2283,132.8,15.8,14.3,5.8,17,1.7
2012-05-01,2283,117.6,11.6,12,4.8,15,2.2
2012-11-01,2283,77,13.1,11.8,6,23,1.4
2012-10-01,2283,137.2,12.7,12,7,23,1.6
2012-09-01,2283,113.2,11.8,11.1,6.4,18,2.3
2013-04-01,2283,122,15.9,14.9,5.3,16,2
2013-08-01,2283,97.4,11.9,11.5,5.3,-,1.4
2013-12-01,2283,135.6,16.5,15.4,5.4,14,1.8
2013-02-01,2283,29.6,17.6,15.3,5.1,12,1.7
2013-01-01,2283,55.2,17.9,16.1,5.2,15,1.8
2013-07-01,2283,-,9.9,10.3,4.6,-,1.8
2013-06-01,2283,173,10.7,10.8,5.2,16,2.3
2013-03-01,2283,56.4,17.3,15.4,4.5,13,1.8
2013-05-01,2283,232.6,12.6,12.4,4.6,15,2.3
2013-11-01,2283,80.6,15.4,14.7,5.1,12,2
2013-10-01,2283,149.8,13,13.3,6.5,20,1.8
2013-09-01,2283,130.4,11.9,12.1,6.7,24,2.4
2014-04-01,2283,222,16,15,5.7,15,2.4
2014-08-01,2283,104.6,9.9,10,5.5,18,2
2014-12-01,2283,73.8,16.1,15.6,4.7,12,2.1
2014-02-01,2283,20.2,18.1,16,5.3,12,1.6
2014-01-01,2283,106.6,16.1,15.1,6.3,26,1.8
2014-07-01,2283,72.2,9.1,9.9,5.1,18,2.5
2014-06-01,2283,-,12.1,12,5,15,1.6
2014-03-01,2283,28.6,15.9,14.1,5,17,1.9
2014-05-01,2283,86.8,12.5,12.7,4.9,14,2.6
2014-11-01,2283,97.6,13.4,13.3,6.6,23,1.9
2014-10-01,2283,103.2,12.3,12.7,6.1,20,1.5
2014-09-01,2283,142.8,12.2,12.1,5.9,18,1.9
2015-04-01,2283,195,15.3,15,5.1,13,2.5
2015-08-01,2283,193.2,9.9,10.6,5.2,-,2
2015-12-01,2283,42.2,16.1,13.6,5.4,19,1.9
2015-02-01,2283,82.6,17.4,15.8,5.1,9,1.7
2015-01-01,2283,52.2,18.5,17.2,4.5,10,1.7
2015-07-01,2283,125,8.9,9.8,5,16,2.3
2015-06-01,2283,211.8,11,11.3,6.4,24,2.5
2015-03-01,2283,118.8,17.3,16.5,4.8,13,1.8
2015-05-01,2283,129.4,12.2,12.5,4.9,14,2.7
2015-11-01,2283,60.6,13.6,12.6,5.4,15,2
2015-10-01,2283,60,12.7,12.1,6.3,27,1.8
2015-09-01,2283,71.2,11,10,6.3,25,1.6
2016-04-01,2283,59.6,15.6,13.6,4.6,13,2
2016-08-01,2283,90.4,9.7,9.9,5.1,15,1.7
2016-12-01,2283,50.2,15.2,14.8,5.5,16,1.5
2016-02-01,2283,62.8,20.6,17.8,4.9,8,1.4
2016-01-01,2283,56,18.8,16.5,5.2,11,1.8
2016-07-01,2283,128.6,10.2,9.9,6.7,19,2
2016-06-01,2283,99.6,11.8,11.3,5.4,14,2.2
2016-03-01,2283,58.4,18.5,15.6,5.1,15,2
2016-05-01,2283,165.4,14.9,13.9,6.4,22,2.4
2016-11-01,2283,118.8,14.4,14,7,26,1.6
2016-10-01,2283,98.4,13.3,12.6,5.9,21,2
2016-09-01,2283,114.6,12.8,11.9,5.5,12,2.3
2017-04-01,2283,207,15.4,15.1,4.7,9,2
2017-08-01,2283,217.4,11.3,12.2,5.2,16,1.9
2017-12-01,2283,23,18.4,16.8,5.1,13,1.9
2017-02-01,2283,73.4,17.6,17.6,4.6,11,1.9
2017-01-01,2283,92,15.9,16,6.4,20,1.9
2017-07-01,2283,160.8,9.9,10.3,5.4,17,2
2017-06-01,2283,89,10.2,10.5,4.5,13,1.6
