Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2010-04-01,5451,140,11.3,9.1,3.5,14,2.4
2010-08-01,5451,81.8,5.3,7,2.6,6,1.8
2010-12-01,5451,128.2,15.4,11.2,4.4,21,2.7
2010-02-01,5451,19,16.8,12,4.2,-,2.5
2010-01-01,5451,82.8,15.7,12,4.2,14,3.1
2010-07-01,5451,40.6,2.8,5.4,2.2,2,1.7
2010-06-01,5451,66.4,3.1,5.6,2.7,8,2.4
2010-03-01,5451,52.2,14.2,9.8,4,16,2.7
2010-05-01,5451,79.4,6.5,7.8,2.3,6,2
2010-11-01,5451,12.6,13.8,10.4,3.8,12,3.3
2010-10-01,5451,56.4,10.3,7.9,3.5,13,2.6
2010-09-01,5451,84.2,7.3,7.3,3.6,15,2.6
2011-04-01,5451,16.2,9.3,8.7,3.6,11,2.9
2011-08-01,5451,34.6,4.5,5.9,2.9,11,2.8
2011-12-01,5451,9.2,16.2,11.2,4,16,2.5
2011-02-01,5451,71.4,15.5,11.7,3.7,-,2.4
2011-01-01,5451,94,15.7,11.5,4.2,18,2
2011-07-01,5451,79.8,2.8,5.7,2.9,11,2.5
2011-06-01,5451,31.8,4.9,6.7,2.6,6,2.3
2011-03-01,5451,71.8,12.7,10.4,3.3,13,2.2
2011-05-01,5451,52.8,8.7,8.3,3.2,-,1.7
2011-11-01,5451,56.6,11.8,8.9,4.1,20,2.9
2011-10-01,5451,68.8,9.9,8.3,4,17,2.4
2011-09-01,5451,34.2,7.3,6.8,3.6,11,1.9
2012-04-01,5451,26.4,10.4,8.8,2.9,5,1.6
2012-08-01,5451,18.6,6,7,2.7,4,1.5
2012-12-01,5451,43.4,14.9,10.3,4,17,2.2
2012-02-01,5451,81.3,15.8,12.3,3.6,-,2.5
2012-01-01,5451,78.4,15.7,9.4,4.9,23,2.9
2012-07-01,5451,65.4,3.3,5.7,2.4,2,3.1
2012-06-01,5451,69,3.5,6.2,3.4,12,2.2
2012-03-01,5451,66.8,11.8,9.4,3.5,13,1.9
2012-05-01,5451,51.4,6.6,7.3,3,11,2
2012-11-01,5451,65.8,11.3,8.5,4.3,18,2.7
2012-10-01,5451,66.8,9.4,7.5,4.5,20,2.6
2012-09-01,5451,102,8.3,7.9,3.2,12,2.7
2013-04-01,5451,34.4,10.5,9,3,9,2.1
2013-08-01,5451,39.4,7,7.3,2.9,6,2.2
2013-12-01,5451,52.8,14.7,11.2,3.8,17,1.9
2013-02-01,5451,46.6,16.3,10.9,4,-,2.4
2013-01-01,5451,96,15.7,11,3.9,17,3
2013-07-01,5451,79.8,5.6,6.6,2.7,7,3
2013-06-01,5451,108.4,3.8,6.5,2.5,6,2.5
2013-03-01,5451,27.8,14.8,10.8,3.4,8,2.1
2013-05-01,5451,57.6,6.3,7.4,2.7,-,2.5
2013-11-01,5451,20,13.6,10.6,3.7,16,2.3
2013-10-01,5451,-,9.9,8.3,3.5,16,2.8
2013-09-01,5451,68.2,7.9,7.3,3.3,12,2.4
2014-04-01,5451,57.8,11.1,9.6,3.6,-,2.8
2014-08-01,5451,70.6,4.7,6.1,2.7,12,2.2
2014-12-01,5451,33.4,15.3,11.3,3.8,14,2.9
2014-02-01,5451,16.8,15.8,11.5,3.9,17,2.8
2014-01-01,5451,68,13.9,10.1,4.6,25,1.8
2014-07-01,5451,39,4.1,6.3,2.5,8,2.5
2014-06-01,5451,49.6,5.4,6.8,3.3,10,1.9
2014-03-01,5451,57.6,13.1,10.1,3.3,12,2.3
2014-05-01,5451,137,7,8.1,2.8,12,3.1
2014-11-01,5451,78.4,10.8,8,4.1,20,2.6
2014-10-01,5451,62.2,9.8,8.1,3.9,19,2.1
2014-09-01,5451,30.4,7.6,6.8,3.1,13,2.1
2015-04-01,5451,85,10.2,9.5,3.5,15,3.3
2015-08-01,5451,35,4.8,6.6,2.9,13,2.3
2015-12-01,5451,24.6,14.8,9.8,4.5,21,2.8
2015-02-01,5451,74,14.9,11.8,3.7,11,2.5
2015-01-01,5451,108.6,16.7,11.4,3.6,13,2.4
2015-07-01,5451,39.8,3.6,5.7,3.2,13,2.6
2015-06-01,5451,98,4.9,6.3,3.6,18,3.4
2015-03-01,5451,25.8,13.6,10.8,3.2,10,2.6
2015-05-01,5451,105,6.9,7.4,3,8,3
2015-11-01,5451,30,11.6,8.6,3.9,18,2.9
2015-10-01,5451,59.8,10.8,7.4,4.5,19,2.5
2015-09-01,5451,31.6,6.9,7,3.7,12,2.4
2016-04-01,5451,48.6,11.2,9.4,3,9,1.9
2016-08-01,5451,7.8,5.1,6.2,2.8,6,2.7
2016-12-01,5451,43.8,13.8,9.5,4.2,24,2.4
2016-02-01,5451,65.4,17.8,12.5,3.9,14,2.3
2016-01-01,5451,35.2,15.9,11,4.5,20,2.4
2016-07-01,5451,93.6,4.4,5.9,3.2,13,2.2
2016-06-01,5451,26.6,5.7,6.9,2.6,5,2.9
2016-03-01,5451,35.4,13.9,11,3.2,7,3.4
2016-05-01,5451,155.4,8.3,8.4,3.1,12,3.6
2016-11-01,5451,70.4,11.9,9.1,4.2,21,2.3
2016-10-01,5451,100,10.1,8.8,3.2,14,2.2
2016-09-01,5451,47.2,9,8.1,3.1,7,2.1
2017-04-01,5451,39.4,11,9.6,3.2,9,2.6
2017-08-01,5451,50.2,6.2,7.1,2.6,5,2.2
2017-12-01,5451,18.8,17,11.5,3.8,14,2.3
2017-02-01,5451,39.4,14.8,11.2,3.3,11,2.6
2017-01-01,5451,122.6,14,9.3,4.3,22,2.8
2017-07-01,5451,32.8,3.3,5.8,2.8,6,2
2017-06-01,5451,44.6,4.5,6.4,2.6,7,1.7
2017-03-01,5451,26.8,13.6,9.9,3.5,11,2.1
2017-05-01,5451,55.8,5.9,7.2,2.6,9,1.5
2017-11-01,5451,51.8,14.1,11.2,3.8,16,3.7
2017-10-01,5451,4.8,11.4,8.5,3.9,15,2.3
