Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2010-04-01,1287,40.8,17.2,15.9,2.6,4,1.4
2010-08-01,1287,166.8,13.1,13.2,2.9,12,1.6
2010-12-01,1287,98.2,20.7,18.6,2.8,4,2.3
2010-02-01,1287,65,21.1,19.6,3.3,7,1.2
2010-01-01,1287,39.8,20.2,17.4,3.5,8,1.6
2010-07-01,1287,159,11.5,11.6,2.8,-,1.8
2010-06-01,1287,67.1,12.7,12.9,2.8,11,2.2
2010-03-01,1287,7.6,19.5,16.7,3.6,8,1.1
2010-05-01,1287,232.2,14.9,14.5,3.2,13,1.8
2010-11-01,1287,14.2,17,14.8,2.9,5,2.4
2010-10-01,1287,35.4,14.1,12.6,3.4,10,1.4
2010-09-01,1287,78.4,14.4,13.1,3.7,12,1.5
2011-04-01,1287,42.2,17.3,16.4,3,8,1.5
2011-08-01,1287,38.6,11.3,11,2.5,6,2.5
2011-12-01,1287,154.6,18.6,17.5,3.9,12,1.7
2011-02-01,1287,30.6,21.4,20.3,3,2,1.6
2011-01-01,1287,359.2,20.8,19.2,3.6,7,1.4
2011-07-01,1287,110.8,12.1,11.9,3.6,-,2
2011-06-01,1287,146.8,13.6,13.8,2.9,11,2
2011-03-01,1287,136,19.5,18.9,2.9,7,2.1
2011-05-01,1287,161.6,15.8,15.9,2.8,11,2.3
2011-11-01,1287,10,17.2,13.9,4,11,1.4
2011-10-01,1287,64.6,15.6,14.3,3.4,10,1.6
2011-09-01,1287,56.4,12.5,11.1,3.4,10,1.3
2012-04-01,1287,72.4,17.2,16.3,3.7,10,1.6
2012-08-01,1287,137.2,12.6,13,2.5,7,1.3
2012-12-01,1287,133,19.6,18.1,3.4,6,2
2012-02-01,1287,106.4,20.1,18.2,2.8,4,1.1
2012-01-01,1287,-,19.2,16.6,3.2,7,1.3
2012-07-01,1287,203.6,12,12,3,13,2.5
2012-06-01,1287,24.5,12.3,11.7,2.6,-,1.9
2012-03-01,1287,331.9,18,16.8,4.1,10,1.6
2012-05-01,1287,87.3,14.2,13.1,2.8,-,2.1
2012-11-01,1287,43.8,15.6,13.6,3.4,7,1.6
2012-10-01,1287,37,14.7,13.4,3.8,14,1.4
2012-09-01,1287,148,13.8,12.1,4,14,1.8
2013-04-01,1287,113.2,18,17.4,2.3,4,1.6
2013-08-01,1287,199,13.2,13.3,3.2,12,1.2
2013-12-01,1287,113.4,19.1,16.5,3.1,8,1.3
2013-02-01,1287,16.6,19.9,17.8,3.1,2,1.3
2013-01-01,1287,6.4,20.3,16.9,4.1,14,1.6
2013-07-01,1287,53.4,11.1,11.4,1.9,4,2
2013-06-01,1287,121,12.6,12.8,2.7,9,2
2013-03-01,1287,16.2,19.6,17.5,2.7,3,1.9
2013-05-01,1287,130.9,14.5,14.8,2.3,-,2.2
2013-11-01,1287,71.8,17.6,15.4,2.9,8,2.1
2013-10-01,1287,24.2,15.6,13.5,3.2,11,1.5
2013-09-01,1287,163.4,14.1,13.5,3.8,15,2.5
2014-04-01,1287,82.2,18,16.8,2.6,4,1.7
2014-08-01,1287,260,12.4,11.7,3.7,13,1.7
2014-12-01,1287,185.4,18.8,17.1,3.5,5,2.1
2014-02-01,1287,126.6,20.1,18.1,3.8,7,1.4
2014-01-01,1287,17,19.7,16.2,3.7,12,1.8
2014-07-01,1287,-,11.8,11.9,3.6,16,1.9
2014-06-01,1287,247,14.1,13.8,2.8,10,1.5
2014-03-01,1287,74.2,18.7,16.3,3.1,7,1.1
2014-05-01,1287,23.8,14.5,14.2,2.1,3,2
2014-11-01,1287,46.4,16.6,13.8,3.6,12,2.6
2014-10-01,1287,86.2,15,12.7,3.6,12,1.7
2014-09-01,1287,129.4,14,13.2,3.6,12,1.3
2015-04-01,1287,61.8,17.6,16.3,2.8,8,2
2015-08-01,1287,146,12.3,11.8,2.5,5,2.2
2015-12-01,1287,32.4,18.9,15.3,3.5,7,1.7
2015-02-01,1287,61.2,20.4,18.4,2.7,6,1.3
2015-01-01,1287,17.8,20.9,17.9,2.8,1,1.3
2015-07-01,1287,103.6,11.4,11.1,3,12,2.5
2015-06-01,1287,83.4,12.6,11.8,3,10,2
2015-03-01,1287,75.2,19.9,18.1,2.9,5,1.7
2015-05-01,1287,148.8,14.6,14.3,2.7,8,2
2015-11-01,1287,50,17.2,14.6,3.1,6,2.5
2015-10-01,1287,68.6,15.1,12.6,3.6,9,1.1
2015-09-01,1287,170.2,12.9,11.8,3.2,11,1.4
2016-04-01,1287,79.6,17.8,16.7,2.2,2,1.7
2016-08-01,1287,129.4,11.9,11.7,2.8,-,2
2016-12-01,1287,20.4,18.6,14.9,3.3,5,1
2016-02-01,1287,140.6,21.9,20.9,3,5,1.1
2016-01-01,1287,125.8,21.3,20,3.1,5,1.7
2016-07-01,1287,127,12.7,12.1,3.8,17,1.7
2016-06-01,1287,120.6,13.8,13.3,2.9,11,2.3
2016-03-01,1287,125.6,20.6,18.9,3.2,6,1.2
2016-05-01,1287,97.8,17.1,16.1,2.2,-,1.9
2016-11-01,1287,72.6,17.3,13.8,3.9,13,1.5
2016-10-01,1287,-,15.6,13.6,3.2,-,1.4
2016-09-01,1287,83.2,14.4,13,2.8,8,2
2017-04-01,1287,248.6,18.3,18.1,2.5,4,2.3
2017-08-01,1287,151.2,13.1,12.7,2.7,9,1.5
2017-12-01,1287,25.8,19.9,17.3,3,3,1.2
2017-02-01,1287,88.4,21.6,19,2.8,3,1.6
2017-01-01,1287,20.2,20.2,15.3,3.4,7,1.9
2017-07-01,1287,112.8,11.7,11.5,2.6,10,2
2017-06-01,1287,175.2,12.9,12.5,2.6,-,1.9
2017-03-01,1287,208.8,20.2,19,2.8,4,1.5
2017-05-01,1287,87.6,14.8,13.8,2.7,7,2.1
2017-11-01,1287,93.2,16.5,14.7,3,5,1.9
2017-10-01,1287,48,15.9,13.8,3.6,7,1.6
2017-09-01,1287,113.2,13.7,12.5,3.2,14,1.7
2018-04-01,1287,-,17.5,15.4,2.7,8,2.2
2018-08-01,1287,75,12.4,11.9,2.6,9,1.2
2018-12-01,1287,115.2,19.3,17.4,3.1,8,1.1
2018-02-01,1287,198.6,21.6,20.4,3.2,10,1.9
2018-01-01,1287,114.2,22.2,20.6,3.5,12,1.1
2018-07-01,1287,95.4,12,11.7,2.2,7,1.5
2018-06-01,1287,340.4,12.7,12.4,3.1,-,2.1
2018-03-01,1287,-,20.1,18.8,3.1,6,1.3
2018-05-01,1287,112.6,14.8,13.9,2.4,4,2.8
2018-11-01,1287,117.6,16.8,14.6,3,7,2
2018-10-01,1287,42.4,14.8,13.3,2.6,-,1.6
2018-09-01,1287,122,13.1,12.2,3.1,9,1.7
2019-04-01,1287,63.6,16.4,15.3,2.4,1,1.7
2019-08-01,1287,88,12.6,11.8,3.4,17,1.3
2019-12-01,1287,47.8,19.5,16.1,3.4,9,1.7
2019-02-01,1287,-,20.9,18.9,3.1,4,1.5
2019-01-01,1287,10.2,21.8,18.6,3.5,6,1.4
2019-07-01,1287,115.4,12.8,12.7,2.5,6,1.9
2019-06-01,1287,-,12.6,12.4,2.5,-,1.3
2019-03-01,1287,51.4,20,18.5,2.4,3,1.2
2019-05-01,1287,34.6,15.5,14.6,2.3,7,1.5
2019-11-01,1287,44,18.3,15.1,3.3,7,2.3
2019-10-01,1287,147.6,15,13,3.7,12,1.6
2019-09-01,1287,116.6,13.7,12.7,3.4,13,1.3
2020-04-01,1287,55.8,17,15.4,2.4,6,1.2
2020-08-01,1287,176.4,13.1,12.9,3.2,15,1.6
2020-12-01,1287,8,19.2,15.6,3.5,8,2
2020-02-01,1287,8.6,22,18.4,2.8,1,1.8
2020-01-01,1287,13.6,20.6,16.9,3.2,4,2.2
2020-07-01,1287,451.6,12.3,12,2.9,13,1.9
2020-06-01,1287,182.2,13.6,13.5,2.8,9,1.5
2020-03-01,1287,63,18.7,16.9,2.9,9,2.3
2020-05-01,1287,208.8,15,14.5,3.1,8,2.2
2020-11-01,1287,107.6,17.8,15.6,3.1,9,1.7
2020-10-01,1287,82.2,16.2,14.7,2.6,5,2.3
2020-09-01,1287,37.4,13.7,12.2,3.2,13,2.1
2021-04-01,1287,110,17.4,16.4,2.4,5,2.1
2021-08-01,1287,202.4,12.8,12.1,3.1,8,1.5
2021-12-01,1287,54.8,21.2,18.7,3.2,7,1.2
2021-02-01,1287,98.2,20.3,18.5,2.9,2,1.2
2021-01-01,1287,75,20.5,17.6,3,7,1.8
2021-07-01,1287,186,12.3,12.3,3.1,11,1.9
2021-06-01,1287,197.8,14.1,14.2,3,8,2
2021-03-01,1287,63.8,19.1,17.3,2.7,4,1.7
2021-05-01,1287,80,14.9,14.5,2.5,8,2.2
2021-11-01,1287,49.6,18.7,16.4,2.7,4,2.2
2021-10-01,1287,242.4,15.7,15.4,3.2,11,2.1
2021-09-01,1287,153.6,13.9,13.2,3.4,10,1.8
2022-04-01,1287,260.4,18.3,17.5,2.9,9,2
2022-08-01,1287,86.2,13.3,13.2,3,8,2.4
2022-12-01,1287,-,19.5,18.3,3.1,5,1.6
2022-02-01,1287,117.4,22,20.9,3.2,5,2.2
2022-01-01,1287,34,21.3,18.2,3.5,6,1.2
2022-07-01,1287,373.2,13.4,13.3,3,14,2.1
2022-06-01,1287,163.4,13.6,13,2.6,12,1.9
2022-03-01,1287,139,20.2,17.9,3.2,9,1.2
2022-05-01,1287,146,15.6,14.9,2.4,6,2.2
2022-11-01,1287,367,18.1,16.7,3.4,12,1.6
2022-10-01,1287,162,15.4,14.4,3.1,8,2
2022-09-01,1287,91.6,13.9,13.3,2.7,-,2.2
2023-04-01,1287,235.8,17.8,17.5,4.5,14,2.2
2023-08-01,1287,91.9,10.8,11,2.9,6,1.1
2023-12-01,1287,86.7,19.8,18.1,3.6,6,2.4
2023-02-01,1287,357.7,19.9,18.9,4.1,-,1.8
2023-01-01,1287,489.1,20.4,19.6,4.9,14,1.2
2023-07-01,1287,104,12.6,12,4.2,18,1.4
2023-06-01,1287,182.8,12.4,12.2,2.9,8,1.7
2023-03-01,1287,16.6,18.3,16.2,2.9,4,1.8
2023-05-01,1287,-,16.1,16.1,4.3,-,2.8
2023-11-01,1287,56.9,16.6,15.1,3.5,7,1.8
2023-10-01,1287,153.7,15.5,13.9,4.6,14,2
2023-09-01,1287,121.9,14.1,13.6,4,12,1.5
2024-04-01,1287,82.3,16.9,16.2,3.2,6,1.8
2024-08-01,1287,-,-,-,-,-,-
2024-12-01,1287,-,-,-,-,-,-
2024-02-01,1287,-,20.2,18.1,3.1,2,1.3
2024-01-01,1287,43.2,21.1,19.4,3.6,4,2
2024-07-01,1287,170.5,11.9,12.1,2.9,10,2
2024-06-01,1287,149.6,13.8,13.6,3.2,9,1.8
2024-03-01,1287,42.7,18,15.7,3.5,9,2.2
2024-05-01,1287,90.3,13.6,13,3.4,9,1.7
2024-11-01,1287,-,-,-,-,-,-
2024-10-01,1287,-,-,-,-,-,-
2024-09-01,1287,-,-,-,-,-,-
2010-04-01,1962,56,16.9,16.2,3.7,10,1.4
2010-08-01,1962,187.4,12.4,13.3,4.4,-,1.6
2010-12-01,1962,94.4,20.3,18.2,4.9,11,1.6
2010-02-01,1962,4.6,21.6,19.8,4,9,1.2
2010-01-01,1962,44,19.9,17.4,4.9,14,1.8
2010-07-01,1962,87,10.6,11.1,3.5,10,1.8
2010-06-01,1962,160.8,12.1,12.8,4.5,15,2
2010-03-01,1962,7.6,19.1,16.6,5.1,17,1.8
2010-05-01,1962,162.8,14.3,14.3,3.9,12,2.1
2010-11-01,1962,22.3,16.8,15,4.5,4,2
2010-10-01,1962,19.8,14.2,12.5,5.1,13,1.4
2010-09-01,1962,112,13.6,13,6.3,19,1.6
2011-04-01,1962,152.3,16.4,15.6,4.1,8,1.7
2011-08-01,1962,43.5,10.7,11.2,3.8,-,2.4
2011-12-01,1962,192.2,18.4,17,5,17,1.4
2011-02-01,1962,28.2,21.1,19.6,4.5,-,1.3
2011-01-01,1962,184.1,20.6,18,5.1,12,1.1
2011-07-01,1962,103.8,11.5,11.3,5.3,17,1.9
2011-06-01,1962,144.4,13.4,13.6,4.2,13,2.1
2011-03-01,1962,139.6,18.8,17.5,3.7,6,2
2011-05-01,1962,150.4,15.4,15.7,4.6,16,2.1
2011-11-01,1962,50.2,16.2,14,6.5,17,1.2
2011-10-01,1962,115.2,15.3,14.3,5,13,1.5
2011-09-01,1962,86.2,12.3,11.9,4.8,17,1.1
2012-04-01,1962,23.4,16.8,15.4,4.1,-,1.9
2012-08-01,1962,132.8,12.6,12.9,3.7,9,1.2
2012-12-01,1962,69.8,19.6,18.2,4.9,12,2.4
