Station	Year 	Stats_Code	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1287	2010	0	39.8	65	7.6	40.8	232.2	67.1	159	166.8	78.4	35.4	14.2	98.2	1004.5
1287	2010	2	20.2	21.1	19.5	17.2	14.9	12.7	11.5	13.1	14.4	14.1	17	20.7	16.4
1287	2010	16	17.4	19.6	16.7	15.9	14.5	12.9	11.6	13.2	13.1	12.6	14.8	18.6	15.1
1287	2010	33	3.5	3.3	3.6	2.6	3.2	2.8	2.8	2.9	3.7	3.4	2.9	2.8	3.1
1287	2010	60	8	7	8	4	13	11	-	12	12	10	5	4	-
1287	2010	61	1.6	1.2	1.1	1.4	1.8	2.2	1.8	1.6	1.5	1.4	2.4	2.3	3.6
1962	2010	0	44	4.6	7.6	56	162.8	160.8	87	187.4	112	19.8	22.3	94.4	958.7
1962	2010	2	19.9	21.6	19.1	16.9	14.3	12.1	10.6	12.4	13.6	14.2	16.8	20.3	16
1962	2010	16	17.4	19.8	16.6	16.2	14.3	12.8	11.1	13.3	13	12.5	15	18.2	15
1962	2010	33	4.9	4	5.1	3.7	3.9	4.5	3.5	4.4	6.3	5.1	4.5	4.9	4.6
1962	2010	60	14	9	17	10	12	15	10	-	19	13	4	11	-
1962	2010	61	1.8	1.2	1.8	1.4	2.1	2	1.8	1.6	1.6	1.4	2	1.6	3.8
1287	2011	0	359.2	30.6	136	42.2	161.6	146.8	110.8	38.6	56.4	64.6	10	154.6	1311.4
1287	2011	2	20.8	21.4	19.5	17.3	15.8	13.6	12.1	11.3	12.5	15.6	17.2	18.6	16.3
1287	2011	16	19.2	20.3	18.9	16.4	15.9	13.8	11.9	11	11.1	14.3	13.9	17.5	15.3
1287	2011	33	3.6	3	2.9	3	2.8	2.9	3.6	2.5	3.4	3.4	4	3.9	3.3
1287	2011	60	7	2	7	8	11	11	-	6	10	10	11	12	-
1287	2011	61	1.4	1.6	2.1	1.5	2.3	2	2	2.5	1.3	1.6	1.4	1.7	3.7
1962	2011	0	184.1	28.2	139.6	152.3	150.4	144.4	103.8	43.5	86.2	115.2	50.2	192.2	1390.1
1962	2011	2	20.6	21.1	18.8	16.4	15.4	13.4	11.5	10.7	12.3	15.3	16.2	18.4	15.9
1962	2011	16	18	19.6	17.5	15.6	15.7	13.6	11.3	11.2	11.9	14.3	14	17	15
1962	2011	33	5.1	4.5	3.7	4.1	4.6	4.2	5.3	3.8	4.8	5	6.5	5	4.7
1962	2011	60	12	-	6	8	16	13	17	-	17	13	17	17	-
1962	2011	61	1.1	1.3	2	1.7	2.1	2.1	1.9	2.4	1.1	1.5	1.2	1.4	3.7
1287	2012	0	-	106.4	331.9	72.4	87.3	24.5	203.6	137.2	148	37	43.8	133	-
1287	2012	2	19.2	20.1	18	17.2	14.2	12.3	12	12.6	13.8	14.7	15.6	19.6	15.8
1287	2012	16	16.6	18.2	16.8	16.3	13.1	11.7	12	13	12.1	13.4	13.6	18.1	14.6
1287	2012	33	3.2	2.8	4.1	3.7	2.8	2.6	3	2.5	4	3.8	3.4	3.4	3.3
1287	2012	60	7	4	10	10	-	-	13	7	14	14	7	6	-
1287	2012	61	1.3	1.1	1.6	1.6	2.1	1.9	2.5	1.3	1.8	1.4	1.6	2	3.5
1962	2012	0	56.2	116.8	145.2	23.4	82	88	141.2	132.8	107.6	69.2	31	69.8	1063.2
1962	2012	2	19	19.8	17.8	16.8	13.4	11.8	11.2	12.6	13.2	14.3	15.6	19.6	15.4
1962	2012	16	17	18.7	15.9	15.4	12.9	11.9	11.5	12.9	12.3	13.1	13.2	18.2	14.4
1962	2012	33	5	3.9	4.8	4.1	4.1	4.3	3.6	3.7	5.8	6.4	5.2	4.9	4.6
1962	2012	60	15	7	13	-	15	12	10	9	18	22	13	12	-
1962	2012	61	1.1	1	1.2	1.9	2	2.3	2.4	1.2	2	1.5	1.4	2.4	3.6
1287	2013	0	6.4	16.6	16.2	113.2	130.9	121	53.4	199	163.4	24.2	71.8	113.4	1029.5
1287	2013	2	20.3	19.9	19.6	18	14.5	12.6	11.1	13.2	14.1	15.6	17.6	19.1	16.3
1287	2013	16	16.9	17.8	17.5	17.4	14.8	12.8	11.4	13.3	13.5	13.5	15.4	16.5	15.1
1287	2013	33	4.1	3.1	2.7	2.3	2.3	2.7	1.9	3.2	3.8	3.2	2.9	3.1	2.9
1287	2013	60	14	2	3	4	-	9	4	12	15	11	8	8	-
1287	2013	61	1.6	1.3	1.9	1.6	2.2	2	2	1.2	2.5	1.5	2.1	1.3	3.5
1962	2013	0	9.2	25.2	39.8	107.4	238	158.6	46.4	147.6	135	33.6	-	115	-
1962	2013	2	20.3	20.2	19.8	17.7	14.1	12.1	11.4	12.6	13.6	15.1	17.6	18.6	16.1
1962	2013	16	16.5	17.3	17.5	17.7	14.8	12.7	11.7	12.4	12.6	13.4	15.4	16.4	14.9
1962	2013	33	5.2	4.2	3.8	4.1	3.5	3.8	3.2	4.3	5.7	5.8	4.4	4.9	4.4
1962	2013	60	14	7	7	10	12	8	8	14	17	17	-	13	-
1962	2013	61	1.6	1.4	1.2	1.9	2.3	2	1.8	1.1	2.1	1.5	2.1	1	3.6
1287	2014	0	17	126.6	74.2	82.2	23.8	247	-	260	129.4	86.2	46.4	185.4	-
1287	2014	2	19.7	20.1	18.7	18	14.5	14.1	11.8	12.4	14	15	16.6	18.8	16.1
1287	2014	16	16.2	18.1	16.3	16.8	14.2	13.8	11.9	11.7	13.2	12.7	13.8	17.1	14.6
1287	2014	33	3.7	3.8	3.1	2.6	2.1	2.8	3.6	3.7	3.6	3.6	3.6	3.5	3.3
1287	2014	60	12	7	7	4	3	10	16	13	12	12	12	5	113
1287	2014	61	1.8	1.4	1.1	1.7	2	1.5	1.9	1.7	1.3	1.7	2.6	2.1	3.3
1962	2014	0	42	11	25.2	107.8	79.6	182.6	92.4	139.6	174.8	91.2	58.8	64.6	1069.6
1962	2014	2	19.1	20.4	18.4	18	14	13.2	10.9	11.8	13.6	14.6	15.5	18.4	15.6
1962	2014	16	15.8	17.3	15.7	16.8	13.8	13	11	11.1	12.8	12.8	13.6	16.2	14.2
1962	2014	33	5.7	4.5	4.3	4.1	3.4	4	4.8	4.9	5.3	5.8	6.1	4.8	4.8
1962	2014	60	19	9	7	8	6	13	17	17	16	14	17	-	-
1962	2014	61	1.4	1.4	1.2	2	2.5	1.6	2.3	1.6	1.5	1.6	1.9	1.9	3.4
1287	2015	0	17.8	61.2	75.2	61.8	148.8	83.4	103.6	146	170.2	68.6	50	32.4	1019
1287	2015	2	20.9	20.4	19.9	17.6	14.6	12.6	11.4	12.3	12.9	15.1	17.2	18.9	16.1
1287	2015	16	17.9	18.4	18.1	16.3	14.3	11.8	11.1	11.8	11.8	12.6	14.6	15.3	14.5
1287	2015	33	2.8	2.7	2.9	2.8	2.7	3	3	2.5	3.2	3.6	3.1	3.5	3
1287	2015	60	1	6	5	8	8	10	12	5	11	9	6	7	88
1287	2015	61	1.3	1.3	1.7	2	2	2	2.5	2.2	1.4	1.1	2.5	1.7	3.8
1962	2015	0	13.6	38	73.2	-	123.4	88.8	190.4	145.8	107.2	43.6	81	26.8	-
1962	2015	2	21	20.2	20.1	17	13.8	12.4	10.7	11.5	12.8	14.7	16.2	18.4	15.7
1962	2015	16	18	17.9	17.6	15.9	13.5	11.8	10.9	11.5	11.5	13	14	15.1	14.2
1962	2015	33	4	3.9	4	4.3	4.2	5.2	4.3	3.8	4.9	6	4.9	5.8	4.6
1962	2015	60	3	5	8	12	11	18	15	11	13	18	-	15	-
1962	2015	61	1.4	1.3	1.5	2.3	2.3	2.5	2.3	2	1.3	1.2	2.5	1.4	3.9
