,Export prices,Export prices,Export prices,Export volumes,Export volumes,Export volumes,Export volumes,Export values,Export values,Export values,Export values,Import prices,Import prices,Import prices,Import volumes,Import volumes,Import volumes,Import volumes,Import values,Import values,Import values,Import values
,(Index),(q/q%),(y/y%),(Index),(Index s.a.),(q/q% s.a.),(y/y%),($m),($m s.a.),(q/q% s.a.),(y/y%),(Index),(q/q%),(y/y%),(Index),(Index s.a.),(q/q% s.a.),(y/y%),($m),($m s.a.),(q/q% s.a.),(y/y%)
Notes,,,,,,,,,,,,,,,,,,,,,,
Unit,,%,%,,,%,%,m,m,%,%,,%,%,,,%,%,m,m,%,%
Series Id,OTIX.Q.U1A.ia,OTIX.Q.U1A.iaq,OTIX.Q.U1A.iay,OTIX.Q.U2A.ia,OTIX.Q.U2A.is,OTIX.Q.U2A.isq,OTIX.Q.U2A.iay,OTIX.Q.UA.na,OTIX.Q.UA.ns,OTIX.Q.UA.nsq,OTIX.Q.UA.nay,OTIM.Q.U1A.ia,OTIM.Q.U1A.iaq,OTIM.Q.U1A.iay,OTIM.Q.U2A.ia,OTIM.Q.U2A.is,OTIM.Q.U2A.isq,OTIM.Q.U2A.iay,OTIM.Q.UA.na,OTIM.Q.UA.ns,OTIM.Q.UA.nsq,OTIM.Q.UA.nay
Mar 1990,887,-0.2,4.0,523,,,0.2,"3,772",,,,832,-0.4,0.6,581,,,19.3,,,,
Jun 1990,863,-2.7,0.0,573,526,,-1.0,"4,017","3,686",,,838,0.7,0.5,592,619,,12.5,"3,475","3,716",,
Sep 1990,843,-2.3,-5.2,507,543,3.2,15.0,"3,476","3,716",0.8,9.1,820,-2.1,-3.1,658,608,-1.8,10.6,"3,793","3,505",-5.7,
Dec 1990,850,0.8,-4.4,518,530,-2.4,11.6,"3,574","3,650",-1.8,6.7,876,6.8,4.9,632,606,-0.3,-8.1,"3,924","3,704",5.7,
Mar 1991,824,-3.1,-7.1,549,551,4.0,5.0,"3,675","3,693",1.2,-2.6,862,-1.6,3.6,539,588,-3.0,-7.2,"3,245","3,520",-5.0,
Jun 1991,812,-1.5,-5.9,619,567,2.9,8.0,"4,081","3,742",1.3,1.6,823,-4.5,-1.8,535,560,-4.8,-9.6,"3,089","3,295",-6.4,-11.1
Sep 1991,823,1.4,-2.4,563,603,6.3,11.0,"3,762","4,022",7.5,8.2,842,2.3,2.7,584,540,-3.6,-11.2,"3,458","3,200",-2.9,-8.8
Dec 1991,840,2.1,-1.2,610,625,3.6,17.8,"4,160","4,253",5.7,16.4,875,3.9,-0.1,569,544,0.7,-10.0,"3,487","3,287",2.7,-11.1
Mar 1992,862,2.6,4.6,586,587,-6.1,6.7,"4,100","4,113",-3.3,11.5,890,1.7,3.2,596,651,19.7,10.6,"3,755","4,088",24.4,15.7
Jun 1992,884,2.6,8.9,688,630,7.3,11.1,"4,934","4,528",10.1,20.9,912,2.5,10.8,548,572,-12.1,2.4,"3,514","3,733",-8.7,13.8
Sep 1992,908,2.7,10.3,545,583,-7.5,-3.2,"4,014","4,291",-5.3,6.7,912,0.0,8.3,675,626,9.4,15.6,"4,365","4,041",8.3,26.2
Dec 1992,916,0.9,9.0,583,597,2.4,-4.4,"4,333","4,429",3.2,4.2,913,0.1,4.3,646,615,-1.8,13.5,"4,170","3,934",-2.7,19.6
Mar 1993,938,2.4,8.8,601,604,1.2,2.6,"4,577","4,592",3.7,11.6,922,1.0,3.6,552,605,-1.6,-7.4,"3,579","3,908",-0.7,-4.7
Jun 1993,928,-1.1,5.0,684,625,3.5,-0.6,"5,155","4,738",3.2,4.5,910,-1.3,-0.2,602,627,3.6,9.9,"3,865","4,085",4.5,10.0
Sep 1993,918,-1.1,1.1,586,626,0.2,7.5,"4,365","4,656",-1.7,8.7,905,-0.5,-0.8,718,669,6.7,6.4,"4,594","4,259",4.3,5.2
Dec 1993,876,-4.6,-4.4,632,647,3.4,8.4,"4,496","4,588",-1.5,3.8,876,-3.2,-4.1,701,664,-0.7,8.5,"4,335","4,090",-4.0,4.0
Mar 1994,877,0.1,-6.5,671,677,4.6,11.6,"4,779","4,806",4.7,4.4,867,-1.0,-6.0,631,693,4.4,14.3,"3,853","4,225",3.3,7.7
Jun 1994,868,-1.0,-6.5,756,692,2.2,10.5,"5,330","4,912",2.2,3.4,871,0.5,-4.3,689,716,3.3,14.5,"4,237","4,452",5.4,9.6
Sep 1994,875,0.8,-4.7,650,692,0.0,10.9,"4,612","4,898",-0.3,5.7,875,0.5,-3.3,794,741,3.5,10.6,"4,917","4,561",2.4,7.0
Dec 1994,893,2.1,1.9,678,692,0.0,7.3,"4,915","5,002",2.1,9.3,873,-0.2,-0.3,879,833,12.4,25.4,"5,483","5,193",13.9,26.5
Mar 1995,888,-0.6,1.3,711,721,4.2,6.0,"5,127","5,179",3.5,7.3,877,0.5,1.2,724,792,-4.9,14.7,"4,498","4,926",-5.1,16.7
