Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Selected business demand (GWh),Est. Total consumption (GWh),Export prices,Export volumes,Export values,Import prices,Import volumes,Import values,Population
2010-01-01,172.5,18.6,16.5,3.5,9.25,2.475,2010.0,1.0,502.788,177.005,1072.0,1160.0,10093.0,904.0,1360.0,8827.0,891100.0
2010-02-01,27.15,19.9,18.875,2.7,2.5,1.75,2010.0,2.0,475.792,162.78,1072.0,1160.0,10093.0,904.0,1360.0,8827.0,891100.0
2010-03-01,21.825,17.65,14.524999999999999,3.3,6.666666666666667,2.175,2010.0,3.0,539.23,182.505,1072.0,1160.0,10093.0,904.0,1360.0,8827.0,891100.0
2010-04-01,58.150000000000006,15.075,13.8,2.775,5.5,2.2,2010.0,4.0,505.722,188.663,1112.0,1264.0,11416.0,920.0,1476.0,9740.0,891100.0
2010-05-01,197.35,12.533333333333333,12.375,2.65,7.333333333333333,2.3333333333333335,2010.0,5.0,519.263,222.647,1112.0,1264.0,11416.0,920.0,1476.0,9740.0,891100.0
2010-06-01,199.225,10.025,10.575,3.05,7.333333333333333,2.325,2010.0,6.0,488.874,248.123,1112.0,1264.0,11416.0,920.0,1476.0,9740.0,891100.0
2010-07-01,98.75,8.975,9.325,2.875,6.0,1.875,2010.0,7.0,511.917,272.628,1112.0,1030.0,9291.0,892.0,1608.0,10297.0,891100.0
2010-08-01,160.925,11.0,11.5,3.0250000000000004,9.0,2.3,2010.0,8.0,505.453,271.548,1112.0,1030.0,9291.0,892.0,1608.0,10297.0,891100.0
2010-09-01,105.075,12.825,11.55,4.575,18.0,2.175,2010.0,9.0,498.778,244.375,1112.0,1030.0,9291.0,892.0,1608.0,10297.0,891100.0
2010-10-01,108.67500000000001,12.85,11.75,3.725,12.75,2.175,2010.0,10.0,519.827,219.639,1118.0,1171.0,10621.0,890.0,1742.0,11129.0,891100.0
2010-11-01,30.4,15.475,13.775,3.075,5.0,2.975,2010.0,11.0,514.05,191.727,1118.0,1171.0,10621.0,890.0,1742.0,11129.0,891100.0
2010-12-01,77.0,19.025,16.7,3.525,7.5,2.625,2010.0,12.0,518.067,178.2,1118.0,1171.0,10621.0,890.0,1742.0,11129.0,891100.0
2011-01-01,229.45,19.65,17.1,3.6,9.666666666666666,2.425,2011.0,1.0,525.634,175.207,1188.0,1170.0,11287.0,938.0,1552.0,10453.0,899600.0
2011-02-01,53.45,20.525,18.525,2.775,2.25,2.375,2011.0,2.0,487.723,161.725,1188.0,1170.0,11287.0,938.0,1552.0,10453.0,899600.0
2011-03-01,158.7,17.4,15.7,2.85,4.666666666666667,2.375,2011.0,3.0,531.492,181.225,1188.0,1170.0,11287.0,938.0,1552.0,10453.0,899600.0
2011-04-01,192.05,14.3,13.85,2.925,8.0,1.875,2011.0,4.0,518.573,191.029,1211.0,1291.0,12690.0,934.0,1609.0,10786.0,899600.0
2011-05-01,126.275,14.15,13.725,3.075,9.5,2.825,2011.0,5.0,516.745,217.936,1211.0,1291.0,12690.0,934.0,1609.0,10786.0,899600.0
2011-06-01,131.075,11.05,11.475000000000001,2.7750000000000004,5.666666666666667,2.175,2011.0,6.0,502.953,237.35,1211.0,1291.0,12690.0,934.0,1609.0,10786.0,899600.0
2011-07-01,136.39999999999998,9.7,9.4,3.825,14.0,2.6,2011.0,7.0,528.621,265.914,1162.0,1062.0,10024.0,903.0,1750.0,11346.0,899600.0
2011-08-01,52.15,9.05,9.5,2.875,6.5,2.4,2011.0,8.0,525.274,271.433,1162.0,1062.0,10024.0,903.0,1750.0,11346.0,899600.0
2011-09-01,32.675,10.55,10.15,3.25,8.0,1.75,2011.0,9.0,509.88,236.902,1162.0,1062.0,10024.0,903.0,1750.0,11346.0,899600.0
2011-10-01,106.8,14.025,13.1,3.4,6.25,2.1,2011.0,10.0,510.795,213.567,1182.0,1199.0,11504.0,931.0,1787.0,11943.0,899600.0
2011-11-01,41.65,15.649999999999999,12.675,4.3,15.0,2.25,2011.0,11.0,503.011,186.1,1182.0,1199.0,11504.0,931.0,1787.0,11943.0,899600.0
2011-12-01,131.125,17.175,15.4,3.55,5.5,1.975,2011.0,12.0,491.552,188.827,1182.0,1199.0,11504.0,931.0,1787.0,11943.0,899600.0
2012-01-01,93.35,18.650000000000002,15.675,3.7,9.333333333333334,2.175,2012.0,1.0,493.713,178.27,1138.0,1196.0,11049.0,918.0,1632.0,10745.0,904800.0
2012-02-01,90.575,18.075,16.15,2.8499999999999996,2.6666666666666665,2.05,2012.0,2.0,484.712,167.104,1138.0,1196.0,11049.0,918.0,1632.0,10745.0,904800.0
2012-03-01,156.6,16.4,14.8,3.6,9.0,2.275,2012.0,3.0,511.564,182.801,1138.0,1196.0,11049.0,918.0,1632.0,10745.0,904800.0
2012-04-01,92.02499999999999,14.95,14.05,2.925,5.5,2.15,2012.0,4.0,509.852,187.583,1126.0,1304.0,11919.0,932.0,1648.0,11026.0,904800.0
2012-05-01,80.95,11.125,10.975,2.9,6.0,2.75,2012.0,5.0,515.177,226.917,1126.0,1304.0,11919.0,932.0,1648.0,11026.0,904800.0
2012-06-01,47.550000000000004,9.475,9.675,3.275,9.25,2.375,2012.0,6.0,498.8,253.844,1126.0,1304.0,11919.0,932.0,1648.0,11026.0,904800.0
2012-07-01,186.3,9.325,10.075,2.925,6.5,2.6,2012.0,7.0,514.559,273.598,1055.0,1186.0,10155.0,902.0,1781.0,11533.0,904800.0
2012-08-01,112.125,10.525,11.125,2.675,5.0,1.375,2012.0,8.0,526.202,255.136,1055.0,1186.0,10155.0,902.0,1781.0,11533.0,904800.0
2012-09-01,59.625,11.625,10.5,4.025,14.5,2.7,2012.0,9.0,502.921,226.347,1055.0,1186.0,10155.0,902.0,1781.0,11533.0,904800.0
2012-10-01,51.05,13.25,10.95,4.3,17.333333333333332,2.2,2012.0,10.0,515.818,213.12,1036.0,1298.0,10913.0,896.0,1795.0,11545.0,904800.0
2012-11-01,55.875,13.95,11.475,3.45,7.75,2.375,2012.0,11.0,504.848,186.564,1036.0,1298.0,10913.0,896.0,1795.0,11545.0,904800.0
2012-12-01,60.949999999999996,19.025,16.4,3.575,9.666666666666666,3.075,2012.0,12.0,491.91,184.259,1036.0,1298.0,10913.0,896.0,1795.0,11545.0,904800.0
2013-01-01,19.400000000000002,19.1,15.0,3.625,9.75,2.65,2013.0,1.0,496.43,173.844,1056.0,1305.0,11183.0,877.0,1625.0,10223.0,909300.0
2013-02-01,15.825,18.375,15.5,3.0,3.75,1.9000000000000001,2013.0,2.0,456.898,155.746,1056.0,1305.0,11183.0,877.0,1625.0,10223.0,909300.0
2013-03-01,18.525000000000002,18.2,15.375,2.875,4.25,2.25,2013.0,3.0,491.42,173.227,1056.0,1305.0,11183.0,877.0,1625.0,10223.0,909300.0
2013-04-01,98.14999999999999,16.25,14.45,2.95,6.25,2.375,2013.0,4.0,458.043,182.417,1089.0,1307.0,11550.0,864.0,1752.0,10858.0,909300.0
2013-05-01,107.55,12.25,11.924999999999999,2.55,8.5,2.325,2013.0,5.0,467.542,217.385,1089.0,1307.0,11550.0,864.0,1752.0,10858.0,909300.0
2013-06-01,107.975,10.025,10.475,2.7,5.0,2.4000000000000004,2013.0,6.0,464.155,246.464,1089.0,1307.0,11550.0,864.0,1752.0,10858.0,909300.0
2013-07-01,86.65,9.2,9.5,2.575,6.0,1.975,2013.0,7.0,481.837,264.844,1185.0,1083.0,10416.0,875.0,1997.0,12536.0,909300.0
2013-08-01,121.3,11.225,11.3,3.075,9.25,1.475,2013.0,8.0,478.149,251.787,1185.0,1083.0,10416.0,875.0,1997.0,12536.0,909300.0
2013-09-01,126.2,12.7,11.725,4.05,16.25,2.825,2013.0,9.0,467.776,225.184,1185.0,1083.0,10416.0,875.0,1997.0,12536.0,909300.0
2013-10-01,30.65,14.325,12.5,4.05,12.75,2.075,2013.0,10.0,483.932,206.798,1182.0,1345.0,12898.0,851.0,2014.0,12299.0,909300.0
2013-11-01,84.2,16.525,14.8,3.275,7.0,2.175,2013.0,11.0,474.837,181.793,1182.0,1345.0,12898.0,851.0,2014.0,12299.0,909300.0
2013-12-01,81.875,18.175,15.75,3.375,8.75,1.7,2013.0,12.0,478.628,179.102,1182.0,1345.0,12898.0,851.0,2014.0,12299.0,909300.0
2014-01-01,40.6,18.225,14.299999999999999,4.1,16.333333333333332,2.45,2014.0,1.0,474.258,186.671,1191.0,1356.0,13105.0,842.0,1828.0,11049.0,926800.0
2014-02-01,29.4,18.95,16.425,3.375,7.25,2.075,2014.0,2.0,448.356,160.038,1191.0,1356.0,13105.0,842.0,1828.0,11049.0,926800.0
2014-03-01,38.8,17.05,14.525,3.275,8.25,2.175,2014.0,3.0,493.789,176.702,1191.0,1356.0,13105.0,842.0,1828.0,11049.0,926800.0
2014-04-01,167.1,16.475,15.975000000000001,3.1,6.5,2.5,2014.0,4.0,461.802,186.332,1164.0,1339.0,12654.0,823.0,1962.0,11585.0,926800.0
