time,Est. Total consumption (GWh)
2018-03-01,182.2233518167998
2018-04-01,191.49280529456868
2018-05-01,223.28888079663676
2018-06-01,231.28919460589947
2018-07-01,243.4302606080067
2018-08-01,257.9659801801937
2018-09-01,232.8400018237155
2018-10-01,216.59788662274232
2018-11-01,194.20020486341087
2018-12-01,184.38408403436526
2019-01-01,184.38305457349844
2019-02-01,167.51355108610508
2019-03-01,184.43539755564876
2019-04-01,195.4141940155795
2019-05-01,233.56556645288123
2019-06-01,266.63574294488285
2019-07-01,290.7273691382848
2019-08-01,267.071441541194
2019-09-01,234.15521931641223
2019-10-01,206.69258156273858
2019-11-01,194.67562655809502
2019-12-01,186.32617826541366
2020-01-01,181.55368608113483
2020-02-01,168.24465867807655
2020-03-01,185.21038373296335
2020-04-01,192.28479087374154
2020-05-01,235.3340842169108
2020-06-01,269.38104724854213
2020-07-01,286.1423811961202
2020-08-01,277.6229108558799
2020-09-01,240.02247320296297
2020-10-01,216.9794960818245
2020-11-01,188.05815977805472
2020-12-01,177.51124228789817
2021-01-01,189.1870775683599
2021-02-01,171.95462872919873
2021-03-01,187.90350509675594
2021-04-01,197.68919448521413
2021-05-01,238.9542480939518
2021-06-01,271.0876161044305
2021-07-01,286.3024023962489
2021-08-01,286.1514725502084
2021-09-01,238.2312800868587
2021-10-01,209.542737115468
2021-11-01,189.62600742134092
2021-12-01,193.0269084369535
2022-01-01,187.15134665655643
2022-02-01,163.90421134866318
2022-03-01,180.88740314852055
2022-04-01,196.8619453164774
2022-05-01,243.48735216102062
2022-06-01,272.5352630269643
2022-07-01,300.55618493908275
2022-08-01,285.3905694767694
2022-09-01,246.80975242969356
2022-10-01,216.26858009480904
2022-11-01,185.9115871407251
2022-12-01,179.25875969918974
2023-01-01,180.68412937530826
2023-02-01,173.01636925772735
2023-03-01,187.1543470046867
2023-04-01,200.07760720637484
2023-05-01,245.54541451493353
2023-06-01,269.1611237912769
2023-07-01,305.42414496962425
2023-08-01,290.0317282589564
2023-09-01,240.16990608222946
2023-10-01,220.75990918983777
2023-11-01,184.53555571780535
2023-12-01,191.4968003071888
2024-01-01,187.11208679507718
2024-02-01,164.79473252434306
2024-03-01,188.7425213533603
2024-04-01,204.0203010912963
2024-05-01,236.62220002173473
2024-06-01,270.844945215612
