time,Est. Total consumption (GWh)
2018-03-01,286.5791728786412
2018-04-01,302.57700334099843
2018-05-01,351.5100274047305
2018-06-01,380.9858220896946
2018-07-01,460.6802480590663
2018-08-01,446.9988842164786
2018-09-01,380.0163409060116
2018-10-01,339.86301392739233
2018-11-01,313.90344438300303
2018-12-01,302.2203309287319
2019-01-01,287.9138384045669
2019-02-01,265.34823066563956
2019-03-01,290.4028104493907
2019-04-01,303.3369604943422
2019-05-01,349.0917809889804
2019-06-01,421.7438482982605
2019-07-01,478.7091526092297
2019-08-01,455.9484444138423
2019-09-01,389.5883454987746
2019-10-01,352.3786829260894
2019-11-01,317.7596605145321
2019-12-01,299.896730859576
2020-01-01,276.25016525898013
2020-02-01,260.70366374452385
2020-03-01,292.9781370161903
2020-04-01,314.1535838958656
2020-05-01,374.15990156293566
2020-06-01,431.23801702219765
2020-07-01,469.8033958205575
2020-08-01,443.7508582085535
2020-09-01,388.12110269909255
2020-10-01,352.1885136087494
2020-11-01,319.0760619693436
2020-12-01,321.0056600319803
2021-01-01,293.5399837206254
2021-02-01,273.70429495207645
2021-03-01,301.43218254307305
2021-04-01,326.24399318221873
2021-05-01,396.01656057747084
2021-06-01,470.16558675194705
2021-07-01,478.0093605538106
2021-08-01,454.03169171466806
2021-09-01,404.86602425791835
2021-10-01,349.9089605587254
2021-11-01,320.72292728082533
2021-12-01,293.52358985902947
2022-01-01,296.92767562927713
2022-02-01,270.00572577591043
2022-03-01,308.01213596986094
2022-04-01,334.69086787413215
2022-05-01,398.57743527396366
2022-06-01,448.28693399349385
2022-07-01,478.8123367882268
2022-08-01,472.3689080972099
2022-09-01,414.0427519606653
2022-10-01,372.0804374342342
2022-11-01,325.0260587525284
2022-12-01,310.67262860422795
2023-01-01,302.9179181171655
2023-02-01,281.07831861508583
2023-03-01,310.19911495223715
2023-04-01,341.33833567640556
2023-05-01,397.6021310536347
2023-06-01,433.6628072918102
2023-07-01,488.878804612257
2023-08-01,464.73823397498916
2023-09-01,392.0958943649725
2023-10-01,354.2635549294417
2023-11-01,322.8489015675703
2023-12-01,316.2806723769775
2024-01-01,296.9100198625284
2024-02-01,266.72463280531605
2024-03-01,300.30561915725394
2024-04-01,317.759174245448
2024-05-01,365.6253231047186
2024-06-01,436.62393587084966
