time,Est. Total consumption (GWh)
2018-03-01,156.09908552430838
2018-04-01,173.27189105631865
2018-05-01,184.27967775760018
2018-06-01,241.6969366688028
2018-07-01,257.0622400226394
2018-08-01,267.330248990066
2018-09-01,238.95284819940224
2018-10-01,179.32183144480624
2018-11-01,156.76116827391897
2018-12-01,158.48958820394822
2019-01-01,145.20984411558283
2019-02-01,132.87698330587622
2019-03-01,152.7835713502346
2019-04-01,160.71890473696482
2019-05-01,221.54851932563042
2019-06-01,253.75795701697342
2019-07-01,269.546000537257
2019-08-01,254.02002804819554
2019-09-01,224.00377894002756
2019-10-01,187.02603850006733
2019-11-01,160.63770128056444
2019-12-01,163.1760271020914
2020-01-01,144.5367401902923
2020-02-01,140.98707888190913
2020-03-01,149.36774056551883
2020-04-01,184.01427586128423
2020-05-01,240.24801848122522
2020-06-01,258.1444576763599
2020-07-01,271.8827081735171
2020-08-01,251.76710930232167
2020-09-01,212.18209129925708
2020-10-01,194.46774112552183
2020-11-01,160.29688579187984
2020-12-01,144.66172501764217
2021-01-01,142.91823599850693
2021-02-01,135.4134850314078
2021-03-01,161.79436413633556
2021-04-01,191.83082416610029
2021-05-01,194.35594650810177
2021-06-01,258.3448009993065
2021-07-01,267.4832612603548
2021-08-01,267.7284163893498
2021-09-01,216.26701147219373
2021-10-01,195.76448902400918
2021-11-01,158.33733526550847
2021-12-01,152.0540414519244
2022-01-01,147.50499865671807
2022-02-01,136.3891325735112
2022-03-01,173.81393321937765
2022-04-01,174.44587743000724
2022-05-01,226.58347071617834
2022-06-01,263.50161252608683
2022-07-01,280.30177351176445
2022-08-01,273.03230230455557
2022-09-01,217.7216334349536
2022-10-01,178.9968859960729
2022-11-01,165.0294613939587
2022-12-01,150.68014798552355
2023-01-01,150.7665779721236
2023-02-01,137.83437598618914
2023-03-01,161.3235080735474
2023-04-01,180.3235645735348
2023-05-01,225.802836269553
2023-06-01,272.89648458714476
2023-07-01,290.1891998258282
2023-08-01,262.40429636568774
2023-09-01,218.04452540764498
2023-10-01,193.0729150572187
2023-11-01,160.75380503750154
2023-12-01,156.49217420419032
2024-01-01,148.476793593335
2024-02-01,144.0115046740404
2024-03-01,156.92667130724251
2024-04-01,182.03438912536163
2024-05-01,231.75524582845418
2024-06-01,267.0605462296145
