time,Est. Total consumption (GWh)
2018-03-01,148.5057327060015
2018-04-01,167.99653828643324
2018-05-01,202.58206575092146
2018-06-01,235.23484111174264
2018-07-01,250.28356541207222
2018-08-01,232.50365841399739
2018-09-01,222.1907808270463
2018-10-01,189.42073458429297
2018-11-01,170.6676920310388
2018-12-01,159.06408016694633
2019-01-01,145.8901826559184
2019-02-01,131.84271339890128
2019-03-01,151.16279535815315
2019-04-01,170.08819874843317
2019-05-01,207.9872023449648
2019-06-01,243.51276067624468
2019-07-01,254.14912992228096
2019-08-01,238.98104188402735
2019-09-01,214.98259074443598
2019-10-01,192.10136084194286
2019-11-01,169.1997894596598
2019-12-01,153.93399063956537
2020-01-01,145.25175057376438
2020-02-01,132.3660119518821
2020-03-01,154.24401279872725
2020-04-01,173.04031231145797
2020-05-01,208.18573240846766
2020-06-01,241.37918206907645
2020-07-01,252.47549103230656
2020-08-01,251.93197570714295
2020-09-01,214.30050040247056
2020-10-01,189.91199531248193
2020-11-01,163.8822992798553
2020-12-01,172.93968287032223
2021-01-01,146.9158085724756
2021-02-01,133.63578355686428
2021-03-01,153.7943724568306
2021-04-01,181.6886919842009
2021-05-01,218.4609884877457
2021-06-01,243.33496408089837
2021-07-01,251.97087403611337
2021-08-01,244.64683067220392
2021-09-01,219.24193207195705
2021-10-01,192.33837937940555
2021-11-01,167.21234523046184
2021-12-01,159.9101244072628
2022-01-01,149.2639685869775
2022-02-01,134.77202894993272
2022-03-01,154.53928641615485
2022-04-01,177.20338006458772
2022-05-01,220.3045838154409
2022-06-01,253.0593534354685
2022-07-01,261.7130882306557
2022-08-01,247.34624648221575
2022-09-01,219.92834211085935
2022-10-01,192.23617419363248
2022-11-01,165.90913818804742
2022-12-01,159.08436475108428
2023-01-01,147.6853462945363
2023-02-01,137.29120802929805
2023-03-01,160.822288134689
2023-04-01,178.21264177515377
2023-05-01,216.95003210881637
2023-06-01,257.02701642896574
2023-07-01,261.1919737011987
2023-08-01,257.71368729553876
2023-09-01,221.3522602549133
2023-10-01,195.7483551955409
2023-11-01,165.67241656340576
2023-12-01,157.90174770182125
2024-01-01,146.40514883911325
2024-02-01,137.199516241729
2024-03-01,155.26393732775895
2024-04-01,180.84691193876108
2024-05-01,212.89286453634568
2024-06-01,240.3671757722046
