,predictions,Est. Total consumption (GWh),difference
2018-03-01,179.977,180.913,-0.936000000000007
2018-04-01,190.896,197.099,-6.203000000000003
2018-05-01,240.026,236.309,3.717000000000013
2018-06-01,263.707,280.457,-16.75
2018-07-01,289.444,296.869,-7.425000000000011
2018-08-01,266.63,275.787,-9.156999999999982
2018-09-01,235.145,236.482,-1.336999999999989
2018-10-01,214.372,208.318,6.054000000000002
2018-11-01,188.38,188.157,0.22299999999998477
2018-12-01,182.09,185.363,-3.272999999999996
2019-01-01,182.611,184.993,-2.382000000000005
2019-02-01,166.176,164.176,2.0
2019-03-01,180.913,181.698,-0.7849999999999966
2019-04-01,197.099,197.236,-0.13700000000000045
2019-05-01,236.309,235.18,1.1289999999999907
2019-06-01,280.457,272.687,7.769999999999982
2019-07-01,296.869,288.255,8.614000000000033
2019-08-01,275.787,282.093,-6.30600000000004
2019-09-01,236.482,250.85,-14.367999999999995
2019-10-01,208.318,221.088,-12.769999999999982
2019-11-01,188.157,185.223,2.9339999999999975
2019-12-01,185.363,185.629,-0.26599999999999113
2020-01-01,184.993,185.37,-0.37700000000000955
2020-02-01,164.176,171.685,-7.5090000000000146
2020-03-01,181.698,191.505,-9.806999999999988
2020-04-01,197.236,213.508,-16.27200000000002
2020-05-01,235.18,254.704,-19.524
2020-06-01,272.687,271.712,0.9750000000000227
2020-07-01,288.255,309.107,-20.852000000000032
2020-08-01,282.093,288.363,-6.269999999999982
2020-09-01,250.85,247.337,3.5130000000000052
2020-10-01,221.088,216.431,4.656999999999982
2020-11-01,185.223,189.11,-3.8870000000000005
2020-12-01,185.629,190.322,-4.693000000000012
2021-01-01,185.37,191.55,-6.180000000000007
2021-02-01,171.685,168.98,2.7050000000000125
2021-03-01,191.505,189.059,2.445999999999998
2021-04-01,213.508,203.387,10.12100000000001
2021-05-01,254.704,257.024,-2.319999999999993
2021-06-01,271.712,277.352,-5.639999999999986
2021-07-01,309.107,321.911,-12.803999999999974
2021-08-01,288.363,306.973,-18.610000000000014
2021-09-01,247.337,267.932,-20.595000000000027
2021-10-01,216.431,228.073,-11.641999999999996
2021-11-01,189.11,193.41,-4.299999999999983
2021-12-01,190.322,197.684,-7.361999999999995
2022-01-01,191.55,196.794,-5.244
2022-02-01,168.98,178.549,-9.569000000000017
2022-03-01,189.059,195.908,-6.8489999999999895
2022-04-01,203.387,203.65,-0.26300000000000523
2022-05-01,257.024,249.098,7.925999999999988
2022-06-01,277.352,285.227,-7.875
2022-07-01,321.911,307.94,13.971000000000004
2022-08-01,306.973,290.834,16.13900000000001
2022-09-01,267.932,259.108,8.824000000000012
2022-10-01,228.073,232.077,-4.003999999999991
2022-11-01,193.41,193.883,-0.4730000000000132
2022-12-01,197.684,199.738,-2.054000000000002
2023-01-01,196.794,201.289,-4.494999999999976
2023-02-01,178.549,176.214,2.335000000000008
2023-03-01,195.908,196.935,-1.0270000000000152
2023-04-01,203.65,209.068,-5.418000000000006
2023-05-01,249.098,255.924,-6.825999999999993
2023-06-01,285.227,294.665,-9.438000000000045
2023-07-01,307.94,316.841,-8.90100000000001
2023-08-01,290.834,320.534,-29.69999999999999
2023-09-01,259.108,245.283,13.825000000000017
2023-10-01,232.077,225.282,6.7949999999999875
2023-11-01,193.883,199.677,-5.793999999999983
2023-12-01,199.738,203.497,-3.7590000000000146
2024-01-01,201.289,205.798,-4.5090000000000146
2024-02-01,176.214,185.524,-9.310000000000002
2024-03-01,196.935,204.168,-7.233000000000004
2024-04-01,209.068,214.703,-5.634999999999991
2024-05-01,255.924,279.464,-23.539999999999992
2024-06-01,294.665,283.221,11.444000000000017
