,predictions,Selected business demand (GWh),difference
2018-03-01,641.709,640.483,1.225999999999999
2018-04-01,588.302,556.939,31.363000000000056
2018-05-01,647.325,625.272,22.052999999999997
2018-06-01,613.871,608.06,5.8110000000000355
2018-07-01,641.921,637.602,4.319000000000074
2018-08-01,646.217,645.834,0.3830000000000382
2018-09-01,597.827,598.433,-0.6059999999999945
2018-10-01,614.992,616.684,-1.6920000000000073
2018-11-01,609.69,616.983,-7.292999999999893
2018-12-01,616.437,602.131,14.30600000000004
2019-01-01,633.323,617.86,15.462999999999965
2019-02-01,593.116,589.5,3.6159999999999854
2019-03-01,640.483,620.742,19.740999999999985
2019-04-01,556.939,590.951,-34.01200000000006
2019-05-01,625.272,627.938,-2.66599999999994
2019-06-01,608.06,611.657,-3.5970000000000937
2019-07-01,637.602,635.601,2.0009999999999764
2019-08-01,645.834,653.708,-7.874000000000024
2019-09-01,598.433,601.148,-2.715000000000032
2019-10-01,616.684,622.217,-5.5330000000000155
2019-11-01,616.983,617.333,-0.35000000000002274
2019-12-01,602.131,606.834,-4.7029999999999745
2020-01-01,617.86,613.877,3.983000000000061
2020-02-01,589.5,609.013,-19.513000000000034
2020-03-01,620.742,574.527,46.21499999999992
2020-04-01,590.951,385.863,205.08800000000002
2020-05-01,627.938,565.772,62.16599999999994
2020-06-01,611.657,591.609,20.048000000000002
2020-07-01,635.601,619.595,16.005999999999972
2020-08-01,653.708,587.132,66.57600000000002
2020-09-01,601.148,594.759,6.38900000000001
2020-10-01,622.217,617.176,5.04099999999994
2020-11-01,617.333,601.777,15.555999999999926
2020-12-01,606.834,598.512,8.322000000000003
2021-01-01,613.877,595.403,18.473999999999933
2021-02-01,609.013,558.262,50.75100000000009
2021-03-01,574.527,599.504,-24.976999999999975
2021-04-01,385.863,586.229,-200.36600000000004
2021-05-01,565.772,619.057,-53.28499999999997
2021-06-01,591.609,608.353,-16.743999999999915
2021-07-01,619.595,636.264,-16.668999999999983
2021-08-01,587.132,578.139,8.992999999999938
2021-09-01,594.759,517.358,77.40100000000007
2021-10-01,617.176,560.132,57.044000000000096
2021-11-01,601.777,573.459,28.318000000000097
2021-12-01,598.512,600.481,-1.969000000000051
2022-01-01,595.403,605.695,-10.29200000000003
2022-02-01,558.262,582.852,-24.590000000000032
2022-03-01,599.504,620.258,-20.75400000000002
2022-04-01,586.229,555.466,30.763000000000034
2022-05-01,619.057,578.928,40.12900000000002
2022-06-01,608.353,573.848,34.504999999999995
2022-07-01,636.264,599.222,37.04200000000003
2022-08-01,578.139,604.656,-26.51699999999994
2022-09-01,517.358,569.075,-51.7170000000001
2022-10-01,560.132,566.314,-6.182000000000016
2022-11-01,573.459,559.031,14.427999999999997
2022-12-01,600.481,563.684,36.797000000000025
2023-01-01,605.695,556.42,49.27500000000009
2023-02-01,582.852,532.234,50.61799999999994
2023-03-01,620.258,592.61,27.648000000000025
2023-04-01,555.466,547.969,7.496999999999957
2023-05-01,578.928,593.579,-14.650999999999954
2023-06-01,573.848,579.715,-5.8670000000000755
2023-07-01,599.222,590.036,9.186000000000035
2023-08-01,604.656,617.742,-13.086000000000013
2023-09-01,569.075,563.191,5.8840000000000146
2023-10-01,566.314,564.362,1.9519999999999982
2023-11-01,559.031,558.15,0.8809999999999718
2023-12-01,563.684,561.88,1.8039999999999736
2024-01-01,556.42,582.114,-25.694000000000074
2024-02-01,532.234,574.003,-41.769000000000005
2024-03-01,592.61,581.185,11.425000000000068
2024-04-01,547.969,555.173,-7.203999999999951
2024-05-01,593.579,593.491,0.08799999999996544
2024-06-01,579.715,558.837,20.878000000000043
