Business demand trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20240826144751

Parameters
Date range,01 Jan 2010 - 30 Jun 2024
Region type,Zone
Time scale,Month
Business demand,All
Show,Total demand

Period start,Period end,Region ID,Region description,Selected business demand (GWh),Regional demand (GWh),Proportion of regional demand (%),National demand (GWh),Proportion of national demand (%)
01/09/2023,30/09/2023,,,,0.008,,3491.623,
01/10/2023,31/10/2023,,,,13.117,,3469.761,
01/11/2023,30/11/2023,,,,17.809,,3276.148,
01/12/2023,31/12/2023,,,,21.457,,3335.235,
01/01/2024,31/01/2024,,,,24.193,,3380.764,
01/02/2024,29/02/2024,,,,21.111,,3225.684,
01/03/2024,31/03/2024,,,,19.683,,3393.768,
01/04/2024,30/04/2024,,,,15.849,,3323.179,
01/05/2024,31/05/2024,,,,12.196,,3795.754,
01/06/2024,30/06/2024,,,,7.521,,3578.530,
01/01/2010,31/01/2010,CNI,Central North Island,502.788,692.117,72.6,3191.764,15.8
01/02/2010,28/02/2010,CNI,Central North Island,475.792,649.906,73.2,3023.802,15.7
01/03/2010,31/03/2010,CNI,Central North Island,539.230,734.442,73.4,3398.322,15.9
01/04/2010,30/04/2010,CNI,Central North Island,505.722,707.522,71.5,3256.956,15.5
01/05/2010,31/05/2010,CNI,Central North Island,519.263,757.412,68.6,3527.135,14.7
01/06/2010,30/06/2010,CNI,Central North Island,488.874,754.273,64.8,3655.248,13.4
01/07/2010,31/07/2010,CNI,Central North Island,511.917,803.528,63.7,3853.833,13.3
01/08/2010,31/08/2010,CNI,Central North Island,505.453,795.908,63.5,3775.742,13.4
01/09/2010,30/09/2010,CNI,Central North Island,498.778,760.168,65.6,3510.578,14.2
01/10/2010,31/10/2010,CNI,Central North Island,519.827,754.759,68.9,3464.560,15.0
01/11/2010,30/11/2010,CNI,Central North Island,514.050,719.126,71.5,3327.106,15.5
01/12/2010,31/12/2010,CNI,Central North Island,518.067,708.675,73.1,3316.975,15.6
01/01/2011,31/01/2011,CNI,Central North Island,525.634,713.040,73.7,3227.141,16.3
01/02/2011,28/02/2011,CNI,Central North Island,487.723,660.708,73.8,3037.961,16.1
01/03/2011,31/03/2011,CNI,Central North Island,531.492,725.335,73.3,3309.534,16.1
01/04/2011,30/04/2011,CNI,Central North Island,518.573,722.902,71.7,3274.738,15.8
01/05/2011,31/05/2011,CNI,Central North Island,516.745,749.855,68.9,3498.651,14.8
01/06/2011,30/06/2011,CNI,Central North Island,502.953,756.829,66.5,3550.332,14.2
01/07/2011,31/07/2011,CNI,Central North Island,528.621,813.050,65.0,3834.709,13.8
01/08/2011,31/08/2011,CNI,Central North Island,525.274,815.606,64.4,3861.973,13.6
01/09/2011,30/09/2011,CNI,Central North Island,509.880,763.276,66.8,3535.126,14.4
01/10/2011,31/10/2011,CNI,Central North Island,510.795,739.232,69.1,3408.067,15.0
01/11/2011,30/11/2011,CNI,Central North Island,503.011,702.069,71.6,3257.984,15.4
01/12/2011,31/12/2011,CNI,Central North Island,491.552,693.527,70.9,3252.385,15.1
01/01/2012,31/01/2012,CNI,Central North Island,493.713,684.396,72.1,3215.542,15.4
01/02/2012,29/02/2012,CNI,Central North Island,484.712,663.451,73.1,3079.695,15.7
01/03/2012,31/03/2012,CNI,Central North Island,511.564,707.092,72.3,3263.985,15.7
01/04/2012,30/04/2012,CNI,Central North Island,509.852,710.495,71.8,3186.428,16.0
01/05/2012,31/05/2012,CNI,Central North Island,515.177,757.894,68.0,3568.813,14.4
01/06/2012,30/06/2012,CNI,Central North Island,498.800,770.318,64.8,3630.154,13.7
01/07/2012,31/07/2012,CNI,Central North Island,514.559,807.207,63.7,3767.891,13.7
01/08/2012,31/08/2012,CNI,Central North Island,526.202,799.103,65.8,3668.863,14.3
01/09/2012,30/09/2012,CNI,Central North Island,502.921,745.028,67.5,3411.850,14.7
01/10/2012,31/10/2012,CNI,Central North Island,515.818,743.776,69.4,3405.994,15.1
01/11/2012,30/11/2012,CNI,Central North Island,504.848,704.402,71.7,3240.911,15.6
01/12/2012,31/12/2012,CNI,Central North Island,491.910,688.998,71.4,3257.418,15.1
01/01/2013,31/01/2013,CNI,Central North Island,496.430,682.378,72.8,3230.524,15.4
01/02/2013,28/02/2013,CNI,Central North Island,456.898,623.488,73.3,3006.925,15.2
01/03/2013,31/03/2013,CNI,Central North Island,491.420,676.708,72.6,3258.119,15.1
