epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,0,,81.26559448242188,,,,,
0,1,,89.5120620727539,,,,,
0,2,,107.37789154052734,,,,,
0,3,,111.0616455078125,,,,,
0,3,,,59.23004150390625,0.1412581503391266,80.48301696777344,0.16054195165634155,145.34317016601562
0,3,97.3042984008789,,,,,,
1,4,,146.123046875,,,,,
1,5,,155.53292846679688,,,,,
1,6,,113.6141586303711,,,,,
1,7,,113.83428192138672,,,,,
1,7,,,54.40797424316406,0.12919999659061432,75.3653793334961,0.14565545320510864,122.699462890625
1,7,132.27609252929688,,,,,,
2,8,,104.8241958618164,,,,,
2,9,,125.37264251708984,,,,,
2,10,,112.98519134521484,,,,,
2,11,,117.22923278808594,,,,,
2,11,,,54.350921630859375,0.12905792891979218,75.30538177490234,0.14548127353191376,122.3437728881836
2,11,115.10282135009766,,,,,,
3,12,,117.83489227294922,,,,,
3,13,,112.9859619140625,,,,,
3,14,,116.47714233398438,,,,,
3,15,,121.62686920166016,,,,,
3,15,,,54.11236572265625,0.1284635215997696,75.0560073852539,0.14475321769714355,120.86772918701172
3,15,117.23120880126953,,,,,,
4,16,,116.09944915771484,,,,,
4,17,,119.90121459960938,,,,,
4,18,,123.90481567382812,,,,,
4,19,,106.2757568359375,,,,,
4,19,,,53.99858474731445,0.12817975878715515,74.93798828125,0.14440618455410004,120.22908782958984
4,19,116.5453109741211,,,,,,
5,20,,112.98053741455078,,,,,
5,21,,115.30120086669922,,,,,
5,22,,114.0736083984375,,,,,
5,23,,113.06376647949219,,,,,
5,23,,,53.89295959472656,0.12791626155376434,74.8287353515625,0.1440841257572174,119.6698226928711
5,23,113.85477447509766,,,,,,
6,24,,123.24275970458984,,,,,
6,25,,110.13346099853516,,,,,
6,26,,118.57976531982422,,,,,
6,27,,106.25664520263672,,,,,
6,27,,,53.4366455078125,0.12677720189094543,74.36032104492188,0.142694354057312,117.2433090209961
6,27,114.55315399169922,,,,,,
7,28,,103.24691772460938,,,,,
7,29,,113.20027923583984,,,,,
7,30,,127.50326538085938,,,,,
7,31,,113.34310150146484,,,,,
7,31,,,53.28868103027344,0.12640774250030518,74.20943450927734,0.14224421977996826,116.41397094726562
7,31,114.3233871459961,,,,,,
8,32,,116.64425659179688,,,,,
8,33,,111.497314453125,,,,,
8,34,,113.11515045166016,,,,,
8,35,,116.95552825927734,,,,,
8,35,,,53.13536071777344,0.12602485716342926,74.05366516113281,0.14177808165550232,115.59566497802734
8,35,114.55306243896484,,,,,,
9,36,,114.63643646240234,,,,,
9,37,,111.60759735107422,,,,,
9,38,,115.93660736083984,,,,,
9,39,,102.06318664550781,,,,,
9,39,,,52.472476959228516,0.1243685707449913,73.38724517822266,0.1397658884525299,112.092041015625
9,39,111.06095123291016,,,,,,
10,40,,120.08609008789062,,,,,
10,41,,108.612548828125,,,,,
10,42,,106.90901184082031,,,,,
10,43,,108.38529205322266,,,,,
10,43,,,52.25141525268555,0.12381607294082642,73.16702270507812,0.13909606635570526,111.01876068115234
10,43,110.99823760986328,,,,,,
11,44,,104.41871643066406,,,,,
11,45,,108.48387908935547,,,,,
11,46,,116.52567291259766,,,,,
11,47,,106.45771789550781,,,,,
11,47,,,52.03646469116211,0.12327861785888672,72.95442962646484,0.13844524323940277,109.96417999267578
11,47,108.97149658203125,,,,,,
12,48,,94.64747619628906,,,,,
12,49,,115.07691955566406,,,,,
12,50,,106.1505355834961,,,,,
12,51,,122.20993041992188,,,,,
12,51,,,51.136112213134766,0.1210254430770874,72.07831573486328,0.13572506606578827,105.5516128540039
12,51,109.5212173461914,,,,,,
13,52,,113.13296508789062,,,,,
13,53,,104.38227081298828,,,,,
13,54,,102.59436798095703,,,,,
13,55,,109.08072662353516,,,,,
13,55,,,50.8425178527832,0.12029030919075012,71.79715728759766,0.13484010100364685,104.1520767211914
13,55,107.2975845336914,,,,,,
14,56,,103.14938354492188,,,,,
14,57,,105.73294830322266,,,,,
14,58,,92.69200134277344,,,,,
14,59,,101.96134948730469,,,,,
14,59,,,50.57606506347656,0.11962277442216873,71.54432678222656,0.1340378224849701,102.8136978149414
14,59,100.8839111328125,,,,,,
15,60,,108.72052764892578,,,,,
15,61,,104.15568542480469,,,,,
15,62,,103.01438903808594,,,,,
15,63,,99.02054595947266,,,,,
15,63,,,49.41408920288086,0.116710364818573,70.4626235961914,0.13054907321929932,97.23847198486328
