,predictions,actual,difference
2018-03-01,505.645,506.729,-1.0840000000000032
2018-04-01,476.929,498.533,-21.604000000000042
2018-05-01,502.822,516.806,-13.984000000000037
2018-06-01,457.448,472.04,-14.592000000000041
2018-07-01,479.291,487.935,-8.644000000000005
2018-08-01,500.829,507.85,-7.021000000000015
2018-09-01,482.156,489.362,-7.206000000000017
2018-10-01,489.22,486.761,2.459000000000003
2018-11-01,479.732,471.807,7.925000000000011
2018-12-01,487.393,482.074,5.31899999999996
2019-01-01,495.395,501.079,-5.684000000000026
2019-02-01,453.028,456.487,-3.459000000000003
2019-03-01,506.729,509.623,-2.8940000000000055
2019-04-01,498.533,489.352,9.18100000000004
2019-05-01,516.806,488.248,28.55800000000005
2019-06-01,472.04,448.871,23.16900000000004
2019-07-01,487.935,476.116,11.819000000000017
2019-08-01,507.85,497.979,9.871000000000038
2019-09-01,489.362,476.505,12.857000000000028
2019-10-01,486.761,492.032,-5.270999999999958
2019-11-01,471.807,468.701,3.1059999999999945
2019-12-01,482.074,482.494,-0.4200000000000159
2020-01-01,501.079,484.773,16.305999999999983
2020-02-01,456.487,481.237,-24.75
2020-03-01,509.623,478.098,31.524999999999977
2020-04-01,489.352,347.727,141.625
2020-05-01,488.248,481.558,6.689999999999998
2020-06-01,448.871,438.394,10.476999999999975
2020-07-01,476.116,472.589,3.526999999999987
2020-08-01,497.979,486.389,11.589999999999975
2020-09-01,476.505,479.647,-3.141999999999996
2020-10-01,492.032,481.752,10.279999999999973
2020-11-01,468.701,448.515,20.186000000000035
2020-12-01,482.494,470.609,11.885000000000048
2021-01-01,484.773,476.603,8.170000000000016
2021-02-01,481.237,443.019,38.21800000000002
2021-03-01,478.098,497.751,-19.652999999999963
2021-04-01,347.727,471.06,-123.33300000000003
2021-05-01,481.558,484.367,-2.809000000000026
2021-06-01,438.394,453.558,-15.163999999999987
2021-07-01,472.589,454.396,18.192999999999984
2021-08-01,486.389,416.503,69.88600000000002
2021-09-01,479.647,438.55,41.09699999999998
2021-10-01,481.752,447.036,34.71600000000001
2021-11-01,448.515,432.409,16.105999999999995
2021-12-01,470.609,454.296,16.312999999999988
2022-01-01,476.603,452.193,24.410000000000025
2022-02-01,443.019,423.89,19.12900000000002
2022-03-01,497.751,470.58,27.170999999999992
2022-04-01,471.06,452.652,18.408000000000015
2022-05-01,484.367,456.869,27.49799999999999
2022-06-01,453.558,418.456,35.101999999999975
2022-07-01,454.396,441.703,12.69300000000004
2022-08-01,416.503,465.773,-49.27000000000004
2022-09-01,438.55,457.366,-18.815999999999974
2022-10-01,447.036,457.577,-10.540999999999997
2022-11-01,432.409,430.748,1.6610000000000014
2022-12-01,454.296,434.912,19.384000000000015
2023-01-01,452.193,431.888,20.305000000000007
2023-02-01,423.89,375.063,48.827
2023-03-01,470.58,422.996,47.584
2023-04-01,452.652,414.978,37.67399999999998
2023-05-01,456.869,438.495,18.374000000000024
2023-06-01,418.456,388.294,30.162000000000035
2023-07-01,441.703,397.003,44.69999999999999
2023-08-01,465.773,436.534,29.239000000000033
2023-09-01,457.366,403.532,53.834
2023-10-01,457.577,434.878,22.699000000000012
2023-11-01,430.748,408.14,22.608000000000004
2023-12-01,434.912,424.776,10.135999999999967
2024-01-01,431.888,424.482,7.405999999999949
2024-02-01,375.063,415.395,-40.331999999999994
2024-03-01,422.996,439.393,-16.39699999999999
2024-04-01,414.978,450.067,-35.089
2024-05-01,438.495,471.065,-32.56999999999999
2024-06-01,388.294,412.198,-23.903999999999996
