,predictions,actual,difference
2018-03-01,506.772989650792,506.729,0.04398965079201389
2018-04-01,478.7871797224553,498.533,-19.745820277544738
2018-05-01,485.64206239359817,516.806,-31.163937606401873
2018-06-01,465.0614046824611,472.04,-6.978595317538918
2018-07-01,501.47786369500324,487.935,13.542863695003234
2018-08-01,523.081724856506,507.85,15.231724856505934
2018-09-01,493.8946232261509,489.362,4.532623226150861
2018-10-01,497.4278497699818,486.761,10.666849769981752
2018-11-01,485.1900698774724,471.807,13.383069877472394
2018-12-01,493.4911097928949,482.074,11.417109792894905
2019-01-01,494.87874573304975,501.079,-6.200254266950253
2019-02-01,454.9297416307723,456.487,-1.5572583692277249
2019-03-01,503.34560426660994,509.623,-6.277395733390051
2019-04-01,487.51006872018337,489.352,-1.841931279816606
2019-05-01,501.46801339155246,488.248,13.22001339155247
2019-06-01,469.4966498008665,448.871,20.62564980086654
2019-07-01,490.5202031481932,476.116,14.404203148193233
2019-08-01,499.38264787142543,497.979,1.4036478714254486
2019-09-01,472.4335443354115,476.505,-4.071455664588484
2019-10-01,478.25308623526973,492.032,-13.778913764730248
2019-11-01,467.44548142518926,468.701,-1.2555185748107647
2019-12-01,476.219616656501,482.494,-6.274383343499039
2020-01-01,493.98571337432077,484.773,9.212713374320742
2020-02-01,451.8822190363663,481.237,-29.354780963633743
2020-03-01,504.3132379392974,478.098,26.215237939297367
2020-04-01,478.1147489485835,347.727,130.38774894858352
2020-05-01,504.163767295429,481.558,22.60576729542902
2020-06-01,451.7140969818574,438.394,13.320096981857375
2020-07-01,423.29746802263605,472.589,-49.291531977363945
2020-08-01,476.8840303345889,486.389,-9.504969665411124
2020-09-01,453.29323186770796,479.647,-26.353768132292032
2020-10-01,467.1616565837002,481.752,-14.590343416299788
2020-11-01,452.1090542477213,448.515,3.594054247721317
2020-12-01,466.4820464166973,470.609,-4.126953583302679
2021-01-01,475.8395568931426,476.603,-0.7634431068573804
2021-02-01,446.08592438641205,443.019,3.0669243864120403
2021-03-01,481.0801925132562,497.751,-16.670807486743797
2021-04-01,425.7165140506488,471.06,-45.34348594935119
2021-05-01,472.62482161807526,484.367,-11.74217838192476
2021-06-01,441.5458162610493,453.558,-12.012183738950682
2021-07-01,474.99343470703474,454.396,20.597434707034722
2021-08-01,486.51068358123007,416.503,70.00768358123008
2021-09-01,469.43769981275807,438.55,30.887699812758058
2021-10-01,475.54258615571143,447.036,28.50658615571143
2021-11-01,444.44605713321647,432.409,12.037057133216479
2021-12-01,453.6242729425153,454.296,-0.6717270574847021
2022-01-01,456.4952263149379,452.193,4.302226314937911
2022-02-01,424.8225541369837,423.89,0.9325541369836969
2022-03-01,468.38047659026734,470.58,-2.199523409732649
2022-04-01,428.57720875957983,452.652,-24.074791240420154
2022-05-01,455.33838977290463,456.869,-1.5306102270953943
2022-06-01,426.73175410161355,418.456,8.27575410161353
2022-07-01,453.0208765363988,441.703,11.317876536398842
2022-08-01,458.30776621997285,465.773,-7.465233780027177
2022-09-01,442.5193819881723,457.366,-14.846618011827672
2022-10-01,450.82259802553403,457.577,-6.754401974465964
2022-11-01,437.8740774662202,430.748,7.126077466220238
2022-12-01,448.6938893036659,434.912,13.781889303665935
2023-01-01,454.0369562717879,431.888,22.148956271787938
2023-02-01,421.8485414203877,375.063,46.78554142038769
2023-03-01,462.524697430321,422.996,39.52869743032102
2023-04-01,426.5375454656003,414.978,11.559545465600308
2023-05-01,437.340281898449,438.495,-1.1547181015509977
2023-06-01,405.2440210306222,388.294,16.950021030622224
2023-07-01,428.3741634193943,397.003,31.371163419394293
2023-08-01,437.068292319111,436.534,0.534292319110989
2023-09-01,418.734585177812,403.532,15.202585177812011
2023-10-01,421.39874047402566,434.878,-13.479259525974328
2023-11-01,408.7545300653464,408.14,0.6145300653464005
2023-12-01,412.5466288074356,424.776,-12.229371192564429
2024-01-01,421.73656893259636,424.482,-2.745431067403672
2024-02-01,388.01197433996646,415.395,-27.383025660033525
2024-03-01,433.7570352969995,439.393,-5.635964703000468
2024-04-01,403.1414268733679,450.067,-46.925573126632116
2024-05-01,429.03308960685683,471.065,-42.031910393143164
2024-06-01,398.91470191066605,412.198,-13.283298089333925
