,predictions,actual,difference
2018-03-01,267.38280597321074,265.159,2.2238059732107445
2018-04-01,257.8903659760408,247.604,10.286365976040798
2018-05-01,264.40420815428945,268.128,-3.7237918457105366
2018-06-01,264.00349906229803,259.41,4.593499062298008
2018-07-01,255.79449207195938,264.94,-9.145507928040615
2018-08-01,271.2739074245503,274.019,-2.7450925754496893
2018-09-01,270.7009827641559,262.363,8.337982764155925
2018-10-01,262.0401117576351,267.473,-5.432888242364925
2018-11-01,264.88224322417767,259.397,5.48524322417768
2018-12-01,261.6696923423851,250.689,10.980692342385083
2019-01-01,270.31766494864377,269.123,1.1946649486437764
2019-02-01,264.6438449240788,251.143,13.500844924078791
2019-03-01,261.4163001861052,269.572,-8.155699813894785
2019-04-01,245.74296335716994,247.913,-2.1700366428300697
2019-05-01,268.04245959670004,258.35,9.692459596700019
2019-06-01,262.61298146088444,251.135,11.47798146088445
2019-07-01,266.1077532150877,259.438,6.669753215087724
2019-08-01,279.3747396732844,273.624,5.750739673284386
2019-09-01,262.49878283095615,259.398,3.1007828309561205
2019-10-01,261.7173107467015,266.565,-4.847689253298483
2019-11-01,253.38909409352271,253.667,-0.27790590647728663
2019-12-01,257.5269776746171,252.554,4.972977674617113
2020-01-01,263.3418734901908,265.313,-1.97112650980921
2020-02-01,257.3950127178469,258.499,-1.1039872821531276
2020-03-01,282.2047772551259,251.945,30.259777255125925
2020-04-01,253.6165439008981,192.774,60.84254390089811
2020-05-01,263.603053981596,237.086,26.517053981596007
2020-06-01,255.90418412301614,247.624,8.280184123016141
2020-07-01,272.18893674780725,264.069,8.11993674780723
2020-08-01,286.113527671683,263.735,22.378527671683003
2020-09-01,204.30955476565475,267.466,-63.156445234345256
2020-10-01,224.15560114970302,266.574,-42.418398850296995
2020-11-01,239.68091911177905,257.721,-18.040080888220956
2020-12-01,260.76011005433963,255.275,5.4851100543396285
2021-01-01,261.0509485988066,258.331,2.7199485988065817
2021-02-01,256.9173219213299,246.866,10.051321921329901
2021-03-01,260.37597330542826,268.981,-8.605026694571734
2021-04-01,249.3826362251207,244.107,5.2756362251207065
2021-05-01,263.50527099450966,260.152,3.3532709945096713
2021-06-01,267.0425002562894,248.521,18.521500256289386
2021-07-01,261.1237605846015,262.366,-1.242239415398501
2021-08-01,257.720660444953,250.963,6.757660444953018
2021-09-01,259.58369633064075,251.104,8.479696330640735
2021-10-01,264.7698876866427,259.97,4.7998876866426485
2021-11-01,260.5122167151991,265.76,-5.247783284800903
2021-12-01,264.7205234251147,261.017,3.7035234251147244
2022-01-01,252.18618028743242,264.035,-11.848819712567604
2022-02-01,252.22017129026077,242.313,9.907171290260777
2022-03-01,263.8996074231326,262.182,1.7176074231325629
2022-04-01,262.5922023973063,244.675,17.917202397306312
2022-05-01,257.83869533499853,260.345,-2.506304665001494
2022-06-01,269.79987159122857,249.772,20.027871591228575
2022-07-01,265.788779735042,264.35,1.438779735041976
2022-08-01,256.3954576432692,275.489,-19.09354235673078
2022-09-01,254.33591905841854,262.042,-7.706080941581433
2022-10-01,262.71380620776904,264.4,-1.686193792230938
2022-11-01,251.50245087077354,253.719,-2.2165491292264505
2022-12-01,258.11022608681424,251.822,6.288226086814234
2023-01-01,274.0153293041349,250.486,23.529329304134933
2023-02-01,262.2881939599606,234.739,27.549193959960604
2023-03-01,270.8680071933488,263.151,7.717007193348763
2023-04-01,253.10518674668387,244.029,9.076186746683874
2023-05-01,264.1379491236169,266.407,-2.269050876383062
2023-06-01,249.15861331266646,253.329,-4.170386687333547
2023-07-01,266.34700861945925,263.811,2.536008619459267
2023-08-01,251.88247731582416,284.228,-32.34552268417585
2023-09-01,263.07429106072266,259.179,3.895291060722684
2023-10-01,266.1581595153122,263.434,2.7241595153121807
2023-11-01,251.6827123478331,253.103,-1.4202876521669054
2023-12-01,253.23775195476887,252.754,0.4837519547688771
2024-01-01,256.8898295283813,258.59,-1.7001704716186623
2024-02-01,241.2995860545304,247.053,-5.753413945469589
2024-03-01,250.1396560838777,253.768,-3.6283439161223043
2024-04-01,250.62042293997754,243.587,7.033422939977555
2024-05-01,265.3295365292911,262.416,2.9135365292910933
2024-06-01,254.90990715895592,240.388,14.521907158955912
