,predictions,actual,difference
2018-03-01,271.08,265.159,5.920999999999992
2018-04-01,248.405,247.604,0.8009999999999877
2018-05-01,270.697,268.128,2.569000000000017
2018-06-01,254.789,259.41,-4.621000000000038
2018-07-01,265.525,264.94,0.5849999999999795
2018-08-01,274.554,274.019,0.5349999999999682
2018-09-01,263.91,262.363,1.5470000000000255
2018-10-01,260.312,267.473,-7.161000000000001
2018-11-01,262.512,259.397,3.115000000000009
2018-12-01,265.313,250.689,14.623999999999995
2019-01-01,272.329,269.123,3.2060000000000173
2019-02-01,247.628,251.143,-3.515000000000015
2019-03-01,265.159,269.572,-4.413000000000011
2019-04-01,247.604,247.913,-0.3089999999999975
2019-05-01,268.128,258.35,9.777999999999963
2019-06-01,259.41,251.135,8.275000000000034
2019-07-01,264.94,259.438,5.5020000000000095
2019-08-01,274.019,273.624,0.3949999999999818
2019-09-01,262.363,259.398,2.964999999999975
2019-10-01,267.473,266.565,0.9080000000000155
2019-11-01,259.397,253.667,5.72999999999999
2019-12-01,250.689,252.554,-1.865000000000009
2020-01-01,269.123,265.313,3.8100000000000023
2020-02-01,251.143,258.499,-7.356000000000023
2020-03-01,269.572,251.945,17.62700000000001
2020-04-01,247.913,192.774,55.13900000000001
2020-05-01,258.35,237.086,21.26400000000001
2020-06-01,251.135,247.624,3.5109999999999957
2020-07-01,259.438,264.069,-4.631000000000029
2020-08-01,273.624,263.735,9.88900000000001
2020-09-01,259.398,267.466,-8.067999999999984
2020-10-01,266.565,266.574,-0.009000000000014552
2020-11-01,253.667,257.721,-4.054000000000002
2020-12-01,252.554,255.275,-2.7210000000000036
2021-01-01,265.313,258.331,6.981999999999971
2021-02-01,258.499,246.866,11.63300000000001
2021-03-01,251.945,268.981,-17.036
2021-04-01,192.774,244.107,-51.333
2021-05-01,237.086,260.152,-23.065999999999974
2021-06-01,247.624,248.521,-0.8969999999999914
2021-07-01,264.069,262.366,1.7030000000000314
2021-08-01,263.735,250.963,12.77200000000002
2021-09-01,267.466,251.104,16.361999999999995
2021-10-01,266.574,259.97,6.603999999999985
2021-11-01,257.721,265.76,-8.038999999999987
2021-12-01,255.275,261.017,-5.74199999999999
2022-01-01,258.331,264.035,-5.704000000000008
2022-02-01,246.866,242.313,4.553000000000026
2022-03-01,268.981,262.182,6.798999999999978
2022-04-01,244.107,244.675,-0.568000000000012
2022-05-01,260.152,260.345,-0.19300000000004047
2022-06-01,248.521,249.772,-1.2510000000000048
2022-07-01,262.366,264.35,-1.9840000000000373
2022-08-01,250.963,275.489,-24.525999999999982
2022-09-01,251.104,262.042,-10.93799999999996
2022-10-01,259.97,264.4,-4.42999999999995
2022-11-01,265.76,253.719,12.040999999999997
2022-12-01,261.017,251.822,9.194999999999993
2023-01-01,264.035,250.486,13.549000000000035
2023-02-01,242.313,234.739,7.573999999999984
2023-03-01,262.182,263.151,-0.9689999999999941
2023-04-01,244.675,244.029,0.646000000000015
2023-05-01,260.345,266.407,-6.061999999999955
2023-06-01,249.772,253.329,-3.5570000000000164
2023-07-01,264.35,263.811,0.5390000000000441
2023-08-01,275.489,284.228,-8.739000000000033
2023-09-01,262.042,259.179,2.8629999999999995
2023-10-01,264.4,263.434,0.9659999999999513
2023-11-01,253.719,253.103,0.6159999999999854
2023-12-01,251.822,252.754,-0.931999999999988
2024-01-01,250.486,258.59,-8.103999999999985
2024-02-01,234.739,247.053,-12.313999999999993
2024-03-01,263.151,253.768,9.38300000000001
2024-04-01,244.029,243.587,0.4420000000000073
2024-05-01,266.407,262.416,3.9909999999999854
2024-06-01,253.329,240.388,12.941000000000003
