,predictions,actual,difference
2018-03-01,278.7407648099278,265.159,13.58176480992779
2018-04-01,260.657682206115,247.604,13.053682206114985
2018-05-01,274.559830566583,268.128,6.431830566583017
2018-06-01,258.5618755875919,259.41,-0.84812441240814
2018-07-01,266.2254699092289,264.94,1.2854699092288797
2018-08-01,273.00179044252803,274.019,-1.017209557471972
2018-09-01,261.10075541642806,262.363,-1.2622445835719418
2018-10-01,256.72771606270794,267.473,-10.745283937292072
2018-11-01,255.50310587353962,259.397,-3.893894126460367
2018-12-01,256.43893954327655,250.689,5.749939543276554
2019-01-01,267.4856756579853,269.123,-1.637324342014665
2019-02-01,253.22490083417958,251.143,2.081900834179578
2019-03-01,269.2078915976978,269.572,-0.364108402302179
2019-04-01,250.61664607862315,247.913,2.7036460786231373
2019-05-01,269.13502413550214,258.35,10.785024135502113
2019-06-01,259.1479998812671,251.135,8.012999881267092
2019-07-01,267.1034395642712,259.438,7.665439564271196
2019-08-01,271.24082073949756,273.624,-2.383179260502459
2019-09-01,256.88310758996903,259.398,-2.5148924100309955
2019-10-01,254.3146354182161,266.565,-12.250364581783884
2019-11-01,252.64033377503154,253.667,-1.0266662249684657
2019-12-01,250.75210568303024,252.554,-1.801894316969765
2020-01-01,266.2840888534295,265.313,0.971088853429535
2020-02-01,248.83940317600067,258.499,-9.659596823999351
2020-03-01,267.66932058840064,251.945,15.724320588400644
2020-04-01,246.84635242077357,192.774,54.07235242077357
2020-05-01,266.8164539305731,237.086,29.730453930573105
2020-06-01,250.90999047708812,247.624,3.28599047708812
2020-07-01,241.8166771178273,264.069,-22.252322882172706
2020-08-01,246.6908420481538,263.735,-17.044157951846216
2020-09-01,234.38555168414626,267.466,-33.080448315853744
2020-10-01,244.41190257144424,266.574,-22.162097428555768
2020-11-01,244.43743344938713,257.721,-13.283566550612875
2020-12-01,251.91690050216855,255.275,-3.3580994978314607
2021-01-01,266.21323244573966,258.331,7.882232445739646
2021-02-01,255.10183858972042,246.866,8.235838589720402
2021-03-01,263.97405550355546,268.981,-5.006944496444532
2021-04-01,225.079799129997,244.107,-19.027200870002986
2021-05-01,249.97190521615133,260.152,-10.18009478384866
2021-06-01,251.35878159153515,248.521,2.837781591535162
2021-07-01,268.4325297124093,262.366,6.066529712409306
2021-08-01,276.27976293363133,250.963,25.31676293363134
2021-09-01,266.1880591297135,251.104,15.084059129713495
2021-10-01,264.59819244147513,259.97,4.628192441475107
2021-11-01,247.58982053559484,265.76,-18.17017946440515
2021-12-01,244.15300806257738,261.017,-16.86399193742261
2022-01-01,253.68479974512007,264.035,-10.350200254879951
2022-02-01,248.04499805947293,242.313,5.731998059472943
2022-03-01,266.97943641872143,262.182,4.797436418721418
2022-04-01,238.94462333998717,244.675,-5.730376660012837
2022-05-01,257.58250319432216,260.345,-2.76249680567787
2022-06-01,250.17673322359468,249.772,0.40473322359468966
2022-07-01,264.5144215581942,264.35,0.16442155819419213
2022-08-01,266.17729782118533,275.489,-9.311702178814642
2022-09-01,260.4889193063939,262.042,-1.5530806936060912
2022-10-01,263.51819758079586,264.4,-0.8818024192041207
2022-11-01,262.57658041070664,253.719,8.857580410706646
2022-12-01,259.3898763966962,251.822,7.567876396696192
2023-01-01,267.10082730689095,250.486,16.61482730689096
2023-02-01,248.99522083270426,234.739,14.256220832704258
2023-03-01,263.0773696307321,263.151,-0.073630369267903
2023-04-01,232.14667567214573,244.029,-11.882324327854263
2023-05-01,249.30831897991072,266.407,-17.09868102008926
2023-06-01,244.16674822845292,253.329,-9.16225177154709
2023-07-01,260.70296071381597,263.811,-3.1080392861840096
2023-08-01,269.7249245890069,284.228,-14.50307541099312
2023-09-01,262.6349262696211,259.179,3.455926269621102
2023-10-01,264.9223179491216,263.434,1.4883179491215515
2023-11-01,264.3696005849301,253.103,11.266600584930075
2023-12-01,258.49731760125354,252.754,5.743317601253551
2024-01-01,263.8346586472839,258.59,5.244658647283927
2024-02-01,245.56260415863994,247.053,-1.4903958413600549
2024-03-01,263.3275753237346,253.768,9.559575323734606
2024-04-01,238.4408913953703,243.587,-5.146108604629688
2024-05-01,260.5821991106738,262.416,-1.8338008893261986
2024-06-01,248.14250782559571,240.388,7.754507825595709
