,predictions,Selected business demand (GWh),difference
2018-03-01,647.2923816909669,636.711,10.58138169096685
2018-04-01,650.046173114517,624.963,25.08317311451708
2018-05-01,568.5899080903303,644.28,-75.69009190966972
2018-06-01,616.9236816214641,597.254,19.669681621464065
2018-07-01,598.2063405021452,604.333,-6.126659497854803
2018-08-01,607.483002913986,629.566,-22.082997086014075
2018-09-01,610.9086227399665,620.333,-9.424377260033452
2018-10-01,642.0858660021598,671.633,-29.547133997840206
2018-11-01,639.3344607273276,645.05,-5.715539272672345
2018-12-01,672.7919871060467,664.571,8.220987106046664
2019-01-01,682.8917572559277,704.676,-21.784242744072344
2019-02-01,619.5961381271158,662.642,-43.0458618728843
2019-03-01,671.8137212597456,688.714,-16.900278740254407
2019-04-01,593.7575931608001,650.828,-57.070406839199904
2019-05-01,645.6077427067414,650.441,-4.833257293258612
2019-06-01,622.7010093867282,614.915,7.78600938672821
2019-07-01,604.3843492511352,627.927,-23.542650748864844
2019-08-01,652.5522385210965,654.401,-1.8487614789034978
2019-09-01,645.2635772743323,638.476,6.787577274332307
2019-10-01,628.9219373324369,674.86,-45.938062667563145
2019-11-01,688.1163078760734,652.788,35.32830787607338
2019-12-01,671.424840034294,694.489,-23.06415996570604
2020-01-01,683.20318714458,711.683,-28.479812855419937
2020-02-01,676.3031543872361,651.148,25.155154387236053
2020-03-01,682.6300727828234,674.092,8.538072782823406
2020-04-01,646.5064005326183,569.697,76.80940053261827
2020-05-01,684.731446907791,617.572,67.159446907791
2020-06-01,620.5590579936189,594.216,26.343057993618913
2020-07-01,620.2723540362837,609.136,11.136354036283706
2020-08-01,613.0195329636754,622.593,-9.573467036324587
2020-09-01,594.1397022717997,632.573,-38.43329772820027
2020-10-01,640.1250255430625,681.769,-41.643974456937485
2020-11-01,653.514209759574,662.689,-9.174790240425978
2020-12-01,668.8015928621721,684.518,-15.7164071378279
2021-01-01,702.5018901249039,650.932,51.56989012490385
2021-02-01,645.030838525932,625.797,19.233838525932015
2021-03-01,676.3127167502107,682.599,-6.286283249789335
2021-04-01,619.2295222585319,626.211,-6.9814777414680975
2021-05-01,634.4246552444788,624.162,10.262655244478765
2021-06-01,578.2127200829158,581.23,-3.017279917084238
2021-07-01,635.0594378556335,609.979,25.080437855633477
2021-08-01,627.6574604647433,613.885,13.77246046474329
2021-09-01,610.7753723119257,623.487,-12.711627688074259
2021-10-01,634.6180765591802,665.869,-31.25092344081986
2021-11-01,656.8918135839573,651.6,5.291813583957264
2021-12-01,687.2552972560062,651.446,35.809297256006175
2022-01-01,641.6121693683108,684.213,-42.60083063168918
2022-02-01,629.7120372252296,590.583,39.12903722522958
2022-03-01,671.849047417349,658.653,13.19604741734895
2022-04-01,605.651645135665,617.126,-11.474354864334941
2022-05-01,619.0471393478879,630.114,-11.066860652112155
2022-06-01,605.9865641863161,602.716,3.270564186316051
2022-07-01,608.6108926627255,621.149,-12.538107337274482
2022-08-01,625.3086393901622,641.631,-16.3223606098378
2022-09-01,616.386759810277,638.686,-22.299240189723037
2022-10-01,659.6139799492679,681.962,-22.34802005073209
2022-11-01,639.4847907897289,661.153,-21.66820921027113
2022-12-01,661.9361782934022,672.325,-10.38882170659781
2023-01-01,684.2124088471024,702.339,-18.126591152897618
2023-02-01,650.5902449315864,634.913,15.677244931586415
2023-03-01,677.8567748288141,659.158,18.698774828814066
2023-04-01,626.6580168778929,614.385,12.273016877892928
2023-05-01,636.4481112679706,643.984,-7.535888732029434
2023-06-01,617.6035537781052,597.214,20.389553778105096
2023-07-01,621.9353937132558,611.774,10.161393713255848
2023-08-01,633.6747007837414,644.076,-10.401299216258622
2023-09-01,634.9570256426447,644.333,-9.37597435735529
2023-10-01,677.0734963918422,685.855,-8.781503608157777
2023-11-01,667.2191196737042,678.651,-11.431880326295754
2023-12-01,666.4810108044989,710.926,-44.44498919550119
2024-01-01,718.2511068456695,716.667,1.584106845669453
2024-02-01,654.3909171906541,681.095,-26.70408280934589
2024-03-01,664.7067310880971,701.394,-36.68726891190295
2024-04-01,604.4818761248557,642.926,-38.44412387514433
2024-05-01,614.3325932434319,663.393,-49.06040675656811
2024-06-01,638.7198787539447,587.121,51.598878753944746
