,predictions,actual,difference
2018-03-01,665.388,636.711,28.67700000000002
2018-04-01,612.547,624.963,-12.41599999999994
2018-05-01,640.376,644.28,-3.9039999999999964
2018-06-01,590.832,597.254,-6.4220000000000255
2018-07-01,610.539,604.333,6.206000000000017
2018-08-01,619.176,629.566,-10.389999999999986
2018-09-01,614.639,620.333,-5.69399999999996
2018-10-01,647.46,671.633,-24.173000000000002
2018-11-01,657.338,645.05,12.288000000000011
2018-12-01,688.108,664.571,23.53699999999992
2019-01-01,685.864,704.676,-18.812000000000012
2019-02-01,592.524,662.642,-70.11800000000005
2019-03-01,636.711,688.714,-52.00300000000004
2019-04-01,624.963,650.828,-25.86500000000001
2019-05-01,644.28,650.441,-6.161000000000058
2019-06-01,597.254,614.915,-17.660999999999945
2019-07-01,604.333,627.927,-23.59400000000005
2019-08-01,629.566,654.401,-24.834999999999923
2019-09-01,620.333,638.476,-18.14300000000003
2019-10-01,671.633,674.86,-3.2269999999999754
2019-11-01,645.05,652.788,-7.738000000000056
2019-12-01,664.571,694.489,-29.918000000000006
2020-01-01,704.676,711.683,-7.006999999999948
2020-02-01,662.642,651.148,11.494000000000028
2020-03-01,688.714,674.092,14.622000000000071
2020-04-01,650.828,569.697,81.13099999999997
2020-05-01,650.441,617.572,32.86900000000003
2020-06-01,614.915,594.216,20.698999999999955
2020-07-01,627.927,609.136,18.791000000000054
2020-08-01,654.401,622.593,31.807999999999993
2020-09-01,638.476,632.573,5.90300000000002
2020-10-01,674.86,681.769,-6.908999999999992
2020-11-01,652.788,662.689,-9.900999999999954
2020-12-01,694.489,684.518,9.971000000000004
2021-01-01,711.683,650.932,60.750999999999976
2021-02-01,651.148,625.797,25.351
2021-03-01,674.092,682.599,-8.507000000000062
2021-04-01,569.697,626.211,-56.51400000000001
2021-05-01,617.572,624.162,-6.590000000000032
2021-06-01,594.216,581.23,12.98599999999999
2021-07-01,609.136,609.979,-0.8430000000000746
2021-08-01,622.593,613.885,8.70799999999997
2021-09-01,632.573,623.487,9.086000000000013
2021-10-01,681.769,665.869,15.899999999999977
2021-11-01,662.689,651.6,11.088999999999942
2021-12-01,684.518,651.446,33.072
2022-01-01,650.932,684.213,-33.28099999999995
2022-02-01,625.797,590.583,35.214000000000055
2022-03-01,682.599,658.653,23.946000000000026
2022-04-01,626.211,617.126,9.085000000000036
2022-05-01,624.162,630.114,-5.951999999999998
2022-06-01,581.23,602.716,-21.48599999999999
2022-07-01,609.979,621.149,-11.169999999999959
2022-08-01,613.885,641.631,-27.74599999999998
2022-09-01,623.487,638.686,-15.19900000000007
2022-10-01,665.869,681.962,-16.09299999999996
2022-11-01,651.6,661.153,-9.552999999999997
2022-12-01,651.446,672.325,-20.87900000000002
2023-01-01,684.213,702.339,-18.12600000000009
2023-02-01,590.583,634.913,-44.33000000000004
2023-03-01,658.653,659.158,-0.5049999999999955
2023-04-01,617.126,614.385,2.7409999999999854
2023-05-01,630.114,643.984,-13.870000000000005
2023-06-01,602.716,597.214,5.501999999999953
2023-07-01,621.149,611.774,9.375
2023-08-01,641.631,644.076,-2.44500000000005
2023-09-01,638.686,644.333,-5.6469999999999345
2023-10-01,681.962,685.855,-3.893000000000029
2023-11-01,661.153,678.651,-17.497999999999934
2023-12-01,672.325,710.926,-38.601
2024-01-01,702.339,716.667,-14.327999999999975
2024-02-01,634.913,681.095,-46.182000000000016
2024-03-01,659.158,701.394,-42.23599999999999
2024-04-01,614.385,642.926,-28.541000000000054
2024-05-01,643.984,663.393,-19.408999999999992
2024-06-01,597.214,587.121,10.093000000000075
