time,predictions,actual,difference
2018-03-01,654.6615623159174,636.711,17.95056231591741
2018-04-01,606.7553064870243,624.963,-18.207693512975652
2018-05-01,628.0243885917012,644.28,-16.25561140829882
2018-06-01,584.6380873825753,597.254,-12.61591261742467
2018-07-01,599.220004045007,604.333,-5.112995954992925
2018-08-01,615.0721733360755,629.566,-14.493826663924551
2018-09-01,609.8939656278134,620.333,-10.439034372186597
2018-10-01,643.6283432414908,671.633,-28.004656758509213
2018-11-01,637.1315933731332,645.05,-7.918406626866727
2018-12-01,661.2942686675427,664.571,-3.2767313324573024
2019-01-01,671.4085484378487,704.676,-33.26745156215134
2019-02-01,631.2917589155026,662.642,-31.350241084497497
2019-03-01,659.788326206664,688.714,-28.925673793336045
2019-04-01,615.3050699616715,650.828,-35.52293003832847
2019-05-01,627.6123597939077,650.441,-22.82864020609236
2019-06-01,591.9801703674475,614.915,-22.934829632552464
2019-07-01,595.8321582198519,627.927,-32.09484178014816
2019-08-01,633.3030352698092,654.401,-21.09796473019071
2019-09-01,622.2343211045471,638.476,-16.24167889545288
2019-10-01,660.5246559354337,674.86,-14.335344064566357
2019-11-01,658.4976087597386,652.788,5.709608759738558
2019-12-01,675.4273595550716,694.489,-19.061640444928457
2020-01-01,686.7540035766814,711.683,-24.92899642331861
2020-02-01,647.0994971829858,651.148,-4.048502817014196
2020-03-01,666.3899156904715,674.092,-7.702084309528459
2020-04-01,637.613085690955,569.697,67.91608569095501
2020-05-01,655.8845432595202,617.572,38.312543259520226
2020-06-01,625.0222033743922,594.216,30.806203374392226
2020-07-01,607.427194983451,609.136,-1.7088050165489221
2020-08-01,627.1276704482952,622.593,4.534670448295287
2020-09-01,600.9571152349847,632.573,-31.615884765015267
2020-10-01,653.7763393885699,681.769,-27.992660611430097
2020-11-01,634.3419202335645,662.689,-28.347079766435513
2020-12-01,660.3912502778263,684.518,-24.126749722173713
2021-01-01,667.4868643602365,650.932,16.55486436023648
2021-02-01,636.6703112591499,625.797,10.873311259149887
2021-03-01,671.1715622492553,682.599,-11.42743775074473
2021-04-01,609.8071225452355,626.211,-16.403877454764483
2021-05-01,622.5171746919499,624.162,-1.6448253080501445
2021-06-01,593.2736542580316,581.23,12.043654258031552
2021-07-01,605.0942519247702,609.979,-4.8847480752298225
2021-08-01,627.2766210275561,613.885,13.391621027556084
2021-09-01,606.4134954439972,623.487,-17.073504556002717
2021-10-01,659.3812773036101,665.869,-6.4877226963899375
2021-11-01,629.1634840480167,651.6,-22.436515951983324
2021-12-01,658.2637726165935,651.446,6.8177726165935155
2022-01-01,655.3835534091205,684.213,-28.829446590879456
2022-02-01,628.832969914978,590.583,38.24996991497801
2022-03-01,664.7079196519915,658.653,6.05491965199144
2022-04-01,602.5011052857644,617.126,-14.624894714235552
2022-05-01,624.7618247644181,630.114,-5.352175235581967
2022-06-01,595.2118086487816,602.716,-7.504191351218424
2022-07-01,619.7825245165614,621.149,-1.3664754834386486
2022-08-01,636.2779261086828,641.631,-5.3530738913171945
2022-09-01,619.5143896150003,638.686,-19.17161038499978
2022-10-01,664.6266368324873,681.962,-17.335363167512696
2022-11-01,654.4365552251525,661.153,-6.7164447748475595
2022-12-01,669.361455384032,672.325,-2.9635446159680896
2023-01-01,678.5590656881343,702.339,-23.77993431186576
2023-02-01,633.382991243307,634.913,-1.5300087566930642
2023-03-01,673.1423319612768,659.158,13.98433196127678
2023-04-01,623.9708422760399,614.385,9.585842276039898
2023-05-01,648.8971648825768,643.984,4.91316488257678
2023-06-01,622.4256491449934,597.214,25.211649144993316
2023-07-01,620.8561571266504,611.774,9.082157126650372
2023-08-01,635.9004856901263,644.076,-8.175514309873734
2023-09-01,624.1542881579077,644.333,-20.178711842092298
2023-10-01,673.5628054213345,685.855,-12.292194578665544
2023-11-01,657.5161242057958,678.651,-21.134875794204163
2023-12-01,663.1389400939786,710.926,-47.787059906021454
2024-01-01,684.7242189756612,716.667,-31.942781024338842
2024-02-01,647.1757241656726,681.095,-33.919275834327436
2024-03-01,689.1666166707794,701.394,-12.227383329220629
2024-04-01,638.7554419139219,642.926,-4.170558086078131
2024-05-01,655.4293675682827,663.393,-7.963632431717315
2024-06-01,630.1237840082327,587.121,43.002784008232766
