,predictions,actual,difference
2018-03-01,686.2156371404405,636.711,49.504637140440536
2018-04-01,637.530827355286,624.963,12.567827355286
2018-05-01,630.9122819718391,644.28,-13.36771802816088
2018-06-01,571.5020725898434,597.254,-25.751927410156668
2018-07-01,610.6702348553491,604.333,6.337234855349152
2018-08-01,629.0946971489964,629.566,-0.47130285100365654
2018-09-01,618.2175007986152,620.333,-2.1154992013847504
2018-10-01,648.3430745826017,671.633,-23.289925417398308
2018-11-01,651.9097563948754,645.05,6.85975639487549
2018-12-01,679.8105604279866,664.571,15.23956042798659
2019-01-01,684.6623105399599,704.676,-20.013689460040155
2019-02-01,611.3931856884501,662.642,-51.24881431154995
2019-03-01,650.0558303222888,688.714,-38.65816967771127
2019-04-01,640.579086326554,650.828,-10.24891367344594
2019-05-01,687.3321025896811,650.441,36.891102589681054
2019-06-01,623.5915550416668,614.915,8.676555041666802
2019-07-01,639.7166237377896,627.927,11.789623737789611
2019-08-01,640.4783815802357,654.401,-13.922618419764262
2019-09-01,636.4062083430432,638.476,-2.069791656956795
2019-10-01,668.504973479057,674.86,-6.355026520943056
2019-11-01,661.4724919927943,652.788,8.684491992794278
2019-12-01,690.4744172145454,694.489,-4.01458278545465
2020-01-01,708.7214394611839,711.683,-2.9615605388161157
2020-02-01,642.869039848441,651.148,-8.278960151558977
2020-03-01,692.2325366912561,674.092,18.140536691256102
2020-04-01,654.9013160430164,569.697,85.20431604301643
2020-05-01,672.9640941581129,617.572,55.392094158112855
2020-06-01,614.9124536622581,594.216,20.696453662258136
2020-07-01,567.6944917523236,609.136,-41.441508247676325
2020-08-01,602.6870063088045,622.593,-19.905993691195476
2020-09-01,610.8699562280381,632.573,-21.703043771961916
2020-10-01,651.9682122851012,681.769,-29.800787714898775
2020-11-01,644.1279333892741,662.689,-18.561066610725902
2020-12-01,690.9199119610441,684.518,6.401911961044107
2021-01-01,714.6650415233987,650.932,63.7330415233987
2021-02-01,634.73007565694,625.797,8.933075656939991
2021-03-01,659.7023187265467,682.599,-22.896681273453396
2021-04-01,570.0972069516936,626.211,-56.113793048306434
2021-05-01,624.8275973657929,624.162,0.6655973657929053
2021-06-01,611.5321238403395,581.23,30.302123840339505
2021-07-01,624.9249458016064,609.979,14.945945801606399
2021-08-01,629.1468783201135,613.885,15.26187832011351
2021-09-01,614.1166611151843,623.487,-9.370338884815624
2021-10-01,669.8765355682425,665.869,4.007535568242474
2021-11-01,638.3820272480227,651.6,-13.2179727519773
2021-12-01,669.5111947689237,651.446,18.065194768923675
2022-01-01,679.3014828374787,684.213,-4.91151716252125
2022-02-01,643.795001785742,590.583,53.21200178574202
2022-03-01,666.142213232019,658.653,7.489213232018983
2022-04-01,615.5775530761289,617.126,-1.5484469238710972
2022-05-01,596.4451879708107,630.114,-33.668812029189326
2022-06-01,569.2811859324663,602.716,-33.434814067533694
2022-07-01,599.2108344955059,621.149,-21.938165504494123
2022-08-01,623.2420101185334,641.631,-18.388989881466614
2022-09-01,629.5272075913333,638.686,-9.158792408666727
2022-10-01,674.011457953162,681.962,-7.950542046837995
2022-11-01,658.917906018331,661.153,-2.2350939816690243
2022-12-01,683.8208019777885,672.325,11.49580197778846
2023-01-01,697.1857222252256,702.339,-5.153277774774438
2023-02-01,632.8996875920509,634.913,-2.0133124079491154
2023-03-01,670.4366388276634,659.158,11.278638827663372
2023-04-01,603.5187817077186,614.385,-10.86621829228136
2023-05-01,631.3519935623409,643.984,-12.632006437659129
2023-06-01,591.6207453333906,597.214,-5.593254666609482
2023-07-01,621.750712013758,611.774,9.976712013757947
2023-08-01,642.9930292263307,644.076,-1.0829707736693308
2023-09-01,641.1360254435566,644.333,-3.196974556443365
2023-10-01,681.4190108198594,685.855,-4.435989180140609
2023-11-01,670.0309410506874,678.651,-8.620058949312579
2023-12-01,684.4374218334376,710.926,-26.488578166562434
2024-01-01,684.7165384824481,716.667,-31.950461517551958
2024-02-01,636.2579636404399,681.095,-44.8370363595601
2024-03-01,696.3549453230332,701.394,-5.039054676966771
2024-04-01,654.8140818360023,642.926,11.888081836002243
2024-05-01,681.4979178390336,663.393,18.104917839033533
2024-06-01,629.7157922762025,587.121,42.5947922762025
