,predictions,Selected business demand (GWh),difference
2018-03-01,624.7788092623981,640.483,-15.704190737601834
2018-04-01,592.214284226273,556.939,35.275284226273016
2018-05-01,640.4227395688739,625.272,15.15073956887386
2018-06-01,608.4393512128959,608.06,0.37935121289592644
2018-07-01,623.4639433405483,637.602,-14.13805665945165
2018-08-01,624.916166505767,645.834,-20.917833494232923
2018-09-01,570.9374649643524,598.433,-27.49553503564755
2018-10-01,627.1374353398802,616.684,10.45343533988023
2018-11-01,591.2318718832945,616.983,-25.751128116705445
2018-12-01,626.1766035687663,602.131,24.045603568766296
2019-01-01,631.1027280898028,617.86,13.242728089802767
2019-02-01,601.3845210048947,589.5,11.884521004894737
2019-03-01,648.3846492335402,620.742,27.642649233540283
2019-04-01,584.4154179984979,590.951,-6.535582001502121
2019-05-01,621.3235609838833,627.938,-6.614439016116648
2019-06-01,618.6468662915406,611.657,6.989866291540579
2019-07-01,636.7192445201513,635.601,1.1182445201512792
2019-08-01,635.7421313972562,653.708,-17.96586860274374
2019-09-01,581.2200023607211,601.148,-19.927997639278942
2019-10-01,606.1190398375757,622.217,-16.09796016242433
2019-11-01,591.0657917971953,617.333,-26.26720820280468
2019-12-01,601.5928232300878,606.834,-5.241176769912158
2020-01-01,613.9488533589151,613.877,0.07185335891517752
2020-02-01,599.2260263538068,609.013,-9.786973646193246
2020-03-01,628.5710837007701,574.527,54.0440837007701
2020-04-01,585.9638339689478,385.863,200.10083396894782
2020-05-01,616.03325739542,565.772,50.26125739541999
2020-06-01,615.9992557821198,591.609,24.390255782119766
2020-07-01,607.143494999104,619.595,-12.451505000896077
2020-08-01,606.344790278992,587.132,19.212790278992088
2020-09-01,608.5863622778616,594.759,13.827362277861539
2020-10-01,652.7680413433878,617.176,35.59204134338779
2020-11-01,607.6636956033869,601.777,5.886695603386897
2020-12-01,614.5007878893053,598.512,15.9887878893054
2021-01-01,608.1209040256522,595.403,12.71790402565216
2021-02-01,615.0049290934015,558.262,56.742929093401585
2021-03-01,638.1398058739105,599.504,38.6358058739105
2021-04-01,571.2898800421742,586.229,-14.939119957825824
2021-05-01,613.7943034806708,619.057,-5.262696519329211
2021-06-01,581.3618891552012,608.353,-26.991110844798754
2021-07-01,603.1058909404921,636.264,-33.158109059507865
2021-08-01,621.8147768862577,578.139,43.67577688625772
2021-09-01,588.4323059459962,517.358,71.07430594599623
2021-10-01,615.0218886542542,560.132,54.889888654254264
2021-11-01,610.6988824602698,573.459,37.23988246026988
2021-12-01,609.3566534740287,600.481,8.875653474028695
2022-01-01,607.7442163678293,605.695,2.0492163678292172
2022-02-01,584.1189546480394,582.852,1.2669546480394729
2022-03-01,616.5035542578196,620.258,-3.754445742180451
2022-04-01,560.2859389148817,555.466,4.819938914881732
2022-05-01,602.5684805742403,578.928,23.640480574240314
2022-06-01,556.3137080465607,573.848,-17.534291953439265
2022-07-01,616.24625599781,599.222,17.024255997809973
2022-08-01,623.3255103442369,604.656,18.669510344236983
2022-09-01,526.6325847306958,569.075,-42.442415269304206
2022-10-01,599.1339588634922,566.314,32.819958863492275
2022-11-01,574.1820079949025,559.031,15.151007994902557
2022-12-01,602.6892507008473,563.684,39.00525070084734
2023-01-01,608.18976011317,556.42,51.76976011317004
2023-02-01,564.6180379513631,532.234,32.3840379513631
2023-03-01,603.0982964978564,592.61,10.488296497856368
2023-04-01,548.8265741518037,547.969,0.8575741518036466
2023-05-01,619.656788729778,593.579,26.077788729778035
2023-06-01,586.2223716793748,579.715,6.507371679374728
2023-07-01,595.0130425115934,590.036,4.977042511593481
2023-08-01,596.8611948823357,617.742,-20.880805117664295
2023-09-01,565.4643987685242,563.191,2.2733987685242028
2023-10-01,543.9040676799273,564.362,-20.4579323200727
2023-11-01,561.136081099478,558.15,2.9860810994780422
2023-12-01,576.0654307330402,561.88,14.18543073304022
2024-01-01,585.9116552059714,582.114,3.7976552059714095
2024-02-01,537.0136802559864,574.003,-36.98931974401364
2024-03-01,564.8425790321367,581.185,-16.34242096786329
2024-04-01,488.0451271134564,555.173,-67.12787288654363
2024-05-01,568.6674279532142,593.491,-24.823572046785785
2024-06-01,586.3598107311391,558.837,27.52281073113909
