time,predictions,actual,difference
2018-03-01,634.9042200057678,640.483,-5.57877999423215
2018-04-01,593.6651515566074,556.939,36.72615155660742
2018-05-01,647.2295572653932,625.272,21.95755726539312
2018-06-01,627.9634031685363,608.06,19.90340316853633
2018-07-01,645.0324429903214,637.602,7.430442990321467
2018-08-01,647.1852080031174,645.834,1.3512080031174492
2018-09-01,622.0492225261877,598.433,23.6162225261877
2018-10-01,635.9856432712332,616.684,19.301643271233274
2018-11-01,624.415670755803,616.983,7.432670755803088
2018-12-01,626.9414024072559,602.131,24.81040240725588
2019-01-01,657.5347040120959,617.86,39.674704012095845
2019-02-01,609.3373426597444,589.5,19.837342659744422
2019-03-01,669.7408639828859,620.742,48.99886398288595
2019-04-01,602.3337157353697,590.951,11.38271573536963
2019-05-01,660.7347171000074,627.938,32.79671710000741
2019-06-01,640.6527575883146,611.657,28.995757588314518
2019-07-01,665.8446007119087,635.601,30.243600711908698
2019-08-01,663.8061858397997,653.708,10.098185839799726
2019-09-01,628.6570580881653,601.148,27.50905808816526
2019-10-01,644.9490498480386,622.217,22.732049848038628
2019-11-01,639.8998967348507,617.333,22.56689673485073
2019-12-01,628.691638108664,606.834,21.857638108664105
2020-01-01,647.1322890852308,613.877,33.25528908523086
2020-02-01,606.3647026618061,609.013,-2.64829733819397
2020-03-01,651.2786638024564,574.527,76.75166380245639
2020-04-01,599.9301012291181,385.863,214.06710122911812
2020-05-01,642.7613340139956,565.772,76.98933401399552
2020-06-01,625.8529055621507,591.609,34.243905562150644
2020-07-01,648.8595453677327,619.595,29.264545367732694
2020-08-01,654.6489614043923,587.132,67.5169614043923
2020-09-01,605.9909743350171,594.759,11.231974335017071
2020-10-01,633.5841063371727,617.176,16.408106337172626
2020-11-01,614.9963442766694,601.777,13.219344276669403
2020-12-01,609.9126094592993,598.512,11.400609459299403
2021-01-01,619.8677718299249,595.403,24.46477182992487
2021-02-01,582.4367943231222,558.262,24.174794323122228
2021-03-01,610.5526212331996,599.504,11.048621233199583
2021-04-01,505.962203414377,586.229,-80.26679658562307
2021-05-01,569.0336626011602,619.057,-50.02333739883977
2021-06-01,556.4701876189288,608.353,-51.882812381071176
2021-07-01,589.5865498633691,636.264,-46.67745013663091
2021-08-01,587.2558959920948,578.139,9.116895992094783
2021-09-01,568.4215676996995,517.358,51.06356769969955
2021-10-01,580.5673360408002,560.132,20.43533604080028
2021-11-01,556.2759335486519,573.459,-17.183066451348054
2021-12-01,576.8346889068984,600.481,-23.646311093101644
2022-01-01,591.052609168342,605.695,-14.642390831658076
2022-02-01,539.7798423337073,582.852,-43.072157666292696
2022-03-01,555.8748973656959,620.258,-64.38310263430412
2022-04-01,483.0825527922501,555.466,-72.3834472077499
2022-05-01,564.240682870426,578.928,-14.687317129574012
2022-06-01,540.9833604463786,573.848,-32.86463955362137
2022-07-01,592.1813940277974,599.222,-7.04060597220257
2022-08-01,577.3023106050248,604.656,-27.353689394975163
2022-09-01,556.0747632229525,569.075,-13.000236777047576
2022-10-01,564.001369975178,566.314,-2.3126300248219422
2022-11-01,563.0677325747423,559.031,4.036732574742359
2022-12-01,564.7939762522724,563.684,1.1099762522724177
2023-01-01,561.2923486126965,556.42,4.872348612696555
2023-02-01,522.9809223586278,532.234,-9.253077641372215
2023-03-01,559.1820409561277,592.61,-33.427959043872306
2023-04-01,530.0924276424486,547.969,-17.87657235755148
2023-05-01,588.4688554015175,593.579,-5.110144598482407
2023-06-01,596.578055382148,579.715,16.86305538214799
2023-07-01,613.7147177729531,590.036,23.678717772953178
2023-08-01,592.9656867144273,617.742,-24.776313285572655
2023-09-01,541.7796653737233,563.191,-21.411334626276698
2023-10-01,546.2178331020147,564.362,-18.144166897985315
2023-11-01,539.3652144586266,558.15,-18.784785541373367
2023-12-01,575.0339833519846,561.88,13.153983351984607
2024-01-01,572.9453384918128,582.114,-9.168661508187256
2024-02-01,528.3069793533102,574.003,-45.69602064668982
2024-03-01,563.5486292166923,581.185,-17.636370783307598
2024-04-01,503.7119003415481,555.173,-51.46109965845193
2024-05-01,553.8723460040761,593.491,-39.618653995923864
2024-06-01,547.7870238395386,558.837,-11.04997616046137
