,predictions,Selected business demand (GWh),difference
2018-03-01,276.9050141242648,275.467,1.4380141242648392
2018-04-01,243.66555941379187,274.834,-31.168440586208135
2018-05-01,280.32912478624627,279.728,0.6011247862462596
2018-06-01,270.4279033397996,262.23,8.197903339799609
2018-07-01,278.37683191365574,263.326,15.050831913655713
2018-08-01,267.26471890184905,276.816,-9.551281098150923
2018-09-01,243.78791381977558,268.897,-25.10908618022441
2018-10-01,256.18084351358414,313.775,-57.59415648641584
2018-11-01,306.8308843726911,275.999,30.831884372691093
2018-12-01,316.5713549663132,260.86,55.711354966313195
2019-01-01,403.34566091009447,373.523,29.82266091009444
2019-02-01,334.01549029103256,354.454,-20.438509708967445
2019-03-01,331.8962134904661,331.281,0.6152134904660898
2019-04-01,239.05772187960457,275.828,-36.7702781203954
2019-05-01,251.54572516538266,274.401,-22.855274834617347
2019-06-01,284.2417299612243,268.313,15.928729961224292
2019-07-01,275.85440226662087,261.87,13.984402266620862
2019-08-01,270.19038879160314,281.204,-11.013611208396867
2019-09-01,275.78902554735555,267.976,7.813025547355551
2019-10-01,282.7225432785319,284.006,-1.2834567214680987
2019-11-01,277.66305430622265,334.139,-56.47594569377736
2019-12-01,332.5812947067693,372.398,-39.81670529323071
2020-01-01,403.87327756790734,406.643,-2.7697224320926352
2020-02-01,325.1777932471268,362.473,-37.29520675287324
2020-03-01,256.71468792628997,327.897,-71.18231207371002
2020-04-01,281.15463130882944,216.603,64.55163130882943
2020-05-01,267.07087129531146,269.852,-2.7811287046885127
2020-06-01,277.92967950080526,263.584,14.34567950080526
2020-07-01,266.2506451106694,277.278,-11.027354889330638
2020-08-01,268.60055250087345,273.918,-5.317447499126558
2020-09-01,267.7545079629262,280.308,-12.553492037073795
2020-10-01,270.40015800746943,354.251,-83.85084199253055
2020-11-01,291.63385516386853,328.2,-36.56614483613146
2020-12-01,366.7033982500616,350.485,16.21839825006157
2021-01-01,370.28868833775397,336.159,34.129688337753976
2021-02-01,302.9883977676319,342.843,-39.85460223236811
2021-03-01,308.5601215528783,362.118,-53.55787844712171
2021-04-01,279.3575849465068,309.759,-30.401415053493224
2021-05-01,264.8807910254421,286.811,-21.9302089745579
2021-06-01,276.1970791719324,266.873,9.324079171932397
2021-07-01,272.38567375300653,277.521,-5.135326246993486
2021-08-01,264.797953763357,256.607,8.190953763356958
2021-09-01,274.42848301764144,272.161,2.267483017641439
2021-10-01,296.83639705630435,296.595,0.24139705630432218
2021-11-01,320.341166092017,353.724,-33.38283390798301
2021-12-01,382.91555601811604,297.903,85.01255601811602
2022-01-01,358.94416834980893,352.085,6.859168349808954
2022-02-01,341.4266088307958,262.172,79.25460883079575
2022-03-01,310.43098583879106,319.959,-9.528014161208944
2022-04-01,275.6938023980297,287.818,-12.124197601970309
2022-05-01,269.3344269052809,291.855,-22.52057309471911
2022-06-01,279.85993961035643,268.53,11.329939610356462
2022-07-01,263.33974477519786,282.237,-18.897255224802166
2022-08-01,280.9347355197275,291.608,-10.673264480272508
2022-09-01,282.8694694919105,284.898,-2.0285305080895455
2022-10-01,277.1456704715976,336.136,-58.99032952840241
2022-11-01,279.87007819062364,340.242,-60.371921809376374
2022-12-01,337.2837208517795,321.836,15.44772085177948
2023-01-01,343.36602935898827,350.593,-7.2269706410117465
2023-02-01,384.7658293536556,315.875,68.89082935365559
2023-03-01,332.01573144598325,299.649,32.36673144598325
2023-04-01,287.55711012441185,269.727,17.830110124411874
2023-05-01,265.0396059638141,285.323,-20.283394036185882
2023-06-01,266.7768305599095,267.558,-0.7811694400904798
2023-07-01,281.5539907762298,276.428,5.1259907762297985
2023-08-01,277.8642579702575,298.424,-20.559742029742495
2023-09-01,279.03830660531514,307.047,-28.008693394684883
2023-10-01,295.09109002974014,298.165,-3.0739099702598764
2023-11-01,330.73025405021355,319.511,11.219254050213522
2023-12-01,330.60141994207925,339.976,-9.374580057920753
2024-01-01,362.82436116480926,368.274,-5.44963883519074
2024-02-01,369.19401728737637,350.008,19.186017287376387
2024-03-01,300.4680434750098,340.9,-40.4319565249902
2024-04-01,239.0262575763168,291.942,-52.91574242368321
2024-05-01,282.27046478735025,295.384,-13.113535212649765
2024-06-01,276.3688412804852,262.087,14.281841280485196
