,predictions,Selected business demand (GWh),difference
2018-03-01,310.045,275.467,34.57800000000003
2018-04-01,252.317,274.834,-22.516999999999996
2018-05-01,284.622,279.728,4.8940000000000055
2018-06-01,259.819,262.23,-2.4110000000000014
2018-07-01,272.391,263.326,9.064999999999998
2018-08-01,266.331,276.816,-10.484999999999957
2018-09-01,263.09,268.897,-5.807000000000016
2018-10-01,278.952,313.775,-34.82299999999998
2018-11-01,379.306,275.999,103.30699999999996
2018-12-01,394.467,260.86,133.60699999999997
2019-01-01,333.069,373.523,-40.45400000000001
2019-02-01,274.259,354.454,-80.195
2019-03-01,275.467,331.281,-55.81400000000002
2019-04-01,274.834,275.828,-0.9939999999999714
2019-05-01,279.728,274.401,5.326999999999998
2019-06-01,262.23,268.313,-6.08299999999997
2019-07-01,263.326,261.87,1.4560000000000173
2019-08-01,276.816,281.204,-4.388000000000034
2019-09-01,268.897,267.976,0.9209999999999923
2019-10-01,313.775,284.006,29.769000000000005
2019-11-01,275.999,334.139,-58.139999999999986
2019-12-01,260.86,372.398,-111.53800000000001
2020-01-01,373.523,406.643,-33.11999999999995
2020-02-01,354.454,362.473,-8.019000000000005
2020-03-01,331.281,327.897,3.3840000000000146
2020-04-01,275.828,216.603,59.224999999999966
2020-05-01,274.401,269.852,4.549000000000035
2020-06-01,268.313,263.584,4.728999999999985
2020-07-01,261.87,277.278,-15.408000000000015
2020-08-01,281.204,273.918,7.286000000000001
2020-09-01,267.976,280.308,-12.331999999999994
2020-10-01,284.006,354.251,-70.245
2020-11-01,334.139,328.2,5.939000000000021
2020-12-01,372.398,350.485,21.91300000000001
2021-01-01,406.643,336.159,70.48399999999998
2021-02-01,362.473,342.843,19.629999999999995
2021-03-01,327.897,362.118,-34.221000000000004
2021-04-01,216.603,309.759,-93.156
2021-05-01,269.852,286.811,-16.959000000000003
2021-06-01,263.584,266.873,-3.2889999999999873
2021-07-01,277.278,277.521,-0.242999999999995
2021-08-01,273.918,256.607,17.31099999999998
2021-09-01,280.308,272.161,8.146999999999991
2021-10-01,354.251,296.595,57.65599999999995
2021-11-01,328.2,353.724,-25.524
2021-12-01,350.485,297.903,52.581999999999994
2022-01-01,336.159,352.085,-15.925999999999988
2022-02-01,342.843,262.172,80.67099999999999
2022-03-01,362.118,319.959,42.15899999999999
2022-04-01,309.759,287.818,21.94100000000003
2022-05-01,286.811,291.855,-5.04400000000004
2022-06-01,266.873,268.53,-1.6569999999999823
2022-07-01,277.521,282.237,-4.716000000000008
2022-08-01,256.607,291.608,-35.000999999999976
2022-09-01,272.161,284.898,-12.737000000000023
2022-10-01,296.595,336.136,-39.541
2022-11-01,353.724,340.242,13.481999999999971
2022-12-01,297.903,321.836,-23.932999999999993
2023-01-01,352.085,350.593,1.4919999999999618
2023-02-01,262.172,315.875,-53.702999999999975
2023-03-01,319.959,299.649,20.310000000000002
2023-04-01,287.818,269.727,18.091000000000008
2023-05-01,291.855,285.323,6.532000000000039
2023-06-01,268.53,267.558,0.97199999999998
2023-07-01,282.237,276.428,5.809000000000026
2023-08-01,291.608,298.424,-6.815999999999974
2023-09-01,284.898,307.047,-22.149
2023-10-01,336.136,298.165,37.971000000000004
2023-11-01,340.242,319.511,20.730999999999995
2023-12-01,321.836,339.976,-18.139999999999986
2024-01-01,350.593,368.274,-17.680999999999983
2024-02-01,315.875,350.008,-34.13299999999998
2024-03-01,299.649,340.9,-41.250999999999976
2024-04-01,269.727,291.942,-22.215000000000032
2024-05-01,285.323,295.384,-10.061000000000035
2024-06-01,267.558,262.087,5.471000000000004
