,predictions,actual,difference
2018-03-01,334.17895518657974,275.467,58.71195518657976
2018-04-01,281.66443307644164,274.834,6.830433076441636
2018-05-01,273.91643026536576,279.728,-5.811569734634247
2018-06-01,258.01538888636736,262.23,-4.214611113632657
2018-07-01,262.2277309196702,263.326,-1.0982690803298283
2018-08-01,262.9023890717096,276.816,-13.913610928290382
2018-09-01,255.22931346290997,268.897,-13.66768653709002
2018-10-01,291.6543827422806,313.775,-22.120617257719402
2018-11-01,332.0235205711977,275.999,56.024520571197684
2018-12-01,349.8046583472127,260.86,88.94465834721268
2019-01-01,353.39221986829534,373.523,-20.130780131704682
2019-02-01,328.06401286178595,354.454,-26.389987138214053
2019-03-01,300.8474305587368,331.281,-30.433569441263217
2019-04-01,283.3102139875431,275.828,7.482213987543105
2019-05-01,281.04805714137683,274.401,6.64705714137682
2019-06-01,277.0966565202383,268.313,8.78365652023831
2019-07-01,266.5938898615504,261.87,4.72388986155039
2019-08-01,262.6742243282042,281.204,-18.52977567179579
2019-09-01,255.29875417473914,267.976,-12.677245825260854
2019-10-01,288.39484553461887,284.006,4.388845534618895
2019-11-01,343.9610728522481,334.139,9.822072852248084
2019-12-01,371.7752960213077,372.398,-0.6227039786923001
2020-01-01,349.6196460360776,406.643,-57.023353963922375
2020-02-01,333.03810556453,362.473,-29.434894435470028
2020-03-01,319.4210338977093,327.897,-8.47596610229067
2020-04-01,293.48625634300964,216.603,76.88325634300963
2020-05-01,295.5164807726972,269.852,25.66448077269723
2020-06-01,284.229464983154,263.584,20.645464983154
2020-07-01,265.01648368449963,277.278,-12.261516315500387
2020-08-01,267.3241326921002,273.918,-6.593867307899814
2020-09-01,262.37619146833924,280.308,-17.93180853166075
2020-10-01,302.4118307959109,354.251,-51.8391692040891
2020-11-01,357.1772987674651,328.2,28.97729876746513
2020-12-01,380.85768132374074,350.485,30.37268132374072
2021-01-01,355.8184658298073,336.159,19.65946582980729
2021-02-01,334.7125977826189,342.843,-8.130402217381118
2021-03-01,319.84456878463504,362.118,-42.27343121536495
2021-04-01,290.9576453607201,309.759,-18.801354639279907
2021-05-01,286.4089842736838,286.811,-0.402015726316165
2021-06-01,276.5886499844587,266.873,9.715649984458707
2021-07-01,281.66221552691115,277.521,4.1412155269111395
2021-08-01,282.57909195667787,256.607,25.972091956677843
2021-09-01,273.09134744550886,272.161,0.9303474455088576
2021-10-01,299.7045027681391,296.595,3.109502768139066
2021-11-01,343.0176493666023,353.724,-10.706350633397676
2021-12-01,361.8234463662178,297.903,63.92044636621779
2022-01-01,360.7529301518848,352.085,8.667930151884832
2022-02-01,343.3297921623081,262.172,81.15779216230806
2022-03-01,308.3816556054262,319.959,-11.5773443945738
2022-04-01,273.29726220505034,287.818,-14.520737794949639
2022-05-01,271.11522013361645,291.855,-20.73977986638357
2022-06-01,263.0900812042969,268.53,-5.439918795703079
2022-07-01,267.55644108471864,282.237,-14.680558915281381
2022-08-01,278.03744711069714,291.608,-13.57055288930286
2022-09-01,265.6482622636317,284.898,-19.24973773636833
2022-10-01,300.69328460217565,336.136,-35.44271539782437
2022-11-01,333.21552354269056,340.242,-7.026476457309457
2022-12-01,364.8871524423206,321.836,43.051152442320586
2023-01-01,371.80157589535156,350.593,21.208575895351544
2023-02-01,358.1993085416763,315.875,42.32430854167632
2023-03-01,325.6845758537866,299.649,26.03557585378661
2023-04-01,271.3033387120067,269.727,1.5763387120067023
2023-05-01,277.41166995612843,285.323,-7.911330043871544
2023-06-01,263.20382973614227,267.558,-4.354170263857725
2023-07-01,268.81501286456637,276.428,-7.612987135433627
2023-08-01,272.74828300051996,298.424,-25.675716999480017
2023-09-01,268.2552526757091,307.047,-38.79174732429095
2023-10-01,303.7459706735749,298.165,5.580970673574882
2023-11-01,335.35798268249937,319.511,15.846982682499345
2023-12-01,354.5814115992128,339.976,14.6054115992128
2024-01-01,366.0217399560859,368.274,-2.2522600439140774
2024-02-01,341.38224954198625,350.008,-8.625750458013727
2024-03-01,330.79644413864116,340.9,-10.103555861358814
2024-04-01,277.09930693513144,291.942,-14.84269306486857
2024-05-01,289.4667161832868,295.384,-5.917283816713223
2024-06-01,271.64660769335404,262.087,9.559607693354053
