,predictions,Est. Total consumption (GWh),difference
2018-03-01,174.76145541704165,180.913,-6.1515445829583655
2018-04-01,199.40897542104022,197.099,2.3099754210402352
2018-05-01,231.04387661016918,236.309,-5.265123389830819
2018-06-01,270.9159327891359,280.457,-9.541067210864071
2018-07-01,295.5749361461652,296.869,-1.294063853834814
2018-08-01,187.6990074342442,275.787,-88.08799256575577
2018-09-01,240.8403629485106,236.482,4.358362948510603
2018-10-01,206.17240568829524,208.318,-2.1455943117047696
2018-11-01,195.00756830172074,188.157,6.8505683017207275
2018-12-01,177.85768460296768,185.363,-7.505315397032319
2019-01-01,175.6756557014962,184.993,-9.317344298503798
2019-02-01,170.95932106537222,164.176,6.783321065372235
2019-03-01,176.88008982365017,181.698,-4.817910176349841
2019-04-01,193.74520912506827,197.236,-3.4907908749317187
2019-05-01,264.0799502949609,235.18,28.899950294960888
2019-06-01,280.8017782049849,272.687,8.114778204984873
2019-07-01,287.80072975757565,288.255,-0.454270242424343
2019-08-01,264.03097055127535,282.093,-18.062029448724672
2019-09-01,235.5750905580498,250.85,-15.2749094419502
2019-10-01,214.44468354972244,221.088,-6.643316450277553
2019-11-01,192.11339969518238,185.223,6.890399695182367
2019-12-01,188.36339846526656,185.629,2.7343984652665654
2020-01-01,181.90278720369656,185.37,-3.4672127963034427
2020-02-01,172.33854923770065,171.685,0.6535492377006449
2020-03-01,173.6557560192399,191.505,-17.849243980760093
2020-04-01,197.0239147374412,213.508,-16.484085262558807
2020-05-01,241.40292520054476,254.704,-13.30107479945525
2020-06-01,271.51814622746207,271.712,-0.19385377253792058
2020-07-01,292.6913888249323,309.107,-16.41561117506774
2020-08-01,261.3231556774921,288.363,-27.039844322507918
2020-09-01,232.66481496286,247.337,-14.672185037139997
2020-10-01,201.39539721782623,216.431,-15.035602782173783
2020-11-01,190.73896999059102,189.11,1.6289699905910027
2020-12-01,187.62747045679117,190.322,-2.69452954320883
2021-01-01,178.92895511185688,191.55,-12.621044888143132
2021-02-01,173.103293370756,168.98,4.123293370756016
2021-03-01,187.9903683772183,189.059,-1.0686316227817088
2021-04-01,204.3779857447595,203.387,0.990985744759513
2021-05-01,247.74611789477626,257.024,-9.277882105223739
2021-06-01,255.17842688600945,277.352,-22.17357311399053
2021-07-01,290.5258448378329,321.911,-31.38515516216711
2021-08-01,280.6869687058868,306.973,-26.28603129411323
2021-09-01,233.8916899159927,267.932,-34.0403100840073
2021-10-01,215.35047725838174,228.073,-12.722522741618263
2021-11-01,191.89830214078262,193.41,-1.511697859217378
2021-12-01,189.37094889847552,197.684,-8.31305110152448
2022-01-01,197.979554773786,196.794,1.1855547737859808
2022-02-01,163.85929598775832,178.549,-14.689704012241691
2022-03-01,198.89078306760294,195.908,2.982783067602952
2022-04-01,198.88631069243536,203.65,-4.763689307564647
2022-05-01,250.1963606447712,249.098,1.0983606447711907
2022-06-01,276.6559492545782,285.227,-8.571050745421758
2022-07-01,308.420304364745,307.94,0.4803043647449954
2022-08-01,307.683456294306,290.834,16.84945629430598
2022-09-01,250.36201072297683,259.108,-8.74598927702317
2022-10-01,233.70597213988387,232.077,1.6289721398838708
2022-11-01,181.6755470229401,193.883,-12.207452977059916
2022-12-01,193.6362930352596,199.738,-6.101706964740401
2023-01-01,204.46053071664878,201.289,3.171530716648789
2023-02-01,180.0131268900824,176.214,3.799126890082391
2023-03-01,195.09524795570547,196.935,-1.8397520442945279
2023-04-01,199.890988036398,209.068,-9.177011963602013
2023-05-01,241.24050405874374,255.924,-14.683495941256268
2023-06-01,284.5579952621692,294.665,-10.107004737830835
2023-07-01,304.8416496754274,316.841,-11.999350324572617
2023-08-01,295.76413840255515,320.534,-24.769861597444844
2023-09-01,261.411037914222,245.283,16.128037914222006
2023-10-01,225.3810574895112,225.282,0.09905748951118198
2023-11-01,194.80725140006393,199.677,-4.8697485999360595
2023-12-01,191.462672405604,203.497,-12.034327594396018
2024-01-01,192.77027377115354,205.798,-13.027726228846461
2024-02-01,165.89920939448615,185.524,-19.62479060551385
2024-03-01,198.34413475913206,204.168,-5.823865240867946
2024-04-01,205.36596019212362,214.703,-9.33703980787638
2024-05-01,247.9577302911396,279.464,-31.5062697088604
2024-06-01,280.9721787454345,283.221,-2.2488212545654847
