,predictions,actual,difference
2018-03-01,181.4226629561208,180.913,0.5096629561207919
2018-04-01,192.9731730418807,197.099,-4.125826958119291
2018-05-01,229.28369925586355,236.309,-7.025300744136445
2018-06-01,258.44363231192233,280.457,-22.013367688077665
2018-07-01,287.0045743075775,296.869,-9.864425692422515
2018-08-01,275.55444885972685,275.787,-0.23255114027313084
2018-09-01,240.93241242476086,236.482,4.450412424760856
2018-10-01,222.17527521070969,208.318,13.857275210709673
2018-11-01,195.18259965232176,188.157,7.025599652321745
2018-12-01,190.74968626544552,185.363,5.386686265445519
2019-01-01,184.30174300908465,184.993,-0.691256990915349
2019-02-01,167.43187234804512,164.176,3.2558723480451306
2019-03-01,182.77333105288915,181.698,1.0753310528891404
2019-04-01,196.65261688044285,197.236,-0.5833831195571406
2019-05-01,240.2527382600732,235.18,5.07273826007318
2019-06-01,274.2827696074194,272.687,1.5957696074194132
2019-07-01,295.46731911252624,288.255,7.212319112526245
2019-08-01,272.8224628756042,282.093,-9.270537124395844
2019-09-01,237.42868207101537,250.85,-13.421317928984621
2019-10-01,211.83601847142907,221.088,-9.251981528570923
2019-11-01,190.49511595128465,185.223,5.272115951284633
2019-12-01,187.1857972181362,185.629,1.5567972181362109
2020-01-01,187.709503077962,185.37,2.339503077962007
2020-02-01,167.98691428116595,171.685,-3.698085718834051
2020-03-01,184.3571241702816,191.505,-7.1478758297184015
2020-04-01,199.97226677392524,213.508,-13.535733226074768
2020-05-01,239.04391649734026,254.704,-15.660083502659745
2020-06-01,280.41020585739733,271.712,8.69820585739734
2020-07-01,297.88366984465284,309.107,-11.223330155347185
2020-08-01,286.2844285082475,288.363,-2.0785714917524842
2020-09-01,248.80179979020215,247.337,1.4647997902021643
2020-10-01,222.12902337506014,216.431,5.6980233750601315
2020-11-01,193.43212577008828,189.11,4.322125770088263
2020-12-01,191.83377132128936,190.322,1.511771321289359
2021-01-01,190.96166138728628,191.55,-0.5883386127137271
2021-02-01,173.49562123803315,168.98,4.515621238033162
2021-03-01,192.18393927483217,189.059,3.1249392748321725
2021-04-01,211.1254390697967,203.387,7.738439069796698
2021-05-01,250.06594686039233,257.024,-6.958053139607671
2021-06-01,277.0696729156881,277.352,-0.2823270843118735
2021-07-01,302.6854233514776,321.911,-19.225576648522406
2021-08-01,290.4758478839799,306.973,-16.497152116020118
2021-09-01,253.892089409409,267.932,-14.039910590591006
2021-10-01,224.96687805714637,228.073,-3.1061219428536333
2021-11-01,195.32960147139983,193.41,1.9196014713998295
2021-12-01,197.75511145459973,197.684,0.07111145459973045
2022-01-01,197.87905907939995,196.794,1.0850590793999402
2022-02-01,178.86236654344887,178.549,0.31336654344886483
2022-03-01,199.060872677814,195.908,3.1528726778140026
2022-04-01,216.65093723285634,203.65,13.00093723285633
2022-05-01,264.68435747965884,249.098,15.58635747965883
2022-06-01,283.1079778028025,285.227,-2.1190221971974665
2022-07-01,323.2361224538766,307.94,15.296122453876592
2022-08-01,304.6180689705818,290.834,13.784068970581814
2022-09-01,265.600882317416,259.108,6.49288231741599
2022-10-01,227.49401223434407,232.077,-4.582987765655929
2022-11-01,195.09415317680313,193.883,1.2111531768031227
2022-12-01,197.79265326516395,199.738,-1.9453467348360505
2023-01-01,198.8079178290947,201.289,-2.481082170905296
2023-02-01,178.0795386087736,176.214,1.8655386087735906
2023-03-01,197.02660131546946,196.935,0.09160131546946104
2023-04-01,208.03805496318537,209.068,-1.0299450368146381
2023-05-01,256.93609275393226,255.924,1.0120927539322508
2023-06-01,285.8578638860929,294.665,-8.80713611390712
2023-07-01,318.82629674812296,316.841,1.9852967481229484
2023-08-01,302.5089569466433,320.534,-18.025043053356683
2023-09-01,268.2946238128424,245.283,23.01162381284243
2023-10-01,234.91875066008993,225.282,9.636750660089916
2023-11-01,200.3512278617755,199.677,0.6742278617755062
2023-12-01,202.61472102832832,203.497,-0.8822789716716954
2024-01-01,202.84445371372246,205.798,-2.9535462862775432
2024-02-01,181.1273494285211,185.524,-4.396650571478915
2024-03-01,200.36286121719573,204.168,-3.8051387828042778
2024-04-01,210.78844293232967,214.703,-3.91455706767033
2024-05-01,257.3299281584626,279.464,-22.134071841537377
2024-06-01,295.1196545810919,283.221,11.898654581091876
