,predictions,Est. Total consumption (GWh),difference
2018-03-01,151.10346311610473,153.407,-2.3035368838952763
2018-04-01,180.0173602871339,177.186,2.83136028713389
2018-05-01,214.1061743455479,215.179,-1.0728256544520889
2018-06-01,255.45164200170294,253.483,1.968642001702932
2018-07-01,258.92549967572506,260.851,-1.9255003242749353
2018-08-01,236.4998735717723,238.833,-2.3331264282277004
2018-09-01,212.444018108129,217.563,-5.1189818918709875
2018-10-01,184.11897244934036,187.403,-3.28402755065963
2018-11-01,156.8524117094542,165.222,-8.369588290545806
2018-12-01,154.765257961515,149.906,4.859257961514999
2019-01-01,140.7517241077546,144.608,-3.8562758922454066
2019-02-01,143.70999742110772,132.825,10.884997421107727
2019-03-01,143.75683936245238,151.682,-7.925160637547606
2019-04-01,176.78441438915954,181.761,-4.976585610840459
2019-05-01,203.23418863454359,204.736,-1.5018113654564047
2019-06-01,248.3036398318152,243.446,4.857639831815192
2019-07-01,261.6264578610028,252.072,9.554457861002788
2019-08-01,243.20204495219502,254.443,-11.240955047804988
2019-09-01,212.90174345945783,221.457,-8.55525654054216
2019-10-01,187.97199173980354,203.557,-15.585008260196446
2019-11-01,168.2725825169366,162.007,6.265582516936604
2019-12-01,155.3557292179452,157.211,-1.8552707820548164
2020-01-01,148.02887355607373,148.026,0.0028735560737231935
2020-02-01,139.69036521098045,137.914,1.7763652109804582
2020-03-01,146.69855550956865,165.506,-18.80744449043135
2020-04-01,169.69139495805342,190.335,-20.643605041946586
2020-05-01,200.98822285122847,227.937,-26.94877714877154
2020-06-01,241.03554631236284,249.634,-8.598453687637146
2020-07-01,262.58518224116995,272.832,-10.246817758830048
2020-08-01,239.76855653400764,251.373,-11.604443465992347
2020-09-01,205.88259462170566,226.133,-20.250405378294346
2020-10-01,183.8021093625508,193.045,-9.242890637449193
2020-11-01,161.5989312748527,173.577,-11.978068725147295
2020-12-01,155.38881771102731,162.584,-7.195182288972688
2021-01-01,138.66153326228132,150.146,-11.484466737718662
2021-02-01,132.33444164192292,137.635,-5.300558358077069
2021-03-01,155.86354825979424,159.334,-3.4704517402057604
2021-04-01,180.76491223598822,174.107,6.657912235988221
2021-05-01,215.8040315474057,226.295,-10.490968452594274
2021-06-01,252.36402239633125,242.928,9.436022396331254
2021-07-01,258.5246344539453,276.972,-18.447365546054698
2021-08-01,250.24908442758246,279.157,-28.907915572417522
2021-09-01,218.3906813570568,240.779,-22.388318642943204
2021-10-01,192.08843218234935,197.509,-5.420567817650635
2021-11-01,176.38301959099704,165.964,10.419019590997038
2021-12-01,161.16275919403702,161.142,0.02075919403702642
2022-01-01,157.26944810607907,151.699,5.570448106079056
2022-02-01,135.47641991249853,146.55,-11.073580087501483
2022-03-01,146.5910982003228,166.428,-19.836901799677207
2022-04-01,169.23660231648103,172.1,-2.8633976835189685
2022-05-01,194.2321266590963,217.5,-23.26787334090369
2022-06-01,236.18055576369002,252.608,-16.42744423630998
2022-07-01,259.37030603752993,276.247,-16.876693962470085
2022-08-01,255.1258558788591,260.404,-5.278144121140883
2022-09-01,245.46789192728443,229.755,15.712891927284431
2022-10-01,208.85396074125745,210.29,-1.4360392587425395
2022-11-01,174.96240247675684,159.902,15.060402476756849
2022-12-01,154.6447232941149,157.335,-2.690276705885111
2023-01-01,148.98681329578943,155.859,-6.872186704210577
2023-02-01,144.41882922132532,145.05,-0.6311707786746865
2023-03-01,160.01753015756935,169.758,-9.740469842430656
2023-04-01,159.6631014033868,179.397,-19.733898596613187
2023-05-01,225.36154822019154,215.942,9.41954822019153
2023-06-01,258.84653094842065,246.848,11.998530948420637
2023-07-01,273.0543668531017,275.701,-2.6466331468982958
2023-08-01,260.5878650078545,287.871,-27.283134992145506
2023-09-01,228.11385745387935,217.849,10.264857453879358
2023-10-01,194.6911685618641,203.083,-8.39183143813591
2023-11-01,165.05566212596668,172.389,-7.333337874033333
2023-12-01,144.3904236038635,163.914,-19.52357639613649
2024-01-01,150.4011704631442,155.437,-5.0358295368558
2024-02-01,145.56913264255925,148.392,-2.8228673574407424
2024-03-01,170.2022236067234,169.994,0.20822360672340778
2024-04-01,181.07709111459565,184.402,-3.3249088854043407
2024-05-01,221.16003188025158,246.995,-25.834968119748424
2024-06-01,246.52071298415277,249.659,-3.138287015847226
