,predictions,actual,difference
2018-03-01,157.91,153.407,4.502999999999986
2018-04-01,175.994,177.186,-1.1920000000000073
2018-05-01,218.657,215.179,3.4780000000000086
2018-06-01,242.959,253.483,-10.524000000000001
2018-07-01,265.213,260.851,4.362000000000023
2018-08-01,241.087,238.833,2.2539999999999907
2018-09-01,210.807,217.563,-6.756
2018-10-01,184.37,187.403,-3.032999999999987
2018-11-01,156.094,165.222,-9.128000000000014
2018-12-01,144.906,149.906,-5.0
2019-01-01,143.012,144.608,-1.5960000000000036
2019-02-01,131.917,132.825,-0.907999999999987
2019-03-01,153.407,151.682,1.7250000000000227
2019-04-01,177.186,181.761,-4.574999999999989
2019-05-01,215.179,204.736,10.443000000000012
2019-06-01,253.483,243.446,10.037000000000006
2019-07-01,260.851,252.072,8.778999999999996
2019-08-01,238.833,254.443,-15.610000000000014
2019-09-01,217.563,221.457,-3.8940000000000055
2019-10-01,187.403,203.557,-16.153999999999996
2019-11-01,165.222,162.007,3.2150000000000034
2019-12-01,149.906,157.211,-7.305000000000007
2020-01-01,144.608,148.026,-3.4180000000000064
2020-02-01,132.825,137.914,-5.088999999999999
2020-03-01,151.682,165.506,-13.824000000000012
2020-04-01,181.761,190.335,-8.574000000000012
2020-05-01,204.736,227.937,-23.201000000000022
2020-06-01,243.446,249.634,-6.187999999999988
2020-07-01,252.072,272.832,-20.75999999999999
2020-08-01,254.443,251.373,3.0700000000000216
2020-09-01,221.457,226.133,-4.676000000000016
2020-10-01,203.557,193.045,10.512
2020-11-01,162.007,173.577,-11.569999999999993
2020-12-01,157.211,162.584,-5.3729999999999905
2021-01-01,148.026,150.146,-2.119999999999976
2021-02-01,137.914,137.635,0.27899999999999636
2021-03-01,165.506,159.334,6.171999999999997
2021-04-01,190.335,174.107,16.22800000000001
2021-05-01,227.937,226.295,1.6420000000000243
2021-06-01,249.634,242.928,6.705999999999989
2021-07-01,272.832,276.972,-4.139999999999986
2021-08-01,251.373,279.157,-27.783999999999992
2021-09-01,226.133,240.779,-14.645999999999987
2021-10-01,193.045,197.509,-4.463999999999999
2021-11-01,173.577,165.964,7.6129999999999995
2021-12-01,162.584,161.142,1.4420000000000073
2022-01-01,150.146,151.699,-1.5530000000000257
2022-02-01,137.635,146.55,-8.91500000000002
2022-03-01,159.334,166.428,-7.093999999999994
2022-04-01,174.107,172.1,2.007000000000005
2022-05-01,226.295,217.5,8.794999999999987
2022-06-01,242.928,252.608,-9.680000000000007
2022-07-01,276.972,276.247,0.7249999999999659
2022-08-01,279.157,260.404,18.752999999999986
2022-09-01,240.779,229.755,11.024000000000001
2022-10-01,197.509,210.29,-12.781000000000006
2022-11-01,165.964,159.902,6.062000000000012
2022-12-01,161.142,157.335,3.806999999999988
2023-01-01,151.699,155.859,-4.159999999999997
2023-02-01,146.55,145.05,1.5
2023-03-01,166.428,169.758,-3.3300000000000125
2023-04-01,172.1,179.397,-7.296999999999997
2023-05-01,217.5,215.942,1.5579999999999927
2023-06-01,252.608,246.848,5.759999999999991
2023-07-01,276.247,275.701,0.5459999999999923
2023-08-01,260.404,287.871,-27.466999999999985
2023-09-01,229.755,217.849,11.906000000000006
2023-10-01,210.29,203.083,7.206999999999994
2023-11-01,159.902,172.389,-12.487000000000023
2023-12-01,157.335,163.914,-6.578999999999979
2024-01-01,155.859,155.437,0.42199999999999704
2024-02-01,145.05,148.392,-3.3419999999999845
2024-03-01,169.758,169.994,-0.23599999999999
2024-04-01,179.397,184.402,-5.0049999999999955
2024-05-01,215.942,246.995,-31.052999999999997
2024-06-01,246.848,249.659,-2.8109999999999786
