,predictions,actual,difference
2018-03-01,151.97978384378547,153.407,-1.4272161562145413
2018-04-01,166.61594919723362,177.186,-10.570050802766389
2018-05-01,202.96408759247993,215.179,-12.214912407520075
2018-06-01,229.45343760915657,253.483,-24.029562390843438
2018-07-01,253.73118144580815,260.851,-7.119818554191852
2018-08-01,245.1776851307027,238.833,6.344685130702715
2018-09-01,218.04332452842493,217.563,0.4803245284249442
2018-10-01,192.58477976440827,187.403,5.181779764408276
2018-11-01,165.7314178790504,165.222,0.5094178790504031
2018-12-01,155.3172790172212,149.906,5.411279017221204
2019-01-01,144.8427407497154,144.608,0.2347407497153995
2019-02-01,133.64835950385685,132.825,0.8233595038568637
2019-03-01,153.073888494877,151.682,1.3918884948770085
2019-04-01,169.72180938550179,181.761,-12.03919061449821
2019-05-01,206.85311534995495,204.736,2.1171153499549575
2019-06-01,235.15133681731913,243.446,-8.294663182680864
2019-07-01,257.64025590182996,252.072,5.568255901829957
2019-08-01,242.46479976668985,254.443,-11.978200233310162
2019-09-01,214.64245765702645,221.457,-6.814542342973539
2019-10-01,187.39145422712417,203.557,-16.165545772875817
2019-11-01,165.84453239442976,162.007,3.8375323944297577
2019-12-01,153.41904899147636,157.211,-3.791951008523654
2020-01-01,146.9549494022151,148.026,-1.0710505977849039
2020-02-01,133.90277269757655,137.914,-4.0112273024234355
2020-03-01,154.31145154549213,165.506,-11.194548454507867
2020-04-01,174.4808216486351,190.335,-15.854178351364908
2020-05-01,208.6299674048986,227.937,-19.30703259510142
2020-06-01,241.29630333799815,249.634,-8.337696662001832
2020-07-01,259.84445003653747,272.832,-12.987549963462527
2020-08-01,252.51480671881765,251.373,1.1418067188176622
2020-09-01,222.16386256382108,226.133,-3.969137436178926
2020-10-01,201.03317383419426,193.045,7.988173834194271
2020-11-01,171.2203460174549,173.577,-2.3566539825451116
2020-12-01,161.10069287286862,162.584,-1.4833071271313827
2021-01-01,151.4414724756868,150.146,1.2954724756868075
2021-02-01,141.21272579559886,137.635,3.577725795598866
2021-03-01,163.10557692315874,159.334,3.771576923158733
2021-04-01,183.24196190839055,174.107,9.134961908390551
2021-05-01,217.79889877375638,226.295,-8.49610122624361
2021-06-01,246.71971382719693,242.928,3.7917138271969293
2021-07-01,262.9486571707538,276.972,-14.02334282924619
2021-08-01,253.56604458815434,279.157,-25.59095541184564
2021-09-01,223.6310328378029,240.779,-17.14796716219709
2021-10-01,199.64424740737994,197.509,2.13524740737995
2021-11-01,179.04106115352494,165.964,13.077061153524937
2021-12-01,167.7092888337278,161.142,6.567288833727815
2022-01-01,155.25697325613186,151.699,3.557973256131845
2022-02-01,142.84629743788963,146.55,-3.7037025621103794
2022-03-01,164.6676724493602,166.428,-1.7603275506398006
2022-04-01,183.58268201741166,172.1,11.482682017411662
2022-05-01,222.7679489220755,217.5,5.2679489220755045
2022-06-01,249.27230627812358,252.608,-3.3356937218764244
2022-07-01,267.48827862345746,276.247,-8.758721376542553
2022-08-01,259.30476043828776,260.404,-1.0992395617122384
2022-09-01,230.15228193558843,229.755,0.3972819355884383
2022-10-01,201.59384062951452,210.29,-8.696159370485475
2022-11-01,174.23032544520123,159.902,14.328325445201244
2022-12-01,164.37492144060226,157.335,7.0399214406022566
2023-01-01,156.92471315740588,155.859,1.0657131574058667
2023-02-01,143.33092277392979,145.05,-1.719077226070226
2023-03-01,164.3806892008972,169.758,-5.3773107991028155
2023-04-01,181.85563584356478,179.397,2.4586358435647924
2023-05-01,221.5439771185354,215.942,5.6019771185353875
2023-06-01,250.37904743861554,246.848,3.5310474386155306
2023-07-01,271.92284172284286,275.701,-3.7781582771571607
2023-08-01,260.35526209245353,287.871,-27.515737907546452
2023-09-01,229.805424057475,217.849,11.956424057475004
2023-10-01,203.4408691348756,203.083,0.3578691348756138
2023-11-01,173.51452395948178,172.389,1.125523959481768
2023-12-01,162.56675686299428,163.914,-1.3472431370057052
2024-01-01,155.70959762728822,155.437,0.27259762728820647
2024-02-01,146.2698785276047,148.392,-2.1221214723952926
2024-03-01,168.20165107794685,169.994,-1.7923489220531508
2024-04-01,182.5908754264008,184.402,-1.8111245735991872
2024-05-01,222.68928457180152,246.995,-24.305715428198482
2024-06-01,251.7572645124921,249.659,2.0982645124921078
