,predictions,Est. Total consumption (GWh),difference
2018-03-01,92.62053045705845,87.359,5.261530457058456
2018-04-01,107.68097635164271,105.236,2.4449763516427083
2018-05-01,133.00566390929094,132.588,0.4176639092909511
2018-06-01,153.5577758581862,155.887,-2.3292241418137962
2018-07-01,159.9355499282906,158.913,1.0225499282906014
2018-08-01,140.68885872210998,148.338,-7.64914127789001
2018-09-01,113.66538917355564,126.316,-12.650610826444364
2018-10-01,98.07464528407027,113.137,-15.062354715929729
2018-11-01,88.09907068634983,97.245,-9.145929313650171
2018-12-01,80.60145782298446,85.975,-5.373542177015537
2019-01-01,76.09275642834551,81.941,-5.848243571654493
2019-02-01,78.59489446471395,74.785,3.809894464713949
2019-03-01,83.38985807620328,86.644,-3.2541419237967233
2019-04-01,89.72134321891322,101.021,-11.299656781086782
2019-05-01,122.93145563061317,126.686,-3.754544369386835
2019-06-01,146.02335896374098,142.461,3.5623589637409623
2019-07-01,154.6751894455205,155.297,-0.6218105544795094
2019-08-01,152.78222634021188,153.544,-0.7617736597881333
2019-09-01,124.34596997945773,130.714,-6.368030020542264
2019-10-01,115.40735015609789,119.751,-4.343649843902114
2019-11-01,102.28969983555857,94.508,7.78169983555857
2019-12-01,92.09959916732485,91.049,1.0505991673248474
2020-01-01,81.53410288963399,85.293,-3.7588971103660214
2020-02-01,78.79194725547048,77.893,0.8989472554704747
2020-03-01,86.52353717483845,95.139,-8.615462825161543
2020-04-01,95.13093182109608,110.958,-15.827068178903914
2020-05-01,122.79623033818581,131.509,-8.712769661814178
2020-06-01,141.08701903903125,151.181,-10.093980960968764
2020-07-01,151.8525262364508,166.565,-14.712473763549184
2020-08-01,140.002751180397,145.841,-5.838248819602995
2020-09-01,118.69594850404955,126.513,-7.817051495950452
2020-10-01,104.75752847436144,110.453,-5.695471525638567
2020-11-01,94.27944872837124,89.248,5.031448728371231
2020-12-01,82.53103810928052,87.217,-4.685961890719483
2021-01-01,80.20600775538239,82.393,-2.1869922446176133
2021-02-01,79.56045135394793,73.94,5.620451353947928
2021-03-01,87.35999587235615,87.27,0.08999587235615536
2021-04-01,108.24724331337389,101.805,6.442243313373879
2021-05-01,126.41271605210166,136.343,-9.930283947898332
2021-06-01,145.22257419135863,147.826,-2.6034258086413615
2021-07-01,156.98004570592025,167.442,-10.46195429407976
2021-08-01,149.7447728477887,154.812,-5.067227152211302
2021-09-01,129.0336965426201,130.051,-1.0173034573798816
2021-10-01,101.99405857776924,109.229,-7.2349414222307615
2021-11-01,100.9961392943798,90.634,10.362139294379801
2021-12-01,86.1219713253928,85.351,0.7709713253928072
2022-01-01,79.94330368787467,82.828,-2.884696312125328
2022-02-01,79.438250120598,76.211,3.2272501205980006
2022-03-01,86.85282476378852,87.477,-0.6241752362114852
2022-04-01,107.83719759074775,101.17,6.667197590747747
2022-05-01,130.29944376290126,126.8,3.499443762901265
2022-06-01,147.29890753977213,157.143,-9.84409246022787
2022-07-01,163.03637234407984,172.495,-9.458627655920168
2022-08-01,149.21815269609132,153.73,-4.511847303908667
2022-09-01,131.9050813715062,130.185,1.720081371506211
2022-10-01,111.23892025644788,117.025,-5.786079743552122
2022-11-01,100.49166227166569,89.669,10.822662271665692
2022-12-01,86.82354402547132,86.959,-0.13545597452868208
2023-01-01,82.1601920790852,80.813,1.3471920790852039
2023-02-01,78.4897832464761,74.814,3.675783246476101
2023-03-01,85.23264974871469,93.289,-8.05635025128531
2023-04-01,102.9156815936203,110.027,-7.111318406379695
2023-05-01,125.28470922464504,133.863,-8.578290775354958
2023-06-01,148.89605893473802,160.242,-11.345941065261968
2023-07-01,166.00963862748688,171.653,-5.643361372513112
2023-08-01,151.2264970354275,167.915,-16.68850296457248
2023-09-01,130.5317104339195,130.279,0.25271043391950343
2023-10-01,117.35812720479124,115.071,2.287127204791247
2023-11-01,97.60643058372219,96.095,1.5114305837221877
2023-12-01,84.05258121795184,88.691,-4.638418782048163
2024-01-01,80.02888448677005,85.032,-5.003115513229943
2024-02-01,79.44163001012222,82.576,-3.1343699898777686
2024-03-01,89.28713916684549,101.842,-12.554860833154507
2024-04-01,105.31625030988016,111.976,-6.659749690119838
2024-05-01,128.54665328899753,151.869,-23.322346711002467
2024-06-01,166.6557904505386,154.609,12.046790450538595
