,predictions,actual,difference
2018-03-01,87.928,87.359,0.5690000000000026
2018-04-01,100.51,105.236,-4.725999999999999
2018-05-01,127.319,132.588,-5.268999999999991
2018-06-01,145.078,155.887,-10.808999999999997
2018-07-01,163.133,158.913,4.219999999999999
2018-08-01,147.254,148.338,-1.0840000000000032
2018-09-01,125.353,126.316,-0.9630000000000081
2018-10-01,106.2,113.137,-6.936999999999998
2018-11-01,92.174,97.245,-5.070999999999998
2018-12-01,80.786,85.975,-5.188999999999993
2019-01-01,77.537,81.941,-4.403999999999996
2019-02-01,75.417,74.785,0.632000000000005
2019-03-01,87.359,86.644,0.7149999999999892
2019-04-01,105.236,101.021,4.215000000000003
2019-05-01,132.588,126.686,5.901999999999987
2019-06-01,155.887,142.461,13.425999999999988
2019-07-01,158.913,155.297,3.616000000000014
2019-08-01,148.338,153.544,-5.206000000000017
2019-09-01,126.316,130.714,-4.397999999999996
2019-10-01,113.137,119.751,-6.614000000000004
2019-11-01,97.245,94.508,2.737000000000009
2019-12-01,85.975,91.049,-5.074000000000012
2020-01-01,81.941,85.293,-3.352000000000004
2020-02-01,74.785,77.893,-3.108000000000004
2020-03-01,86.644,95.139,-8.49499999999999
2020-04-01,101.021,110.958,-9.936999999999998
2020-05-01,126.686,131.509,-4.822999999999979
2020-06-01,142.461,151.181,-8.719999999999999
2020-07-01,155.297,166.565,-11.268
2020-08-01,153.544,145.841,7.703000000000003
2020-09-01,130.714,126.513,4.200999999999993
2020-10-01,119.751,110.453,9.298000000000002
2020-11-01,94.508,89.248,5.259999999999991
2020-12-01,91.049,87.217,3.832000000000008
2021-01-01,85.293,82.393,2.9000000000000057
2021-02-01,77.893,73.94,3.953000000000003
2021-03-01,95.139,87.27,7.869
2021-04-01,110.958,101.805,9.152999999999992
2021-05-01,131.509,136.343,-4.834000000000003
2021-06-01,151.181,147.826,3.355000000000018
2021-07-01,166.565,167.442,-0.8770000000000095
2021-08-01,145.841,154.812,-8.971000000000004
2021-09-01,126.513,130.051,-3.5379999999999825
2021-10-01,110.453,109.229,1.2240000000000038
2021-11-01,89.248,90.634,-1.3859999999999957
2021-12-01,87.217,85.351,1.8659999999999997
2022-01-01,82.393,82.828,-0.4350000000000023
2022-02-01,73.94,76.211,-2.271000000000001
2022-03-01,87.27,87.477,-0.20700000000000784
2022-04-01,101.805,101.17,0.6350000000000051
2022-05-01,136.343,126.8,9.542999999999992
2022-06-01,147.826,157.143,-9.317000000000007
2022-07-01,167.442,172.495,-5.052999999999997
2022-08-01,154.812,153.73,1.082000000000022
2022-09-01,130.051,130.185,-0.13400000000001455
2022-10-01,109.229,117.025,-7.7960000000000065
2022-11-01,90.634,89.669,0.9650000000000034
2022-12-01,85.351,86.959,-1.608000000000004
2023-01-01,82.828,80.813,2.0150000000000006
2023-02-01,76.211,74.814,1.3970000000000056
2023-03-01,87.477,93.289,-5.811999999999998
2023-04-01,101.17,110.027,-8.857
2023-05-01,126.8,133.863,-7.063000000000002
2023-06-01,157.143,160.242,-3.0989999999999895
2023-07-01,172.495,171.653,0.842000000000013
2023-08-01,153.73,167.915,-14.185000000000002
2023-09-01,130.185,130.279,-0.09399999999999409
2023-10-01,117.025,115.071,1.9540000000000077
2023-11-01,89.669,96.095,-6.426000000000002
2023-12-01,86.959,88.691,-1.7319999999999993
2024-01-01,80.813,85.032,-4.218999999999994
2024-02-01,74.814,82.576,-7.7620000000000005
2024-03-01,93.289,101.842,-8.552999999999997
2024-04-01,110.027,111.976,-1.948999999999998
2024-05-01,133.863,151.869,-18.006
2024-06-01,160.242,154.609,5.632999999999981
