,predictions,actual,difference
2018-03-01,86.55013172305894,87.359,-0.8088682769410553
2018-04-01,96.98477514378227,105.236,-8.251224856217732
2018-05-01,118.88537288605178,132.588,-13.70262711394821
2018-06-01,137.54603326625332,155.887,-18.340966733746683
2018-07-01,155.56010855997482,158.913,-3.3528914400251892
2018-08-01,150.55485147453368,148.338,2.2168514745336836
2018-09-01,130.2003034799346,126.316,3.8843034799346015
2018-10-01,109.6699542192745,113.137,-3.467045780725499
2018-11-01,95.74847456695201,97.245,-1.4965254330479922
2018-12-01,88.0176605254096,85.975,2.0426605254096017
2019-01-01,84.10728735739738,81.941,2.1662873573973798
2019-02-01,78.62199820423147,74.785,3.8369982042314774
2019-03-01,88.40592035069345,86.644,1.761920350693444
2019-04-01,100.20552794518827,101.021,-0.8154720548117353
2019-05-01,123.92295451479525,126.686,-2.7630454852047563
2019-06-01,144.0296556015965,142.461,1.5686556015964754
2019-07-01,157.94149414658034,155.297,2.6444941465803424
2019-08-01,150.887313433416,153.544,-2.656686566584
2019-09-01,125.34207145252977,130.714,-5.371928547470233
2019-10-01,108.81397837867345,119.751,-10.93702162132655
2019-11-01,95.70515121929476,94.508,1.197151219294767
2019-12-01,87.33762603362092,91.049,-3.7113739663790852
2020-01-01,84.0907422812731,85.293,-1.2022577187269121
2020-02-01,77.92756430464405,77.893,0.034564304644050026
2020-03-01,89.02654044445535,95.139,-6.112459555544646
2020-04-01,103.94809795004953,110.958,-7.009902049950469
2020-05-01,129.95233763580327,131.509,-1.5566623641967112
2020-06-01,149.51133138150166,151.181,-1.6696686184983491
2020-07-01,162.1577422309038,166.565,-4.407257769096191
2020-08-01,151.83309654037433,145.841,5.99209654037432
2020-09-01,129.981541029936,126.513,3.4685410299360058
2020-10-01,115.58457154062798,110.453,5.131571540627974
2020-11-01,96.26334603064484,89.248,7.015346030644835
2020-12-01,87.2210099838157,87.217,0.004009983815706164
2021-01-01,82.81759555213463,82.393,0.4245955521346332
2021-02-01,77.33622555052604,73.94,3.39622555052604
2021-03-01,91.42422624711969,87.27,4.154226247119695
2021-04-01,107.67757731747672,101.805,5.872577317476711
2021-05-01,132.03990324017516,136.343,-4.303096759824825
2021-06-01,152.19133826352822,147.826,4.36533826352823
2021-07-01,161.1043843830629,167.442,-6.337615616937114
2021-08-01,150.4327574561176,154.812,-4.3792425438824125
2021-09-01,128.4860874643853,130.051,-1.5649125356146953
2021-10-01,115.35739259630864,109.229,6.128392596308643
2021-11-01,95.47511432002517,90.634,4.84111432002517
2021-12-01,89.30583040430149,85.351,3.9548304043014895
2022-01-01,83.96922227043274,82.828,1.1412222704327348
2022-02-01,76.25180472667473,76.211,0.040804726674736
2022-03-01,89.92612864263708,87.477,2.4491286426370777
2022-04-01,104.74212894944297,101.17,3.5721289494429698
2022-05-01,132.1109714469277,126.8,5.310971446927695
2022-06-01,147.173681034683,157.143,-9.969318965317001
2022-07-01,162.80320056291953,172.495,-9.691799437080476
2022-08-01,152.12157620990126,153.73,-1.6084237900987262
2022-09-01,130.34482588891717,130.185,0.15982588891716887
2022-10-01,114.78531700446322,117.025,-2.239682995536782
2022-11-01,92.52029016299348,89.669,2.851290162993479
2022-12-01,89.06733139669024,86.959,2.1083313966902324
2023-01-01,84.9103468734746,80.813,4.097346873474592
2023-02-01,77.01864935181978,74.814,2.204649351819782
2023-03-01,91.11809527790024,93.289,-2.1709047220997633
2023-04-01,105.65405826918806,110.027,-4.372941730811945
2023-05-01,132.47975039732125,133.863,-1.3832496026787453
2023-06-01,152.7921714956794,160.242,-7.449828504320578
2023-07-01,169.74536510905966,171.653,-1.9076348909403293
2023-08-01,152.1971926376216,167.915,-15.71780736237838
2023-09-01,130.35662221978026,130.279,0.07762221978026673
2023-10-01,113.72835803836453,115.071,-1.342641961635465
2023-11-01,92.44180007104276,96.095,-3.6531999289572354
2023-12-01,88.3849804035882,88.691,-0.3060195964118009
2024-01-01,83.94559096077498,85.032,-1.0864090392250176
2024-02-01,77.49742772488032,82.576,-5.078572275119669
2024-03-01,91.58176053693592,101.842,-10.260239463064082
2024-04-01,106.61700694052831,111.976,-5.358993059471686
2024-05-01,134.9822041205361,151.869,-16.886795879463904
2024-06-01,158.84883052679908,154.609,4.239830526799068
