,predictions,Est. Total consumption (GWh),difference
2018-03-01,283.03432906396114,292.441,-9.406670936038836
2018-04-01,315.0740115492648,347.202,-32.12798845073519
2018-05-01,371.5581453529921,378.77,-7.211854647007897
2018-06-01,437.5091482573757,466.381,-28.871851742624244
2018-07-01,469.03749647737783,486.733,-17.695503522622175
2018-08-01,409.17536026704465,453.339,-44.163639732955346
2018-09-01,362.66526826846416,395.636,-32.970731731535864
2018-10-01,325.4381013424876,344.112,-18.67389865751244
2018-11-01,296.34852754287317,309.218,-12.869472457126847
2018-12-01,279.62505683085817,295.682,-16.056943169141846
2019-01-01,270.0739288773351,285.059,-14.98507112266492
2019-02-01,262.0903409663783,258.894,3.1963409663782727
2019-03-01,269.7744671427508,311.602,-41.827532857249196
2019-04-01,300.0310016574322,310.396,-10.364998342567787
2019-05-01,352.4859979541333,366.886,-14.4000020458667
2019-06-01,433.4059156145523,436.365,-2.9590843854476816
2019-07-01,474.871023663971,466.83,8.041023663971032
2019-08-01,429.4409215608217,472.046,-42.60507843917827
2019-09-01,377.5326452638626,403.778,-26.245354736137415
2019-10-01,331.0069904906239,364.419,-33.412009509376105
2019-11-01,314.10268383731227,306.875,7.22768383731227
2019-12-01,297.4543520726174,295.862,1.5923520726173592
2020-01-01,273.99931367246626,288.745,-14.745686327533747
2020-02-01,273.9391616118949,270.382,3.5571616118949123
2020-03-01,287.6857657683591,308.668,-20.982234231640916
2020-04-01,314.49087746838484,345.171,-30.680122531615154
2020-05-01,375.91744796544094,409.591,-33.673552034559066
2020-06-01,419.74014491431274,435.313,-15.572855085687252
2020-07-01,476.67806298044144,501.432,-24.753937019558578
2020-08-01,449.4407971863371,480.708,-31.267202813662948
2020-09-01,370.65143893809017,413.518,-42.866561061909806
2020-10-01,335.6816201685027,347.223,-11.541379831497295
2020-11-01,321.5416526327755,307.031,14.510652632775475
2020-12-01,291.13108741740075,303.72,-12.588912582599278
2021-01-01,286.67940829409685,294.164,-7.484591705903142
2021-02-01,287.6911068821166,271.243,16.448106882116633
2021-03-01,302.12309262351096,306.209,-4.085907376489047
2021-04-01,336.55195287712087,317.624,18.927952877120845
2021-05-01,403.27781811347415,401.719,1.5588181134741603
2021-06-01,453.73987638423887,439.96,13.77987638423889
2021-07-01,477.14701716546347,511.798,-34.650982834536535
2021-08-01,456.78436550530336,501.07,-44.28563449469664
2021-09-01,391.63087623651063,444.796,-53.16512376348936
2021-10-01,372.0261421986695,385.982,-13.955857801330524
2021-11-01,321.61794801243906,328.184,-6.566051987560968
2021-12-01,284.69500264934186,319.988,-35.29299735065814
2022-01-01,297.2828158734071,307.185,-9.902184126592886
2022-02-01,275.47119082069537,292.317,-16.845809179304638
2022-03-01,303.16661091022536,315.242,-12.07538908977466
2022-04-01,327.82853491213626,317.982,9.846534912136235
2022-05-01,383.191170731815,389.53,-6.338829268184952
2022-06-01,464.5919795618721,452.492,12.09997956187209
2022-07-01,506.13720038834543,492.025,14.112200388345457
2022-08-01,534.8565243149527,469.325,65.53152431495272
2022-09-01,468.6905069428289,416.435,52.2555069428289
2022-10-01,397.88201199354023,377.98,19.902011993540214
2022-11-01,343.12016631315305,327.579,15.541166313153042
2022-12-01,315.22059258760083,328.478,-13.257407412399175
2023-01-01,306.711691372209,326.534,-19.822308627791017
2023-02-01,287.7092654923919,298.579,-10.869734507608086
2023-03-01,304.06273799799726,329.91,-25.847262002002765
2023-04-01,334.18427410868713,338.601,-4.416725891312865
2023-05-01,383.6354646184754,414.04,-30.404535381524624
2023-06-01,459.5585628791007,488.037,-28.478437120899287
2023-07-01,484.20105261164423,521.402,-37.200947388355814
2023-08-01,495.4381556780939,541.62,-46.18184432190611
2023-09-01,425.6945379929612,420.878,4.81653799296123
2023-10-01,369.2372773855646,395.533,-26.29572261443542
2023-11-01,329.16746217963004,337.296,-8.128537820369957
2023-12-01,322.6735713729443,339.029,-16.355428627055687
2024-01-01,321.58160891261196,338.464,-16.882391087388044
2024-02-01,293.81539718639215,311.724,-17.908602813607843
2024-03-01,324.78121726135254,337.73,-12.94878273864748
2024-04-01,320.6544060456009,348.859,-28.20459395439906
2024-05-01,342.1548233943499,452.473,-110.31817660565014
2024-06-01,455.22686209510886,450.966,4.260862095108848
