,predictions,actual,difference
2018-03-01,285.7566498323492,292.441,-6.684350167650791
2018-04-01,301.47288238983214,347.202,-45.72911761016786
2018-05-01,363.6941285514191,378.77,-15.07587144858087
2018-06-01,412.1732655717642,466.381,-54.20773442823577
2018-07-01,472.4720094191022,486.733,-14.260990580897783
2018-08-01,451.74886984776754,453.339,-1.5901301522324616
2018-09-01,421.4843081372978,395.636,25.84830813729775
2018-10-01,376.70252180064995,344.112,32.590521800649924
2018-11-01,327.8941237803613,309.218,18.67612378036131
2018-12-01,308.33773465136727,295.682,12.655734651367254
2019-01-01,291.8815389394716,285.059,6.822538939471599
2019-02-01,270.19032353644553,258.894,11.296323536445527
2019-03-01,297.30567449908426,311.602,-14.296325500915714
2019-04-01,324.99880930942965,310.396,14.602809309429631
2019-05-01,372.2574067017291,366.886,5.371406701729086
2019-06-01,443.8902708768885,436.365,7.525270876888499
2019-07-01,472.23988624941273,466.83,5.40988624941275
2019-08-01,448.4637248037382,472.046,-23.582275196261776
2019-09-01,392.9824877841936,403.778,-10.795512215806411
2019-10-01,348.36423794969755,364.419,-16.05476205030243
2019-11-01,318.93312901424315,306.875,12.05812901424315
2019-12-01,304.6659851278688,295.862,8.80398512786877
2020-01-01,295.89037813677226,288.745,7.145378136772251
2020-02-01,269.1044295427524,270.382,-1.2775704572475775
2020-03-01,302.96479342201724,308.668,-5.703206577982769
2020-04-01,320.8881897814804,345.171,-24.282810218519614
2020-05-01,376.2331051665297,409.591,-33.35789483347031
2020-06-01,439.2967790017069,435.313,3.983779001706921
2020-07-01,483.3472687773242,501.432,-18.084731222675828
2020-08-01,478.60272598257194,480.708,-2.105274017428087
2020-09-01,408.08757158872453,413.518,-5.430428411275443
2020-10-01,374.69178431174646,347.223,27.468784311746447
2020-11-01,333.5779839077461,307.031,26.546983907746096
2020-12-01,317.81682714126663,303.72,14.096827141266601
2021-01-01,299.2036015698078,294.164,5.0396015698078145
2021-02-01,275.8342771150772,271.243,4.591277115077219
2021-03-01,311.67983245561004,306.209,5.4708324556100365
2021-04-01,334.0945506652887,317.624,16.47055066528867
2021-05-01,390.2467347225148,401.719,-11.472265277485178
2021-06-01,441.9040320453882,439.96,1.9440320453882123
2021-07-01,481.80808693727784,511.798,-29.989913062722167
2021-08-01,471.1846091185554,501.07,-29.885390881444607
2021-09-01,407.97913833900765,444.796,-36.816861660992345
2021-10-01,364.96066824917665,385.982,-21.02133175082338
2021-11-01,326.3455977515737,328.184,-1.8384022484263483
2021-12-01,334.76791289492184,319.988,14.779912894921836
2022-01-01,322.4901162450896,307.185,15.305116245089607
2022-02-01,293.2389327837079,292.317,0.9219327837079163
2022-03-01,328.1304837344458,315.242,12.8884837344458
2022-04-01,346.25765314582685,317.982,28.275653145826823
2022-05-01,411.9913953163814,389.53,22.461395316381413
2022-06-01,456.69267856865565,452.492,4.200678568655633
2022-07-01,501.71377945297735,492.025,9.688779452977371
2022-08-01,479.84986772450526,469.325,10.52486772450527
2022-09-01,425.6226122050961,416.435,9.187612205096116
2022-10-01,370.7795661803392,377.98,-7.200433819660816
2022-11-01,321.4156514262804,327.579,-6.163348573719588
2022-12-01,311.12551191034675,328.478,-17.352488089653264
2023-01-01,304.48583102627776,326.534,-22.048168973722227
2023-02-01,284.4761248979793,298.579,-14.102875102020732
2023-03-01,321.53961821144526,329.91,-8.370381788554766
2023-04-01,344.6413367856143,338.601,6.040336785614329
2023-05-01,409.1584562324886,414.04,-4.881543767511403
2023-06-01,461.9159814171264,488.037,-26.121018582873603
2023-07-01,506.6215722783717,521.402,-14.78042772162837
2023-08-01,493.3841099699566,541.62,-48.23589003004338
2023-09-01,445.73249400293315,420.878,24.854494002933166
2023-10-01,397.77808417696156,395.533,2.245084176961541
2023-11-01,371.96937482446566,337.296,34.67337482446567
2023-12-01,341.6276745523845,339.029,2.598674552384523
2024-01-01,333.63441873589693,338.464,-4.829581264103069
2024-02-01,307.1860132082007,311.724,-4.537986791799312
2024-03-01,340.2099149119667,337.73,2.4799149119666595
2024-04-01,357.0320636402745,348.859,8.173063640274506
2024-05-01,425.5482203765874,452.473,-26.924779623412633
2024-06-01,481.7045225407522,450.966,30.73852254075217
