,predictions,Est. Total consumption (GWh),difference
2018-03-01,152.58000554415312,154.095,-1.5149944558468746
2018-04-01,181.47162696155314,183.301,-1.829373038446846
2018-05-01,241.26489778164955,226.963,14.301897781649558
2018-06-01,248.35304491993938,267.761,-19.407955080060646
2018-07-01,257.2243617468762,275.781,-18.556638253123822
2018-08-01,246.24647201327963,252.049,-5.802527986720378
2018-09-01,211.44061673681324,216.52,-5.07938326318677
2018-10-01,185.43780479583498,188.139,-2.701195204165032
2018-11-01,155.68493207382755,163.009,-7.324067926172432
2018-12-01,146.4656288518801,157.127,-10.661371148119912
2019-01-01,141.1125608647319,146.349,-5.2364391352680855
2019-02-01,149.45390488449405,134.081,15.372904884494062
2019-03-01,154.64180989471876,154.115,0.5268098947187525
2019-04-01,176.24921064073266,178.254,-2.0047893592673347
2019-05-01,217.96463966365596,220.324,-2.3593603363440536
2019-06-01,263.03686247413674,266.582,-3.545137525863254
2019-07-01,282.32457507702907,276.671,5.653575077029075
2019-08-01,258.07935997554017,267.226,-9.146640024459828
2019-09-01,215.2792782506768,224.982,-9.702721749323189
2019-10-01,182.71671990754106,196.331,-13.614280092458927
2019-11-01,157.71740514416481,157.023,0.6944051441648185
2019-12-01,148.79700320952813,153.234,-4.436996790471881
2020-01-01,144.45672670027662,147.206,-2.74927329972337
2020-02-01,135.92632993948752,140.411,-4.484670060512485
2020-03-01,147.0101302454345,169.087,-22.07686975456548
2020-04-01,174.62957625017367,193.711,-19.081423749826342
2020-05-01,215.45160522624795,231.32,-15.868394773752044
2020-06-01,262.0612459052239,269.104,-7.042754094776058
2020-07-01,271.94761482844774,292.653,-20.70538517155228
2020-08-01,237.15898727284255,254.615,-17.456012727157457
2020-09-01,213.69159412971086,210.179,3.5125941297108625
2020-10-01,175.09542149402083,187.148,-12.05257850597917
2020-11-01,166.81743163597994,164.988,1.8294316359799438
2020-12-01,154.31125871960873,158.128,-3.8167412803912555
2021-01-01,144.78204536986803,159.262,-14.47995463013197
2021-02-01,144.16619093773468,144.957,-0.7908090622653106
2021-03-01,157.1574109626534,156.806,0.35141096265337524
2021-04-01,192.45757808778885,173.928,18.52957808778885
2021-05-01,230.26304245790286,235.724,-5.460957542097134
2021-06-01,248.43350577265423,264.713,-16.279494227345793
2021-07-01,265.9956755915788,290.751,-24.75532440842119
2021-08-01,257.7654627822845,278.928,-21.16253721771551
2021-09-01,234.33011647906946,229.468,4.862116479069471
2021-10-01,187.6806503509613,194.78,-7.0993496490387145
2021-11-01,160.0728075321715,167.302,-7.229192467828483
2021-12-01,156.59639643359273,161.551,-4.954603566407258
2022-01-01,149.0638262731622,154.552,-5.4881737268378
2022-02-01,142.08182807307261,144.661,-2.579171926927387
2022-03-01,162.11553004655502,165.378,-3.2624699534449633
2022-04-01,182.39984791165674,177.647,4.752847911656744
2022-05-01,221.19840996994986,227.145,-5.946590030050146
2022-06-01,265.9371596405946,273.656,-7.718840359405419
2022-07-01,286.47157073631286,309.159,-22.687429263687136
2022-08-01,277.9184737355168,272.579,5.339473735516776
2022-09-01,225.18152752774918,226.319,-1.1374724722508063
2022-10-01,199.3958829685819,207.161,-7.7651170314181
2022-11-01,175.44680056244468,159.159,16.287800562444687
2022-12-01,164.20920155796722,157.832,6.377201557967226
2023-01-01,162.48734017641874,154.015,8.472340176418754
2023-02-01,152.67776768458805,146.132,6.545767684588043
2023-03-01,161.06096560475515,172.611,-11.550034395244836
2023-04-01,178.89323853490322,187.355,-8.461761465096771
2023-05-01,231.9535247561364,232.325,-0.37147524386358555
2023-06-01,269.0492714852341,267.397,1.6522714852341096
2023-07-01,305.5478962781,300.28,5.267896278100011
2023-08-01,266.796613619644,290.304,-23.507386380355968
2023-09-01,207.1410426959723,220.171,-13.029957304027704
2023-10-01,205.14547816292972,197.491,7.654478162929706
2023-11-01,162.74808817268746,172.097,-9.348911827312548
2023-12-01,165.60945116898736,166.187,-0.5775488310126491
2024-01-01,158.92384502317825,160.606,-1.6821549768217494
2024-02-01,149.4633076224595,151.908,-2.444692377540491
2024-03-01,174.75884301465067,179.446,-4.687156985349333
2024-04-01,165.59512864868302,195.36,-29.764871351316998
2024-05-01,232.15156423217564,275.921,-43.76943576782435
2024-06-01,267.14372280386596,280.038,-12.894277196134055
