,predictions,Est. Total consumption (GWh),difference
2018-03-01,156.221,154.095,2.1260000000000048
2018-04-01,182.405,183.301,-0.8959999999999866
2018-05-01,230.265,226.963,3.3019999999999925
2018-06-01,262.964,267.761,-4.7970000000000255
2018-07-01,282.729,275.781,6.947999999999979
2018-08-01,258.029,252.049,5.97999999999999
2018-09-01,213.56,216.52,-2.960000000000008
2018-10-01,178.969,188.139,-9.170000000000016
2018-11-01,153.816,163.009,-9.192999999999984
2018-12-01,147.273,157.127,-9.854000000000013
2019-01-01,141.208,146.349,-5.140999999999991
2019-02-01,139.637,134.081,5.556000000000012
2019-03-01,154.095,154.115,-0.020000000000010232
2019-04-01,183.301,178.254,5.046999999999997
2019-05-01,226.963,220.324,6.638999999999982
2019-06-01,267.761,266.582,1.1790000000000305
2019-07-01,275.781,276.671,-0.8899999999999864
2019-08-01,252.049,267.226,-15.176999999999992
2019-09-01,216.52,224.982,-8.461999999999989
2019-10-01,188.139,196.331,-8.191999999999979
2019-11-01,163.009,157.023,5.98599999999999
2019-12-01,157.127,153.234,3.8930000000000007
2020-01-01,146.349,147.206,-0.8569999999999993
2020-02-01,134.081,140.411,-6.3300000000000125
2020-03-01,154.115,169.087,-14.97199999999998
2020-04-01,178.254,193.711,-15.457000000000022
2020-05-01,220.324,231.32,-10.995999999999981
2020-06-01,266.582,269.104,-2.5219999999999914
2020-07-01,276.671,292.653,-15.982000000000028
2020-08-01,267.226,254.615,12.61099999999999
2020-09-01,224.982,210.179,14.802999999999997
2020-10-01,196.331,187.148,9.182999999999993
2020-11-01,157.023,164.988,-7.965000000000003
2020-12-01,153.234,158.128,-4.893999999999977
2021-01-01,147.206,159.262,-12.056000000000012
2021-02-01,140.411,144.957,-4.545999999999992
2021-03-01,169.087,156.806,12.280999999999977
2021-04-01,193.711,173.928,19.783000000000015
2021-05-01,231.32,235.724,-4.403999999999996
2021-06-01,269.104,264.713,4.390999999999963
2021-07-01,292.653,290.751,1.9020000000000437
2021-08-01,254.615,278.928,-24.312999999999988
2021-09-01,210.179,229.468,-19.288999999999987
2021-10-01,187.148,194.78,-7.632000000000005
2021-11-01,164.988,167.302,-2.313999999999993
2021-12-01,158.128,161.551,-3.423000000000002
2022-01-01,159.262,154.552,4.710000000000008
2022-02-01,144.957,144.661,0.29599999999999227
2022-03-01,156.806,165.378,-8.571999999999974
2022-04-01,173.928,177.647,-3.718999999999994
2022-05-01,235.724,227.145,8.57899999999998
2022-06-01,264.713,273.656,-8.942999999999984
2022-07-01,290.751,309.159,-18.408000000000015
2022-08-01,278.928,272.579,6.3489999999999895
2022-09-01,229.468,226.319,3.149000000000001
2022-10-01,194.78,207.161,-12.381
2022-11-01,167.302,159.159,8.143
2022-12-01,161.551,157.832,3.718999999999994
2023-01-01,154.552,154.015,0.5370000000000061
2023-02-01,144.661,146.132,-1.4710000000000036
2023-03-01,165.378,172.611,-7.233000000000004
2023-04-01,177.647,187.355,-9.707999999999998
2023-05-01,227.145,232.325,-5.179999999999978
2023-06-01,273.656,267.397,6.2590000000000146
2023-07-01,309.159,300.28,8.879000000000019
2023-08-01,272.579,290.304,-17.724999999999966
2023-09-01,226.319,220.171,6.147999999999996
2023-10-01,207.161,197.491,9.669999999999987
2023-11-01,159.159,172.097,-12.938000000000017
2023-12-01,157.832,166.187,-8.355000000000018
2024-01-01,154.015,160.606,-6.591000000000008
2024-02-01,146.132,151.908,-5.775999999999982
2024-03-01,172.611,179.446,-6.835000000000008
2024-04-01,187.355,195.36,-8.005000000000024
2024-05-01,232.325,275.921,-43.596000000000004
2024-06-01,267.397,280.038,-12.64100000000002
